EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4064036860850,66.99,B08T657CZ6,"#232.890, (Fashion)",-17.09 ,"-19,45 %"
'0810109140466,152.99,B0BRKQB7KK,"#1.104.879, (Fashion)",-32.62 ,"-18,55 %"
'8050949865675,54.99,B0BRVFDRM1,"#2.013.874, (Fashion)",7.02 ,"8,78 %"
'8015190270067,71.99,B09128N9TB,-,-12.66 ,"-15,82 %"
'4003318405938,114.99,B08SVYK9HZ,"#11.874, (Sport & Freizeit)",-28.76 ,"-26,16 %"
'4003692309921,61.99,B09B9MXYQ6,"#161.605, (Sport & Freizeit)",-58.91 ,"-5.891,45 %"
'4017912152976,59.99,B000VZ9I70,"#129.261, (Fashion)",-8.09 ,"-11,56 %"
'0768686474187,83.99,B09DLB7KFM,"#416.067, (Sport & Freizeit)",-26.43 ,"-31,47 %"
'0191234562416,38.99,B083YW3L81,-,-7.84 ,"-17,82 %"
'0847435028885,29.99,B08HNG3DD4,"#585.193, (Sport & Freizeit)",-9.04 ,"-26,61 %"
'4046068575261,43.99,B089SW2NCB,"#27.700, (Sport & Freizeit)",-16.69 ,"-41,74 %"
'4050772265981,79.99,B094R5VFGP,"#541.575, (Fashion)",-9.90 ,"-11,69 %"
'4046068618999,38.99,B09VTGQ7R1,"#555.893, (Sport & Freizeit)",-13.89 ,"-35,62 %"
'0841269190282,56.99,B09NB1BKY1,-,-9.76 ,"-15,25 %"
'8717009413091,37.99,B094Q4XHK5,"#3.863.866, (Fashion)",-0.51 ,"-0,97 %"
'0768686458330,88.99,B09DLCMSZR,"#324.227, (Fashion)",-16.70 ,"-17,67 %"
'4003318699481,11.99,B09KCPLT8J,"#67.610, (Auto & Motorrad)",-5.57 ,"-46,44 %"
'5059431444667,28.99,B0BLSDZ5RP,-,-12.01 ,"-49,68 %"
'4031381006486,61.99,B09MJ59PQB,"#341.235, (Sport & Freizeit)",-15.82 ,"-24,67 %"
'4003692313225,151.99,B09B9NFSLF,"#286.656, (Sport & Freizeit)",-43.20 ,"-32,23 %"
'8716683122961,30.99,B084PRPWR7,"#226.461, (Sport & Freizeit)",-12.08 ,"-38,99 %"
'8717009490726,71.99,B0BVPSD3VK,-,4.62 ,"4,91 %"
'8015190217574,18.99,B00BG6SFCC,"#201.529, (Sport & Freizeit)",-9.70 ,"-49,54 %"
'4003318034237,56.99,B0BF5GTVFQ,"#53.059, (Sport & Freizeit)",-15.92 ,"-27,93 %"
'0193517712679,76.99,B0B4ZG8TMZ,-,-13.70 ,"-17,66 %"
'4062218535589,89.99,B0BLHDFG9H,"#505.434, (Fashion)",-20.80 ,"-23,11 %"
'8050949055939,75.99,B085X6JKMW,"#2.334.632, (Fashion)",-67.98 ,"-6.797,59 %"
'3701101655881,34.99,B08ZYTYPK3,-,9.47 ,"14,13 %"
'0768686473951,90.99,B09DKSMLFL,"#326.891, (Sport & Freizeit)",-20.50 ,"-21,92 %"
'4031381048905,61.99,B07N6FBDMN,"#101.348, (Sport & Freizeit)",-16.99 ,"-27,23 %"
'0768686184192,37.99,B07J2QV5W9,"#457.265, (Sport & Freizeit)",-13.71 ,"-36,08 %"
'7630472679454,89.99,B08NFBGKK4,"#113.375, (Sport & Freizeit)",-14.70 ,"-14,85 %"
'0655586096574,25.99,B078Z5TB47,-,-7.17 ,"-23,92 %"
'7630554909424,71.99,B09RBC9QSW,"#566.230, (Sport & Freizeit)",-33.39 ,"-66,80 %"
'0768686281723,226.99,B07ZP5BVKD,"#22.271, (Sport & Freizeit)",-43.90 ,"-19,34 %"
'4062218507203,89.99,B09ZLP8Q64,"#92.305, (Fashion)",-23.90 ,"-28,62 %"
'4046068563244,111.99,B089T3QF1D,"#22.008, (Auto & Motorrad)",-53.07 ,"-75,83 %"
'8030819314786,51.99,B0BRR7JV3F,-,3.81 ,"5,21 %"
'4043197346489,50.99,B0999JT3MT,"#85.041, (Sport & Freizeit)",-5.82 ,"-9,05 %"
'8015190277417,63.99,B09T5KT3SQ,"#884.920, (Sport & Freizeit)",-23.14 ,"-42,07 %"
'0768686072499,39.99,B077ZMTSRW,"#56.374, (Sport & Freizeit)",-14.11 ,"-35,29 %"
'4046068592671,37.99,B095WFX6J9,"#58.686, (Sport & Freizeit)",-9.52 ,"-22,15 %"
'0768686284854,62.99,B07ZP844JG,"#22.561, (Sport & Freizeit)",-17.47 ,"-27,73 %"
'4063098126713,89.99,B0BZW4Y576,"#1.329.872, (Fashion)",-18.82 ,"-19,87 %"
'9010583112084,79.99,B0BNK7GPWF,-,-72.69 ,"-7.269,22 %"
'4046068585581,78.99,B095WFZKWF,"#46.988, (Auto & Motorrad)",-9.42 ,"-10,70 %"
'4043197346830,35.99,B0999K1CV4,"#5.479, (Sport & Freizeit)",-37.02 ,"-3.701,65 %"
'4062218583139,93.99,B0BLH8TBT9,"#5.612.926, (Fashion)",-19.29 ,"-20,53 %"
'7640171494647,65.99,B07GSP4734,"#94.914, (Sport & Freizeit)",-26.17 ,"-48,46 %"
'4062218598171,119.99,B09ZLN6SF4,"#30.667, (Fashion)",-10.82 ,"-7,79 %"
'8050949044827,116.99,B084WN8Y2J,-,-47.58 ,"-57,33 %"
'8050949590324,59.99,B09R2GF7Q8,"#899.988, (Fashion)",-10.03 ,"-15,68 %"
'4003692314925,96.99,B0BWS8VM8L,-,-11.46 ,"-10,62 %"
