EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'0895428020194,6.99,B00JNAKGPC,"#92.241, (Sport & Freizeit)",-2.05 ,"-22,86 %"
'0710845844386,46.99,B083QN8NYS,-,-7.76 ,"-16,77 %"
'4524667120827,7.99,B00406LMO8,-,-3.70 ,"-370,43 %"
'4524667988441,1.99,B00EABWLW0,-,-2.85 ,"-284,83 %"
'4717480156696,7.99,B00FAYMWB6,"#301.849, (Sport & Freizeit)",-1.60 ,"-23,25 %"
'4717480150236,9.99,B00FAYMQ3K,"#56.689, (Sport & Freizeit)",-3.70 ,"-370,36 %"
'0710845820403,11.99,B07JVNZL5S,"#213.148, (Sport & Freizeit)",-0.94 ,"-4,54 %"
'4550170635268,26.99,B08W2V7J96,"#192.207, (Sport & Freizeit)",-6.12 ,"-20,32 %"
'8590966390335,9.99,B00P6IIRG0,"#344.067, (Sport & Freizeit)",-1.04 ,"-10,44 %"
'4715910025772,19.99,B001GZCWAO,"#574.720, (Sport & Freizeit)",-7.81 ,"-24,93 %"
'0710845628313,8.99,B006KV4Y8C,-,-0.67 ,"-5,60 %"
'4715910037379,3.99,B00UXF8P9U,"#524.543, (Sport & Freizeit)",-2.13 ,"-53,41 %"
'4251189802459,17.99,B075XGP9R7,"#153.869, (Sport & Freizeit)",-4.86 ,"-27,40 %"
'8590966390205,8.99,B00P6IIM2E,-,-0.50 ,"-3,85 %"
'4715910039915,21.99,B077DX9SJZ,"#9.345, (Sport & Freizeit)",-5.98 ,"-27,19 %"
'5021646021247,13.99,B00CBWUGWM,-,-9.78 ,"-57,56 %"
'4717480164622,14.99,B07LBTD34X,"#467.198, (Sport & Freizeit)",-4.78 ,"-28,30 %"
'0611056191743,47.99,B07ZT2RXBJ,-,-10.27 ,"-13,39 %"
'0710845637049,14.99,B004T1GZ3W,"#946.335, (Sport & Freizeit)",-5.27 ,"-25,95 %"
'4715910017760,26.99,B001GSSEJ4,"#743.231, (Sport & Freizeit)",-6.78 ,"-22,61 %"
'0763477017369,3.99,B09WC8781S,-,-7.98 ,"-797,72 %"
'0710845729973,30.99,B00GA22W58,"#91.706, (Sport & Freizeit)",-6.14 ,"-20,28 %"
'8716683034950,18.99,B002EPVN82,-,-4.69 ,"-36,27 %"
'4524667430469,8.99,B004IXF30W,"#172.659, (Sport & Freizeit)",-1.42 ,"-15,80 %"
'4032191660684,9.99,B001BX9MK4,"#323.495, (Sport & Freizeit)",-1.22 ,"-8,72 %"
'4055184006191,9.99,B00K0LZXP6,-,-4.67 ,"-32,39 %"
'4717480161485,12.99,B00NZ4AK7Q,"#448.162, (Sport & Freizeit)",-3.34 ,"-333,96 %"
'0710845614422,13.99,B002I7O5O0,"#88.343, (Sport & Freizeit)",-5.19 ,"-37,11 %"
'4717480157211,19.99,B00FVUC7SC,"#43.821, (Sport & Freizeit)",-3.48 ,"-348,38 %"
'0887202368509,220.99,B09RLP7R7T,"#391.611, (Sport & Freizeit)",-36.38 ,"-15,83 %"
'4043197347455,92.99,B0999KH8S4,"#109.590, (Sport & Freizeit)",-26.29 ,"-30,68 %"
'7640454285375,64.99,B09ZQ3CTKX,-,-12.25 ,"-17,02 %"
'0887202369438,126.99,B09RMTF2KC,"#191.539, (Sport & Freizeit)",-26.87 ,"-21,00 %"
'8015190272009,173.99,B09F2TBS7Z,"#224.281, (Sport & Freizeit)",-26.52 ,"-14,41 %"
'4524667623120,152.99,B07216912J,"#283.100, (Sport & Freizeit)",-28.86 ,"-16,91 %"
'8716706017007,7.99,B078Y9WR85,-,-1.59 ,"-19,87 %"
'4717480161478,12.99,B00NZ4AKV2,-,-3.34 ,"-333,58 %"
'4524667700647,12.99,B016RETTPE,"#510.962, (Sport & Freizeit)",-3.49 ,"-349,34 %"
'8400160086401,7.99,B00L8KDVDY,-,-9.91 ,"-990,99 %"
'0840226145464,49.99,B01J4CYRB2,"#823.653, (Sport & Freizeit)",-8.82 ,"-17,64 %"
'8400170021706,13.99,B018MBKRA6,"#245.923, (Sport & Freizeit)",-14.30 ,"-1.430,49 %"
'5060541582507,25.99,B08KYTWB5F,"#21.701, (Sport & Freizeit)",-4.97 ,"-19,14 %"
'0711484101564,11.99,B000C191WA,"#111.190, (Sport & Freizeit)",-4.94 ,"-41,20 %"
'4715910040102,34.99,B07PMKQP6M,"#316.381, (Sport & Freizeit)",-9.01 ,"-25,76 %"
'0196261005363,110.99,B09M1VXZMW,"#1.077.276, (Auto & Motorrad)",-12.02 ,"-9,69 %"
'0887202369223,126.99,B09RMG7G5T,-,-26.86 ,"-20,98 %"
'0768686125645,157.99,B077ZJLY7D,"#331.137, (Sport & Freizeit)",-32.01 ,"-20,19 %"
'5400974004816,125.99,B09C1J8W7M,-,-43.56 ,"-43,13 %"
'4524667827467,20.99,B00IOF38IE,"#97.073, (Sport & Freizeit)",-6.89 ,"-32,82 %"
'0768686383991,205.99,B08DZH98CQ,-,-29.34 ,"-13,34 %"
'0810014049038,36.99,B094NV4LD1,"#355.231, (Sport & Freizeit)",3.40 ,"5,52 %"
'8015190264721,25.99,B08427PSJN,"#934.333, (Sport & Freizeit)",-1.55 ,"-3,88 %"
'0843990091708,53.99,B0767XLHJM,"#390.743, (Sport & Freizeit)",-52.13 ,"-5.213,11 %"
'7325549889415,79.99,B0BV35VFTN,"#329.872, (Sport & Freizeit)",-6.24 ,"-6,24 %"
'4036638096722,32.99,B08L81PGBW,"#225.087, (Sport & Freizeit)",-6.13 ,"-14,60 %"
'8015190258591,72.99,B07GSPLSV7,-,-20.31 ,"-30,10 %"
'8435409073423,39.99,B084L7TGB6,-,-7.16 ,"-14,34 %"
'0768686125584,157.99,B077ZK2XNH,"#331.137, (Sport & Freizeit)",-140.94 ,"-14.093,88 %"
