EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4016167033344,59.99,B004GCNAV4,"#137.404, (Sport & Freizeit)",1.75 ,"2,13 %"
'4055083008012,339.99,B09RX2Z82R,-,-1.34 ,"-0,31 %"
'9421032924385,426.99,B09RQVDDXM,"#263.527, (Sport & Freizeit)",-90.39 ,"-22,60 %"
'4065419795691,81.99,B09HZ7M9DS,"#412.373, (Fashion)",-18.78 ,"-22,91 %"
'0194905440686,114.99,B08P4LGDFP,"#220.100, (Fashion)",3.07 ,"2,00 %"
'0193395950989,119.99,B09RK1981Q,"#142.838, (Fashion)",-12.85 ,"-9,45 %"
'0763477002099,71.99,B07PWH38ZJ,"#69.249, (Sport & Freizeit)",-29.76 ,"-57,24 %"
'4016167054356,9.99,B01FK37XR4,"#236.288, (Sport & Freizeit)",-11.09 ,"-1.109,00 %"
'4712805976706,17.99,B005X7758A,"#60.617, (Sport & Freizeit)",-18.34 ,"-1.834,38 %"
'0710845666513,28.99,B07G6YCJCK,-,-28.58 ,"-2.858,31 %"
'8716683112665,31.99,B0792P1B71,"#45.267, (Sport & Freizeit)",-7.32 ,"-22,90 %"
'8716683004953,11.99,B000VT3WTQ,"#21.906, (Sport & Freizeit)",-5.20 ,"-43,36 %"
'0641300351197,28.99,B08B79J55X,"#10.522, (Sport & Freizeit)",-1.12 ,"-2,96 %"
'4052406232208,22.99,B077SP6WGJ,"#551.829, (Sport & Freizeit)",-8.61 ,"-33,15 %"
'4017912099745,86.99,B07WLY882F,"#270.074, (Fashion)",-18.62 ,"-21,40 %"
'4064043154423,69.99,B09HRVRLB3,"#397.075, (Fashion)",-6.77 ,"-7,99 %"
'8054216452322,17.99,B08JPVL1G5,"#239.261, (Fashion)",-6.11 ,"-30,54 %"
'7318573892360,27.99,B0BW4TPGXG,"#1.069.223, (Fashion)",-8.83 ,"-31,56 %"
'4052406360727,1635.99,B0BR3YXYS9,-,-263.62 ,"-15,99 %"
'4260131168994,1219.0,B0BR3XWS24,"#268.215, (Sport & Freizeit)",-182.44 ,"-14,49 %"
'4016224173501,22.99,B0017H98GW,"#4.574, (Sport & Freizeit)",-9.77 ,"-48,88 %"
'4021834072601,17.99,B00TK0XC38,"#261.360, (Sport & Freizeit)",-7.25 ,"-35,88 %"
'4717480164905,5.99,B01LW7VTJI,-,-8.71 ,"-871,14 %"
