EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'5057566296458,6.49,B09CYZGLZV,"#28.277, (Kosmetik)",-3.60 ,"-55,44 %"
'5057566296434,5.99,B09CYZV3G1,"#28.277, (Kosmetik)",-3.56 ,"-59,40 %"
'020714430412,20.95,B004UNWEFC,"#35.347, (Kosmetik)",-5.86 ,"-27,24 %"
'020714430429,17.96,B004VRL9Q2,"#19.720, (Kosmetik)",-3.34 ,"-15,51 %"
'020714430436,21.5,B00AQRLSH6,"#55.338, (Kosmetik)",-1.23 ,"-4,25 %"
'8025272640244,7.65,B07FX8G8H5,"#27.252, (Kosmetik)",-3.50 ,"-45,78 %"
'8025272640251,8.95,B07DGDXH9P,-,-3.80 ,"-42,46 %"
'8025272640268,8.95,B07DGBNKX2,-,-3.80 ,"-42,46 %"
'8025272640275,8.0,B07DGB7RK3,-,-3.72 ,"-46,48 %"
'607710069497,24.3,B07B79K3S8,"#202.353, (Kosmetik)",-23.63 ,"-2.362,58 %"
'3614272139022,44.6,B07FSY6G2W,"#135.702, (Kosmetik)",-16.43 ,"-47,02 %"
'3614272139015,44.6,B07BYQPS5J,"#135.702, (Kosmetik)",-6.74 ,"-13,75 %"
'3614272139008,44.6,B07CBJN7R6,"#135.702, (Kosmetik)",-24.33 ,"-101,58 %"
'4052136159257,10.2,B09MZCRTGK,"#17.648, (Kosmetik)",-3.75 ,"-32,76 %"
'5029724140576,6.41,B07DFNKPPX,"#127.946, (Kosmetik)",3.60 ,"18,95 %"
'5029724140484,6.41,B07DFQXS8T,"#127.946, (Kosmetik)",-7.93 ,"-793,11 %"
'5029724140392,6.41,B07DFRY5FD,"#127.946, (Kosmetik)",-8.97 ,"-896,96 %"
'887167491533,33.5,B08N1HJBNT,"#612.375, (Kosmetik)",1.58 ,"3,31 %"
'887167491540,36.9,B08J4GJ6J4,"#471.522, (Kosmetik)",-6.68 ,"-16,73 %"
'887167491557,47.0,B08KWD8962,"#312.565, (Kosmetik)",-11.79 ,"-26,31 %"
'4019674020814,8.4,B001TDQMYU,"#28.485, (Kosmetik)",-1.45 ,"-11,53 %"
'4059729331328,3.49,B09JC8TCN7,"#20.391, (Kosmetik)",-0.70 ,"-9,09 %"
'4059729331113,3.49,B09HHCF92L,"#2.490, (Kosmetik)",-3.41 ,"-98,94 %"
'4059729331182,3.49,B09JC9T6MD,"#366.825, (Kosmetik)",-5.47 ,"-547,05 %"
'4059729330970,3.49,B09HH9VF7K,"#2.490, (Kosmetik)",-3.41 ,"-98,93 %"
'4059729331045,3.49,B09HHB7PPW,"#160.430, (Kosmetik)",-3.39 ,"-89,18 %"
'4052136005202,7.7,B00AVTLR52,"#9.788, (Kosmetik)",-2.42 ,"-25,79 %"
'800897834678,9.3,B00Y1HYX8S,"#1.219, (Kosmetik)",-4.44 ,"-52,22 %"
'800897834661,9.3,B014WOHZES,"#1.219, (Kosmetik)",-4.44 ,"-52,22 %"
'800897085407,7.7,B071LLSFM2,"#393.887, (Kosmetik)",-8.82 ,"-882,02 %"
'800897085414,7.7,B072J7HXBX,-,-3.49 ,"-43,62 %"
'800897085339,7.7,B071ZDGQRY,-,-8.82 ,"-882,42 %"
'800897085384,7.4,B072FMW6MG,-,-8.57 ,"-857,00 %"
'800897085353,7.7,B071VY8T57,"#505.105, (Kosmetik)",-8.82 ,"-882,02 %"
'800897085346,7.3,B071FF9KV7,"#487.928, (Kosmetik)",-8.68 ,"-867,75 %"
'800897085360,7.99,B0728GC71P,"#471.778, (Bürobedarf & Schreibwaren)",-4.15 ,"-52,55 %"
'3614271639738,28.45,B0754LXP92,"#323.293, (Kosmetik)",-26.46 ,"-2.645,50 %"
'689304152020,13.6,B00KMKXU00,-,2.19 ,"9,07 %"
'0689304153409,13.6,B0745WR6NR,"#587.170, (Kosmetik)",2.70 ,"10,96 %"
'689304152440,13.6,B01IRXYOJO,"#141.218, (Kosmetik)",-6.50 ,"-57,36 %"
'0689304153331,13.6,B01IRY63G0,"#141.218, (Kosmetik)",-6.50 ,"-57,37 %"
'0689304152174,13.6,B00KMKXUVY,"#141.218, (Kosmetik)",-6.70 ,"-59,09 %"
'0689304153294,13.6,B01IRY5TN8,"#141.218, (Kosmetik)",-0.76 ,"-3,81 %"
'689304152655,17.0,B00KMKXT7Y,"#141.218, (Kosmetik)",-9.36 ,"-82,61 %"
'0689304152587,13.6,B00KMKXUKA,"#141.218, (Kosmetik)",1.23 ,"5,18 %"
'30174139,7.99,B07PW4F4FQ,"#6.429, (Kosmetik)",-3.56 ,"-44,77 %"
'30174122,7.99,B07NKCJFQ2,"#285.231, (Kosmetik)",-9.06 ,"-906,01 %"
'30174115,7.99,B07PYDYBKS,"#6.429, (Kosmetik)",-9.25 ,"-925,02 %"
'30174207,6.66,B07BCLYZY9,"#3.980, (Kosmetik)",-2.87 ,"-37,57 %"
'30174092,7.99,B07PX9C458,"#3.980, (Kosmetik)",-3.75 ,"-47,19 %"
'30174184,7.99,B07B9ZSQFH,"#3.980, (Kosmetik)",-3.75 ,"-47,17 %"
'30174191,6.39,B07NKBNYWB,"#6.429, (Kosmetik)",-7.91 ,"-791,04 %"
'30179127,7.99,B0816Q532N,"#6.429, (Kosmetik)",-3.75 ,"-47,17 %"
'30179134,7.95,B0816P79FY,"#6.429, (Kosmetik)",-3.72 ,"-46,79 %"
'30179141,7.99,B0816PGQVM,"#6.429, (Kosmetik)",-3.75 ,"-47,18 %"
'30179158,7.99,B0816QX15Z,"#139.566, (Kosmetik)",-9.06 ,"-906,01 %"
'736150171702,42.8,B08JM3ZZFB,"#408.135, (Kosmetik)",-5.89 ,"-12,02 %"
'736150171740,53.5,B08JM2RSGQ,"#275.096, (Kosmetik)",-10.05 ,"-17,94 %"
'736150171887,37.45,B08JM2WVBW,"#225.268, (Kosmetik)",-16.01 ,"-57,61 %"
'3600530746576,7.96,B007B8UCMA,"#4.226, (Kosmetik)",-4.96 ,"-69,00 %"
'3600530746613,8.16,B007B8UE5K,"#4.226, (Kosmetik)",-3.80 ,"-42,50 %"
'3600530746545,7.96,B007B8UC16,"#4.226, (Kosmetik)",-3.63 ,"-40,61 %"
'3600530880034,9.99,B00B49YPPC,"#7.020, (Kosmetik)",-5.33 ,"-59,62 %"
'3600530746521,7.96,B007B8UAG8,"#3.395, (Kosmetik)",-3.63 ,"-40,61 %"
'3600530746507,9.99,B00YA9R4YW,"#4.226, (Kosmetik)",-6.66 ,"-92,64 %"
'3600530746514,7.96,B00H4XRYJG,"#3.395, (Kosmetik)",-4.88 ,"-66,90 %"
'3600530746538,9.99,B007B8UB2Q,"#4.226, (Kosmetik)",-11.58 ,"-1.158,22 %"
'3600530746583,7.96,B007B8UDKQ,"#4.226, (Kosmetik)",-9.37 ,"-937,17 %"
'3600531544942,9.99,B07FHPG8WF,"#3.395, (Kosmetik)",-5.33 ,"-59,62 %"
'3600523905003,10.89,B085SF9C4Y,"#3.233, (Kosmetik)",-4.71 ,"-43,27 %"
'8025272607605,12.75,B07DQL97BQ,"#42.240, (Kosmetik)",-5.13 ,"-40,23 %"
'8025272607698,14.95,B07DQPR8GF,"#165.358, (Kosmetik)",-5.46 ,"-36,53 %"
'8025272607704,10.5,B07DQQLJFY,"#19.384, (Kosmetik)",-1.70 ,"-11,33 %"
'8025272607612,12.0,B07DQNS5HW,"#53.165, (Kosmetik)",-6.06 ,"-57,72 %"
'8025272607629,12.75,B07DP3M4SC,"#19.384, (Kosmetik)",-5.13 ,"-40,23 %"
'8025272607636,14.99,B07DP2XB5B,"#19.384, (Kosmetik)",-8.57 ,"-76,19 %"
'8025272607643,14.99,B07DQPCQ78,"#19.384, (Kosmetik)",-5.48 ,"-36,54 %"
'8025272607650,10.5,B07DQMZSSL,"#19.384, (Kosmetik)",-4.80 ,"-45,74 %"
'8025272607667,14.95,B07DP3Y8MC,-,-6.78 ,"-51,94 %"
'8025272607674,11.25,B07DP37WCV,"#148.928, (Kosmetik)",-2.33 ,"-15,53 %"
'8025272607681,14.95,B07DQR8VHL,"#175.702, (Kosmetik)",-5.46 ,"-36,53 %"
