SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
BS-3P,Soap Dishes,,,{},0.5,Basic Collection,,Stainless Steel,Steeltek® The Basic Collection Pedestal Soap Dish 24 Per Case Price Per Each,"Solid Fundamental Styling
Easily Coordinates With Any Style
Polished Stainless Steel
Bright Finish
Cleans Easily With A Damp Cloth And Warm Water
4.6"" x 1.5"" x 3.3""",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-3p.jpg'],https://www.ahscompany.com/Steeltek®-The-Basic-Collection-Pedestal-Soap-Dish-24-Per-Case-Price-Per-Each_p_26981.html
BS-SMOKVT,Amenity Trays,,,{},0.5,Smoke Collection,,Resin,Steeltek® The Smoke Collection Double Wall Resin Flat Amenity Tray 24 Per Case Price Per Each,"Made Of Matte Resin
Transparent Resin Gives Double Wall Look
Resin Material Is Heavy And Durable
Neutral Grey Color And Clean Lines
4.0"" L x 10"" W x 0.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-smokvt.jpg'],https://www.ahscompany.com/Steeltek®-The-Smoke-Collection-Double-Wall-Resin-Flat-Amenity-Tray-24-Per-Case-Price-Per-Each_p_26458.html
BS-SMOK9,Tissue Boxes,,,{},3.25,Smoke Collection,,Resin,Steeltek® The Smoke Collection Double Wall Resin Indented Boutique Tissue Box Cover w/ Bottom 8 Per Case Price Per Each,"Made Of Matte Resin
Transparent Resin Gives Double Wall Look
Resin Material Is Heavy And Durable
Neutral Grey Color And Clean Lines
5.3"" L x 5.3"" W x 6"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-smok9.jpg'],https://www.ahscompany.com/Steeltek®-The-Smoke-Collection-Double-Wall-Resin-Indented-Boutique-Tissue-Box-Cover-w-Bottom-8-Per-Case-Price-Per-Each_p_26459.html
IT-1,Ice Tongs,,,{},1.0,Barware Guestroom Collections,Brushed Barware Collection,,"Steeltek® Barware 7"" Ice Tongs Brushed Finish 6 Per Case Price Per Each","7” Ice Tongs
Quality Stainless Steel
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
7.0"" L x 0.5"" W x 0.1"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/tongs.jpg'],https://www.ahscompany.com/Steeltek®-Barware-7-Ice-Tongs-Brushed-Finish-6-Per-Case-Price-Per-Each_p_7278.html
IB-DW2NH,Ice Buckets,2 Qt,,{},5.0,Barware Guestroom Collections,Brushed Barware Collection,,Steeltek® Barware 2 Qt. Ice Bucket w/ No Handle Brushed Finish 6 Per Case Price Per Each,"Double Walled Ice Bucket
Durability and Extended Insulation
Quality Stainless Steel
Brushed Finish
Cleans Easily with a Damp Cloth and Warm Water
6.5"" Dia x 7.3"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/ib-dw3nh.jpg'],https://www.ahscompany.com/Steeltek®-Barware-2-Qt-Ice-Bucket-w-No-Handle-Brushed-Finish-6-Per-Case-Price-Per-Each_p_27772.html
HT-2RB,Ice Bucket Serving Trays,,,{},2.75,Barware Guestroom Collections,Brushed Barware Collection,Stainless Steel,Steeltek® Barware Rectangular Serving Tray Brushed Finish 12 Per Case Price Per Each,"Rectangular Shape Bar Tray
Quality Stainless Steel
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
14.8"" L x 12.1"" W x 1.2"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/14servingtray.jpg'],https://www.ahscompany.com/Steeltek®-Barware-Rectangular-Serving-Tray-Brushed-Finish-12-Per-Case-Price-Per-Each_p_7280.html
IB-DW3NH,Ice Buckets,3 Qt,,{},5.33,Barware Guestroom Collections,Brushed Barware Collection,,Steeltek® Barware 3 Qt. Ice Bucket w/ No Handle Brushed Finish 6 Per Case Price Per Each,"Double Walled Ice Bucket
Durability And Extended Insulation
Quality Stainless Steel
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
6.8"" Dia x 7.5""",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/ib-dw3nh.jpg'],https://www.ahscompany.com/Steeltek®-Barware-3-Qt-Ice-Bucket-w-No-Handle-Brushed-Finish-6-Per-Case-Price-Per-Each_p_21045.html
BS-3R,Soap Dishes,,,{},1.0,Basic Collection,,Stainless Steel,Steeltek® Basic 1 Piece Design Soap Dish 6 Per Case Price Per Each,"Solid Fundamental Styling
Easily Coordinates With Any Style
Polished Stainless Steel
Bright Finish
Cleans Easily With A Damp Cloth And Warm Water
4-1/4"" W x 3/4"" H x 5-1/2"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-3.jpg'],https://www.ahscompany.com/Steeltek®-Basic-1-Piece-Design-Soap-Dish-6-Per-Case-Price-Per-Each_p_21041.html
TB-CWH,Tissue Boxes,,,{},1.42,Bathroom Accessories,Ceramic White Accessories,Ceramic,Steeltek® Ceramic Boutique Tissue Box Cover White 12 Per Case Price Per Each,"Clean Lines and Smooth Finish
High Gloss Ceramic
Cleans Easily With A Damp Cloth And Warm Water
7.2"" L x 7.0"" W x 7.7"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/tbcwh.jpg'],https://www.ahscompany.com/Steeltek®-Ceramic-Boutique-Tissue-Box-Cover-White-12-Per-Case-Price-Per-Each_p_22524.html
AT-CERW,Amenity Trays,,,{},0.58,Bathroom Accessories,Ceramic White Accessories,Ceramic,Steeltek® Ceramic Amenity Tray White 12 Per Case Price Per Each,"Clean Lines and Smooth Finish
High Gloss Ceramic
Cleans Easily With A Damp Cloth And Warm Water
10.3"" L x 2.1"" W x7.8"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/atcerw.jpg'],https://www.ahscompany.com/Steeltek®-Ceramic-Amenity-Tray-White-12-Per-Case-Price-Per-Each_p_22525.html
