keyword,Title,Model,Sku,Discounted_Price,Actual_Price,Discount_Amount,Status,Image,URL,Description
GPU,GIGABYTE - Radeon RX 7900XTX GAMING OC 24GB GDDR6 PCI Express 4.0 Graphics Card,GV-R79XTXGAMING OC-24GD ,6528728 ,1049.99,1099.99,50,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6528/6528728_sd.jpg,https://www.bestbuy.com/site/gigabyte-radeon-rx-7900xtx-gaming-oc-24gb-gddr6-pci-express-4-0-graphics-card/6528728.p?skuId=6528728,"GIGABYTE Radeon RX 7900 XTX GAMING OC 24G Graphics Cards. Experience unprecedented performance, visuals, and power efficiency at 4K and beyond with AMD Radeon RX 7000 Series graphics cards, the world's first gaming GPUs powered by AMD RDNA 3 technology."
RAM,CORSAIR - VENGEANCE LPX 16GB (2PK x 8GB) 3600MHz DDR4 C18 DIMM Desktop Memory - Black,CMK16GX4M2D3600C18 ,6412826 ,41.99,49.99,8,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6412/6412826_sd.jpg,https://www.bestbuy.com/site/corsair-vengeance-lpx-16gb-2pk-x-8gb-3600mhz-ddr4-c18-dimm-desktop-memory-black/6412826.p?skuId=6412826,"Create a high-performance system with this two-pack of CORSAIR VENGEANCE LPX 8GB memory sticks. The pure aluminum heat spreader offers quick heat dissipation, and the custom PCB helps deliver ample overclocking headroom. These CORSAIR VENGEANCE LPX 8GB memory sticks are compatible with most motherboards and feature a low-profile design to conserve space."
CPU,Intel - Core i7-11700 11th Generation - 8 Core - 16 Thread - 2.5 to 4.9 GHz - LGA1200 - Locked Desktop Processor,BX8070811700 ,6452219 ,194.99,324.99,130,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6452/6452219_sd.jpg,https://www.bestbuy.com/site/intel-core-i7-11700-11th-generation-8-core-16-thread-2-5-to-4-9-ghz-lga1200-locked-desktop-processor/6452219.p?skuId=6452219,11th Gen Intel® Core™ i7-11700 desktop processor. Featuring Intel® Turbo Boost Max Technology 3.0 and PCIe Gen 4.0 support. Built for the everyday desktop user; this processor delivers amazing performance for everything from enthusiast gaming and creation to productivity Thermal solution included in the box. Compatible with 500 series & select 400 series chipset based motherboards. Refer to motherboard vendor for compatiblity details. 65W.
GPU,MSI - NVIDIA GeForce RTX 4080 16GB VENTUS 3X OC 16GB DDR6X PCI Express 4.0 Graphics Card,RTX 4080 16GB VENTUS 3X OC ,6524441 ,1249.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6524/6524441_sd.jpg,https://www.bestbuy.com/site/msi-nvidia-geforce-rtx-4080-16gb-ventus-3x-oc-16gb-ddr6x-pci-express-4-0-graphics-card/6524441.p?skuId=6524441,"The NVIDIA GeForce RTX 4080 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds with ray tracing, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 16GB of GDDR6X memory to deliver the ultimate experience for gamers and creators."
GPU,NVIDIA - GeForce RTX 4070 12GB GDDR6X Graphics Card - Titanium and black,900-1G141-2544-000 ,6539358 ,599.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6539/6539358_sd.jpg,https://www.bestbuy.com/site/nvidia-geforce-rtx-4070-12gb-gddr6x-graphics-card-titanium-and-black/6539358.p?skuId=6539358,"Get equipped for stellar gaming and creating with the NVIDIA GeForce RTX 4070. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more."
CPU,AMD - Ryzen 9 7950X 16-core - 32-Thread 4.5GHz (5.7 GHz Max Boost) Socket AM5 Desktop Processor - Silver,100-100000514WOF ,6519470 ,599.99,699.99,100,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6519/6519470cv11d.jpg,https://www.bestbuy.com/site/amd-ryzen-9-7950x-16-core-32-thread-4-5ghz-5-7-ghz-max-boost-socket-am5-desktop-processor-silver/6519470.p?skuId=6519470,"When you want the best for gaming and creating, the 16-core powerhouse processor that can do it all with the highest single-core and multi-core performance from AMD for the most demanding gamers and creators."
CPU,Intel - Core i7-12700K Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked  LGA1700 600 Series Chipset 125W,BX8071512700K ,6483672 ,267.99,419.99,152,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6483/6483672_sd.jpg,https://www.bestbuy.com/site/intel-core-i7-12700k-desktop-processor-12-8p-4e-cores-up-to-5-0-ghz-unlocked-lga1700-600-series-chipset-125w/6483672.p?skuId=6483672,"12th Gen Intel® Core™ i7-12700K unlocked desktop processor. Featuring Intel® Turbo Boost Max Technology 3.0 and PCIe Gen 4.0 support, unlocked 12th Gen Intel® Core™ desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. Compatible with 600 series chipset based motherboards 125W."
CPU,Intel - Core i7-11700K 11th Generation - 8 Core - 16 Thread - 3.6  to 5.0 GHz - LGA1200 - Unlocked Desktop Processor,BX8070811700K ,6452221 ,276.99,419.99,143,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6452/6452221_sd.jpg,https://www.bestbuy.com/site/intel-core-i7-11700k-11th-generation-8-core-16-thread-3-6-to-5-0-ghz-lga1200-unlocked-desktop-processor/6452221.p?skuId=6452221,"11th Gen Intel® Core™ i7-11700K unlocked desktop processor. Featuring Intel® Turbo Boost Max Technology 3.0 and PCIe Gen 4.0 support, unlocked 11th Gen Intel® Core™ desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. Compatible with 500 series & select 400 series chipset based motherboards. Refer to motherboard vendor for compatiblity details. 125W."
CPU,"Intel - Core i5-13600K 13th Gen 14 cores 6 P-cores + 8 E-cores 24M Cache, 3.5 to 5.1 GHz LGA1700 Unlocked Desktop Processor",BX8071513600K ,6521196 ,309.99,339.99,30,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6521/6521196_sd.jpg,https://www.bestbuy.com/site/intel-core-i5-13600k-13th-gen-14-cores-6-p-cores-8-e-cores-24m-cache-3-5-to-5-1-ghz-lga1700-unlocked-desktop-processor/6521196.p?skuId=6521196,"13th Gen Intel Core i5-13600K desktop processor. Featuring PCIe 5.0 and 4.0 support, DDR5 and DDR4 support, unlocked 13th Gen Intel Core i5 desktop processors are optimized for gamers and productivity and help deliver high performance. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 125W Processor Base Power."
CPU,"AMD - Ryzen 9 5900X 4th Gen 12-core, 24-threads Unlocked Desktop Processor Without Cooler",100-100000061WOF ,6438942 ,319,549,230,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6438/6438942_sd.jpg,https://www.bestbuy.com/site/amd-ryzen-9-5900x-4th-gen-12-core-24-threads-unlocked-desktop-processor-without-cooler/6438942.p?skuId=6438942,"12 cores to power through gaming, streaming and more. Get the high-speed gaming performance of the world’s best desktop processor. A fast and easy way to expand and accelerate the storage in a desktop PC with an AMD Ryzen processor."
CPU,Intel - Core i5-12600K Desktop Processor 10 (6P+4E) Cores up to 4.9 GHz Unlocked  LGA1700 600 Series Chipset 125W,BX8071512600K ,6483676 ,214.99,299.99,85,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6483/6483676_sd.jpg,https://www.bestbuy.com/site/intel-core-i5-12600k-desktop-processor-10-6p-4e-cores-up-to-4-9-ghz-unlocked-lga1700-600-series-chipset-125w/6483676.p?skuId=6483676,"12th Gen Intel® Core™ i5-12600K unlocked desktop processor. Featuring PCIe Gen 5.0 & 4.0 support, DDR5 & DDR4 support, unlocked 12th Gen Intel® Core™ desktop processors are optimized for productivity, gaming, and overclocking. Thermal solution NOT included in the box. Compatible with 600 series chipset based motherboards 125W."
CPU,Intel - Core i5-10400 10th Generation 6-Core - 12-Thread - 2.9 GHz (4.3 GHz Turbo) Socket LGA1200 Locked Desktop Processor,BX8070110400 ,6411498 ,132.99,164.99,32,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6411/6411498_sd.jpg,https://www.bestbuy.com/site/intel-core-i5-10400-10th-generation-6-core-12-thread-2-9-ghz-4-3-ghz-turbo-socket-lga1200-locked-desktop-processor/6411498.p?skuId=6411498,"Enhance the performance of your desktop computer with this Intel Core i5-10400 six-core processor. The 2.9GHz base speed provides fast clocking, while the 12MB cache queues instructions quickly, increasing overall task execution. This Intel Core i5-10400 six-core processor features Intel Thermal Velocity Boost technology, which helps keep components at ideal operating temperatures."
CPU,AMD - Ryzen 5 7600X 6-core - 12-Thread 4.7GHz (5.3 GHz Max Boost) Socket AM5 Desktop Processor - Silver,100-100000593WOF ,6519479 ,249.99,299.99,50,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6519/6519479cv11d.jpg,https://www.bestbuy.com/site/amd-ryzen-5-7600x-6-core-12-thread-4-7ghz-5-3-ghz-max-boost-socket-am5-desktop-processor-silver/6519479.p?skuId=6519479,"Pure gaming performance, get the 6-core gaming processor built for intense gaming action."
CPU,AMD - Ryzen 7 5800X3D 3.4 GHz Eight-Core AM4 Processor - Black,100-100000651WOF ,6510767 ,329,449,120,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6510/6510767_sd.jpg,https://www.bestbuy.com/site/amd-ryzen-7-5800x3d-3-4-ghz-eight-core-am4-processor-black/6510767.p?skuId=6510767,"Featuring a unique AMD 3D V-Cache vertical design, this eight-core, 16 thread processor includes 96MB of L3 cache while still allowing the CPU to fit socket AM4 motherboards. Combined with the powerful Zen 3 7nm architecture, with a base clock speed of 3.4 GHz and a max boost clock speed of 4.5 GHz, this processor is designed to enhance 1080p video game performance by up to 15% with high graphical settings. Other features include support for PCIe 4.0 technology and 3200 MHz DDR4 RAM with compatible motherboards. This processor has a 105W TDP (Thermal Design Power) and does not include a cooling solution. Please note that it does not have an integrated GPU, so a dedicated graphics card is required."
CPU,Core i9-10850K Desktop Processor - 10 Cores up to 5.2 GHz Unlocked  LGA1200 - Intel 400 Series chipset 125W,BX8070110850K ,6428160 ,299.99,409.99,110,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6428/6428160_sd.jpg,https://www.bestbuy.com/site/core-i9-10850k-desktop-processor-10-cores-up-to-5-2-ghz-unlocked-lga1200-intel-400-series-chipset-125w/6428160.p?skuId=6428160,"10th Gen Intel Core i9-10850K unlocked desktop processor. Featuring Intel Turbo Boost Max Technology 3.0, unlocked 10th Gen Intel Core desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard. 125W."
RAM,PNY - XLR8 32GB (2PK 16GB) 3200MHz DDR4 DIMM Desktop Memory with RGB lighting,MD32GK2D4320016XRGB ,6441462 ,69.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6441/6441462cv1d.jpg,https://www.bestbuy.com/site/pny-xlr8-32gb-2pk-16gb-3200mhz-ddr4-dimm-desktop-memory-with-rgb-lighting/6441462.p?skuId=6441462,"A PNY XLR8 Gaming Chroma RGB Memory Upgrade offers a brilliant RGB design combined with extreme overclocked performance, taking your PC to the extreme. Not only can you destroy the competition, but your system can look good while doing so"
CPU,Intel - Core i9-11900K 11th Generation - 8 Core - 16 Thread - 3.5 to 5.3 GHz - LGA1200 - Unlocked Desktop Processor,BX8070811900K ,6452222 ,429.99,539.99,110,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6452/6452222_sd.jpg,https://www.bestbuy.com/site/intel-core-i9-11900k-11th-generation-8-core-16-thread-3-5-to-5-3-ghz-lga1200-unlocked-desktop-processor/6452222.p?skuId=6452222,"11th Gen Intel® Core™ i9-11900K unlocked desktop processor. Featuring Intel® Turbo Boost Max Technology 3.0 and PCIe Gen 4.0 support, unlocked 11th Gen Intel® Core™ desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Thermal solution NOT included in the box. Compatible with 500 series & select 400 series chipset based motherboards. Refer to motherboard vendor for compatiblity details. 125W."
CPU,Intel - Core i7-12700KF Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked  LGA1700 600 Series Chipset 125W,BX8071512700KF ,6483674 ,278.99,409.99,131,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6483/6483674_sd.jpg,https://www.bestbuy.com/site/intel-core-i7-12700kf-desktop-processor-12-8p-4e-cores-up-to-5-0-ghz-unlocked-lga1700-600-series-chipset-125w/6483674.p?skuId=6483674,"12th Gen Intel® Core™ i7-12700KF unlocked desktop processor, without processor graphics. Featuring Intel® Turbo Boost Max Technology 3.0 and PCIe Gen 5.0 & 4.0 support, DDR5 & DDR4 support, unlocked 12th Gen Intel® Core™ desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Discrete graphics required. Thermal solution NOT included in the box. Compatible with 600 series chipset based motherboards 125W."
Monitor,Samsung - Odyssey G7 28” 4K UHD IPS FreeSync Premium Pro & G-Sync Compatible Smart Gaming Monitor - Black,LS28BG702ENXGO ,6519254 ,599.99,799.99,200,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6519/6519254_sd.jpg,https://www.bestbuy.com/site/samsung-odyssey-g7-28-4k-uhd-ips-freesync-premium-pro-g-sync-compatible-smart-gaming-monitor-black/6519254.p?skuId=6519254,"Bring your gaming experience to life with the Samsung Odyssey G70B. Featuring a 4K UHD, IPS panel with HDR400, the G70B offers total depth and detail with every frame. A 144Hz refresh rate, 1ms response time and variable refresh rate with G-Sync and AMD FreeSync Premium Pro compatibility will help reduce tears, stuttering and screen lag. Access to your favorite PC and console titles via Gaming Hub allows you to expand your entertainment options, while Samsung TV Plus and pre-loaded streaming apps let you go beyond gameplay with a vast array of content in stunning 4K HDR."
Monitor,"Acer - KA242Y Ebi 23.8"" IPS LED FreeSync Monitor (HDMI, VGA)",KA242Y Ebi ,6540943 ,99.99,129.99,30,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6540/6540943_sd.jpg,https://www.bestbuy.com/site/acer-ka242y-ebi-23-8-ips-led-freesync-monitor-hdmi-vga/6540943.p?skuId=6540943,"In competitive gaming, every frame matters. Introducing Acer's KA242Y gaming monitor - the Full HD resolution monitor that can keep up with your game play. Through AMD FreeSync technology, the game’s frame rate is determined by your graphics card, not the fixed refresh rate of the monitor, giving you a serious competitive edge. Plus, users can enjoy comfortable viewing experience while gaming via flicker-less and low dimming display. The design saves space on your desk and lets you place multiple monitors side by side to build a seamless big-screen display."
Monitor,LG - 27” UltraGear QHD IPS Gaming Monitor with G-SYNC Compatibility - Black,27GN800-B ,6437476 ,299.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6437/6437476_sd.jpg,https://www.bestbuy.com/site/lg-27-ultragear-qhd-ips-gaming-monitor-with-g-sync-compatibility-black/6437476.p?skuId=6437476,"Pure, pro-level gaming. Play like a pro with LG's 27"" UltraGear Gaming Monitor. Color intensity and purity of an IPS display with QHD (2560 x 1440) resolution and unbelievable 1ms response rates. Featuring custom gaming control, fast 144Hz refresh rates and NVIDIA G-SYNC Compatible with AMD FreeSync Premium to minimize tearing and stutter — all in a virtually borderless design."
Monitor,"AOC - G2 Series C27G2 27"" LED Curved FHD FreeSync Premium Monitor (DisplayPort, HDMI, VGA) - Black/Red",C27G2 ,6400436 ,259.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6400/6400436_sd.jpg,https://www.bestbuy.com/site/aoc-g2-series-c27g2-27-led-curved-fhd-freesync-premium-monitor-displayport-hdmi-vga-black-red/6400436.p?skuId=6400436,"Level up your gameplay with the AOC C27G2 27” curved gaming monitor with premium performance features that deliver an ultra-smooth gaming experience.The AOC Gaming C27G2 has a 1500R curved screen that provides immersive gaming and video playback experience as it surrounds your field-of-view. The 3-sided frameless design makes it an ideal model for a multi-monitor setup, giving you a seamless and even more immersive battle station. C27G2 is capable of displaying up to a 165Hz refresh rate and 1ms response time (MPRT), combined with Low Input Lag mode, gone are the days of stutters, lag, and skipped frames. Rated for AMD FreeSync Premium, C27G2’s low frame-rate compensation allows for a wide range of Adaptive-Sync support, working in conjunction with your graphics card for smooth gameplay. A sleek ergonomic stand comes standard with the C27G2, allowing for easy height, swivel, and tilt adjustments, promoting a healthier sitting posture. It is also VESA compatible, allowing for mounting with 3rd party mounts once the stand is removed with the thoughtful quick release function. More than just a gaming monitor, the AOC C27G2 also displays a wide color gamut for more lifelike and realistic images (up to 119.9% sRGB area coverage*) when it comes to color-critical applications. The C27G2 is truly a well-rounded performer and is accompanied by the best warranty the gaming monitor industry has to offer: 3-Year Zero Dead Pixel Guarantee + 3-Year Advance Replacement + 1-Year Accidental Damage Warranty through AOC."
Monitor,"Alienware - AW3423DWF 34"" Quantum Dot OLED Curved Ultrawide Gaming Monitor - 165Hz - AMD FreeSync Premium Pro - VESA - HDMI,USB - Dark Side of the Moon",AW3423DWF ,6536990 ,1099.99,,0,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6536/6536990ld.jpg,https://www.bestbuy.com/site/alienware-aw3423dwf-34-quantum-dot-oled-curved-ultrawide-gaming-monitor-165hz-amd-freesync-premium-pro-vesa-hdmiusb-dark-side-of-the-moon/6536990.p?skuId=6536990,"The Alienware 34"" Curved Gaming monitor features QD-OLED technology and AMD FreeSync Premium Pro. Featuring infinite contrast ratio, 165Hz refresh rate and VESA DisplayHDR TRUEBlack 400 for an incredible front-of-screen performance."
Monitor,"Samsung - M7 Series 43"" Smart Tizen 4K UHD Monitor (HDMI, USB-C) - Black",LS43BM702UNXZA ,6502570 ,399.99,499.99,100,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6502/6502570_sd.jpg,https://www.bestbuy.com/site/samsung-m7-series-43-smart-tizen-4k-uhd-monitor-hdmi-usb-c-black/6502570.p?skuId=6502570,"Everything you need is right in your screen. Watch, work and chat - all without connecting a separate PC - with Smart Monitor. Your favorite content, productivity and video call apps are built-in for a simpler and more stylish desk setup that’s a joy to use every time."
Monitor,"Samsung - Odyssey G5 27"" LED Curved 1ms WQHD FreeSync Premium 165Hz Gaming Monitor - Black",LS27AG550ENXZA ,6500800 ,299.99,369.99,70,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6500/6500800_sd.jpg,https://www.bestbuy.com/site/samsung-odyssey-g5-27-led-curved-1ms-wqhd-freesync-premium-165hz-gaming-monitor-black/6500800.p?skuId=6500800,"When it comes to gaming performance, the slightest  disadvantage can be the difference between winning  and losing a match. With a 165Hz refresh rate, lightning  fast 1ms (GTG) response time and AMD FreeSync Premium support, you can be sure that the Odyssey G55A won’t let you down on the battlefield."
