keyword,Title,Model,Sku,Discounted_Price,Actual_Price,Discount_Amount,Status,Image,URL,Description
CPU,"Intel - Core i5-13600KF 13th Gen 14 cores 6 P-cores + 8 E-cores 24M Cache, 3.5p to 5.1 GHz LGA1700 Unlocked Desktop Processor",BX8071513600KF ,6521198 ,291.99,309.99,18,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6521/6521198_sd.jpg,https://www.bestbuy.com/site/intel-core-i5-13600kf-13th-gen-14-cores-6-p-cores-8-e-cores-24m-cache-3-5p-to-5-1-ghz-lga1700-unlocked-desktop-processor/6521198.p?skuId=6521198,"13th Gen Intel Core i5-13600KF desktop processor, without processor graphics. Featuring PCIe 5.0 and 4.0 support, DDR5 and DDR4 support, unlocked 13th Gen Intel Core i5 desktop processors are optimized for gamers and productivity and help deliver high performance. Discrete graphics required. Thermal solution NOT included in the box. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 125W Processor Base Power."
CPU,"Intel - Core i7-13700KF 13th Gen 6 cores 8 P-cores + 8 E-cores 30M Cache, 3.4 to 5.4 GHz LGA1700 Unlocked Desktop Processor",BX8071513700KF ,6521195 ,390.99,459.99,69,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6521/6521195_sd.jpg,https://www.bestbuy.com/site/intel-core-i7-13700kf-13th-gen-6-cores-8-p-cores-8-e-cores-30m-cache-3-4-to-5-4-ghz-lga1700-unlocked-desktop-processor/6521195.p?skuId=6521195,"13th Gen Intel Core i7-13700KF desktop processor, without processor graphics. Featuring Intel Turbo Boost Max Technology 3.0, and PCIe 5.0 and 4.0 support, DDR5 and DDR4 support, unlocked 13th Gen Intel Core i7 desktop processors are optimized for gamers and productivity and help deliver high performance. Discrete graphics required. Thermal solution NOT included in the box. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 125W Processor Base Power."
CPU,"Intel - Core i9-13900KF 13th Gen 24 cores 8 P-cores + 16 E-cores 36M Cache, 3 to 5.8 GHz LGA1700 Unlocked Desktop Processor",BX8071513900KF ,6521192 ,540.99,659.99,119,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6521/6521192_sd.jpg,https://www.bestbuy.com/site/intel-core-i9-13900kf-13th-gen-24-cores-8-p-cores-16-e-cores-36m-cache-3-to-5-8-ghz-lga1700-unlocked-desktop-processor/6521192.p?skuId=6521192,"13th Gen Intel Core i9-13900KF desktop processor, without processor graphics. Featuring Intel Adaptive Boost Technology, Intel Thermal Velocity Boost, Intel Turbo Boost Max Technology 3.0, and PCIe 5.0 and 4.0 support, DDR5 and DDR4 support, unlocked 13th Gen Intel Core i9 desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance. Discrete graphics required. Thermal solution NOT included in the box. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 125W Processor Base Power."
CPU,AMD - Ryzen 5 4500 3.6 GHz Six-Core AM4 Processor - Black,100-100000644BOX ,6510771 ,79,129,50,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6510/6510771_sd.jpg,https://www.bestbuy.com/site/amd-ryzen-5-4500-3-6-ghz-six-core-am4-processor-black/6510771.p?skuId=6510771,"Designed for socket AM4 motherboards and featuring the 7nm Zen 2 architecture, this 4th generation processor is designed to provide fast, power efficient performance. With a base clock speed of 3.6 GHz and a max boost clock speed of 4.1 GHz in addition to 8MB of L3 Cache, the Ryzen 5 4500 is built to deliver the power needed to smoothly handle tasks ranging from content creation to immersive gaming experiences. You can boost performance further by overclocking this unlocked processor. Other features include support for PCIe Gen 3 technology and 3200 MHz DDR4 RAM. This processor has a 65W TDP (Thermal Design Power) and includes a Wraith Stealth cooling solution. Please note that it does not have an integrated GPU, so a dedicated graphics card is required."
CPU,"Intel - Core i5-13400F 13th Gen 10 core 6 P-cores + 4 E-cores, 20MB Cache, 2.5 to 4.6 GHz Desktop Processor",BX8071513400F ,6530251 ,208.99,214.99,6,Out of stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6530/6530251_sd.jpg,https://www.bestbuy.com/site/intel-core-i5-13400f-13th-gen-10-core-6-p-cores-4-e-cores-20mb-cache-2-5-to-4-6-ghz-desktop-processor/6530251.p?skuId=6530251,"13th Gen Intel Core i5-13400F desktop processor, without processor graphics. Featuring PCIe 5.0 & 4.0 support, DDR5 and DDR4 support, 13th Gen Intel Core i5 desktop processors are optimized for gamers and productivity and help deliver high performance. Discrete graphics required. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 65W Processor Base Power"
CPU,Intel - Core i7-12700KF Desktop Processor 12 (8P+4E) Cores up to 5.0 GHz Unlocked  LGA1700 600 Series Chipset 125W,BX8071512700KF ,6483674 ,278.99,409.99,131,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6483/6483674_sd.jpg,https://www.bestbuy.com/site/intel-core-i7-12700kf-desktop-processor-12-8p-4e-cores-up-to-5-0-ghz-unlocked-lga1700-600-series-chipset-125w/6483674.p?skuId=6483674,"12th Gen Intel® Core™ i7-12700KF unlocked desktop processor, without processor graphics. Featuring Intel® Turbo Boost Max Technology 3.0 and PCIe Gen 5.0 & 4.0 support, DDR5 & DDR4 support, unlocked 12th Gen Intel® Core™ desktop processors are optimized for enthusiast gamers and serious creators and help deliver high performance overclocking for an added boost. Discrete graphics required. Thermal solution NOT included in the box. Compatible with 600 series chipset based motherboards 125W."
CPU,"Intel - Core i7-13700F 13th Gen 16 cores 8 P-cores + 8 E-cores 30MB Cache, 2.1 to 5.2 GHz Desktop Processor",BX8071513700F ,6530248 ,360.99,379.99,19,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6530/6530248_sd.jpg,https://www.bestbuy.com/site/intel-core-i7-13700f-13th-gen-16-cores-8-p-cores-8-e-cores-30mb-cache-2-1-to-5-2-ghz-desktop-processor/6530248.p?skuId=6530248,"13th Gen Intel Core i7-13700F desktop processor, without processor graphics. Featuring Intel Turbo Boost Max Technology 3.0, and PCIe 5.0 & 4.0 support, DDR5 and DDR4 support, 13th Gen Intel Core i7 desktop processors are optimized for gamers and productivity and help deliver high performance. Discrete graphics required. Compatible with Intel 700 Series and Intel 600 Series Chipset based motherboards. 65W Processor Base Power"
CPU,AMD - Ryzen 9 7900X3D 12-Core - 24-Thread 4.4 GHz (5.6 GHz Max Boost) Socket AM5 Unlocked Desktop Processor - Black,100-100000909WOF ,6537140 ,549,599,50,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6537/6537140_sd.jpg,https://www.bestbuy.com/site/amd-ryzen-9-7900x3d-12-core-24-thread-4-4-ghz-5-6-ghz-max-boost-socket-am5-unlocked-desktop-processor-black/6537140.p?skuId=6537140,"AMD Ryzen 9 7900X3D The insanely powerful gaming and streaming desktop processor, with AMD 3D V-Cache technology for even more gaming performance.  With this enthusiast processor you can enjoy extreme performance for gaming, creating, streaming, or whatever creative workload you choose.  Plus, enjoy the benefits of next-gen AMD 3D V-Cache technology for lower latency and even more game performance."
CPU,AMD - Ryzen 9 7900 12-core - 24-Thread 4.0 GHz (5.4 GHz Max Boost) Socket AM5 Unlocked Desktop Processor - Silver,100-100000590BOX ,6530446 ,429,,,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6530/6530446_sd.jpg,https://www.bestbuy.com/site/amd-ryzen-9-7900-12-core-24-thread-4-0-ghz-5-4-ghz-max-boost-socket-am5-unlocked-desktop-processor-silver/6530446.p?skuId=6530446,"Enjoy serious speed and ultimate power efficiency for gaming and creating.  This processor comes fully unlocked, overclockable, and will remain cool and quiet with an included AMD Wraith Prism cooler with RBG LED lighting."
CPU,Intel - Pentium Gold G7400 12th Generation - 2 Core - 4 Thread - 3.7 GHz - LGA1700 - Desktop Processor,BX80715G7400 ,6492596 ,89.99,,,In stock,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6492/6492596_sd.jpg,https://www.bestbuy.com/site/intel-pentium-gold-g7400-12th-generation-2-core-4-thread-3-7-ghz-lga1700-desktop-processor/6492596.p?skuId=6492596,"12th Gen Intel Pentium Gold G7400 desktop processor. Featuring PCIe 5.0 & 4.0 support, DDR5 and DDR4 support, 12th Gen Intel Pentium Gold desktop processors are optimized for productivity. Intel Laminar RS1 included in the box. Compatible with Intel 600 Series Chipset based motherboards. 46W Processor Base Power."
