Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Laivurinkatu,41,495 000 €,3,"51
							",https://roof.fi/kohteet/3hkkphsauna-ytj-1hkkphsauna-helsinki-laivurinkatu-41/,roof
Pietarinkatu,13,519 000 €,2,"59.5
							",https://roof.fi/kohteet/2hkkph-helsinki-pietarinkatu-13/,roof
Pursimiehenkatu,24,264 000 €,1,"31
							",https://roof.fi/kohteet/1hkkkph-yht-jarj-mukaan-1hkk-helsinki-pursimiehenkatu-24/,roof
Iso,28,499 000 €,2,"63
							",https://roof.fi/kohteet/2h-tyohuone-avok-kph-s-et-helsinki-iso-roobertinkatu-28/,roof
Annankatu,4,599 000 €,3,"76
							",https://roof.fi/kohteet/3h-avok-kph-wc-et-helsinki-annankatu-4/,roof
Pursimiehenkatu,17,349 000 €,2,"40
							",https://roof.fi/kohteet/2h-k-kph-helsinki-pursimiehenkatu-17/,roof
Sepänkatu,17,269 000 €,1,"27
							",https://roof.fi/kohteet/1hktkph-wc-helsinki-sepankatu-17/,roof
Punavuorenkatu,18,195 000 €,1,"16.5
							",https://roof.fi/kohteet/1h-avok-kph-wc-helsinki-punavuorenkatu-18/,roof
Pursimiehenkatu,23,2 080 000 €,3,"163
							",https://roof.fi/kohteet/3havok-2xkphseril-wcvhlasitettu-terassi-helsinki-pursimiehenkatu-23/,roof
Korkeavuorenkatu,39,498 000 €,2,"55
							",https://roof.fi/kohteet/2havokkph-helsinki-korkeavuorenkatu-39/,roof
Kasarmikatu,28,429 000 €,1,"57.5
							",https://roof.fi/kohteet/1h-k-2x-kph-s-khh-helsinki-kasarmikatu-28/,roof
Fabianinkatu,5,820 000 €,2,"75.5
							",https://roof.fi/kohteet/2hksauna-helsinki-fabianinkatu-5/,roof
Malminkatu,20,538 000 €,2,"55
							",https://roof.fi/kohteet/2hkkph-wc-yj-2hkk-helsinki-malminkatu-20/,roof
Kalevankatu,61,425 500 €,2,"62
							",https://roof.fi/kohteet/2h-k-kph-erillis-wc-s-lasitettu-parveke-helsinki-kalevankatu-61/,roof
Lönnrotinkatu,45,539 000 €,2,"58.5
							",https://roof.fi/kohteet/2h-avok-kph-et-helsinki-lonnrotinkatu-45/,roof
Lönnrotinkatu,43,569 000 €,3,"71.5
							",https://roof.fi/kohteet/3hk-helsinki-lonnrotinkatu-43b/,roof
Hietalahdenkatu,7,287 000 €,2,"47.5
							",https://roof.fi/kohteet/2h-avok-kph-helsinki-hietalahdenkatu-7/,roof
Kalevankatu,27,179 000 €,1,"20
							",https://roof.fi/kohteet/1hkk-helsinki-kalevankatu-27/,roof
Eerikinkatu,48,480 000 €,2,"65
							",https://roof.fi/kohteet/2h-helsinki-eerikinkatu-48/,roof
