Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Capellan Puistotie,13,279 000 €,,30.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/capellan-puistotie-13-eb5a5785,rive
Etupellontie,3,379 500 €,,91.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/etupellontie-3-40ccd436,rive
Franzéninkatu,1,199 000 €,,27 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/franzéninkatu-1-9a102724,rive
Harustie,6,188 000 €,,89 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/harustie-6--4fbe5791,rive
Humikkalantie,101,149 000 €,,49 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/humikkalantie-101-cdc4ccc6,rive
Jääkärinkatu,13,312 000 €,,29 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/jaakarinkatu-13-717e8daf,rive
Kalevankatu,26,359 000 €,,49 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/kalevankatu-26-dec612,rive
Karmiinikuja,4,319 500 €,,85 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/karmiinikuja-4-b60c2303,rive
Kauniinilmankuja,5,319 500 €,,57.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/kauniinilmankuja-5-d2980cb3,rive
Klaarantie,7,419 000 €,,63.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/klaarantie-7-aeb8f3,rive
Klaavuntie,14,170 000 €,,61 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/klaavuntie-14-b8c2c85c,rive
Kolsarintie,12,488 000 €,,120 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/kolsarintie-12a-944687cf,rive
Lavakatu,5,359 000 €,,87.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/lavakatu-5-aa2ab0e4,rive
Leikkikuja,3,114 000 €,,66 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/leikkikuja-3-279fca62,rive
Liusketie,16,199 000 €,,92 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/liusketie-16-46fd7780,rive
Mainiementie,15,369 000 €,,,https://rivehomes.com/fi/myytavat-asunnot/helsinki/mainiementie-15-29d7711d,rive
Mannerheimintie,76,898 000 €,,109 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/mannerheimintie-76-08e857,rive
Mannerheimintie,76,298 800 €,,26.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/mannerheimintie-76-61b74b5c,rive
Mannerheimintie,76,468 800 €,,51 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/mannerheimintie-76-f2dda0f7,rive
Pakettikatu,3,287 000 €,,46 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/pakettikatu-3-71bb9c13,rive
Porvoonkatu,21,458 000 €,,75 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/porvoonkatu-21-6f2ed64c,rive
Pursilahdenranta,2,498 000 €,,78.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/pursilahdenranta-2-2775bb22,rive
Rapakivenkuja,2,125 000 €,,55 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/rapakivenkuja-2-91a207a0,rive
Riukutie,10,233 000 €,,80.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/riukutie-10-56899c85,rive
