Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Itäinen,,760 000 €,4,120,https://westhouse.fi/kohteet/itainen-rantatie/,westhouse
Laajalahdentie,3,689 000 €,3,86,https://westhouse.fi/kohteet/laajalahdentie-3/,westhouse
Lehtomäentie,17,448 000 €,6,227,https://westhouse.fi/kohteet/lehtomaentie-17/,westhouse
Varjakanvalkama,22,1 390 000 €,6,295.5,https://westhouse.fi/kohteet/varjakanvalkama-22/,westhouse
Jääskentie,3,867 000 €,,132,https://westhouse.fi/kohteet/jaaskentie-3/,westhouse
Finnoontie,52,389 000 €,4,94.5,https://westhouse.fi/kohteet/finnoontie-52/,westhouse
Peikonkuja,4,442 000 €,7,164,https://westhouse.fi/kohteet/peikonkuja-4/,westhouse
Leppisaarentie,10,525 000 €,5,148.8,https://westhouse.fi/kohteet/leppisaarentie-10/,westhouse
Meritullinkatu,15,589 000 €,2,67,https://westhouse.fi/kohteet/meritullinkatu-15/,westhouse
Rantakuja,6,1 258 000 €,6,255,https://westhouse.fi/kohteet/rantakuja-6/,westhouse
Hakamäki,1,428 000 €,4,83,https://westhouse.fi/kohteet/hakamaki-1/,westhouse
Jokitie,4,298 000 €,3,79.5,https://westhouse.fi/kohteet/jokitie-4-b/,westhouse
Melkonkatu,8,499 000 €,4,90,https://westhouse.fi/kohteet/melkonkatu-8/,westhouse
Kartanonpolku,5,925 000 €,6,275,https://westhouse.fi/kohteet/kartanonpolku-5/,westhouse
Riihitie,23,448 000 €,2,65,https://westhouse.fi/kohteet/riihitie-23/,westhouse
Krogiuksentie,10,3 100 000 €,9,349,https://westhouse.fi/kohteet/krogiuksentie-10-c/,westhouse
Lillbyntie,94,412 000 €,6,268,https://westhouse.fi/kohteet/lillbyntie-94/,westhouse
Lohitie,2,185 000 €,1,27,https://westhouse.fi/kohteet/lohitie-2/,westhouse
Haukilahdenranta,21,269 000 €,3,69.5,https://westhouse.fi/kohteet/haukilahdenranta-21/,westhouse
Säynäväkuja,4,695 000 €,5,119.5,https://westhouse.fi/kohteet/saynavakuja-4/,westhouse
Peltomiehenkuja,3,729 000 €,5,185,https://westhouse.fi/kohteet/peltomiehenkuja-3/,westhouse
Toppelundintie,5,1 485 000 €,8,245.5,https://westhouse.fi/kohteet/toppelundintie-5/,westhouse
Graniittitie,5,449 000 €,5,137,https://westhouse.fi/kohteet/graniittitie-5/,westhouse
Visakoivuntie,21,650 000 €,5,115,https://westhouse.fi/kohteet/visakoivuntie-21/,westhouse
Kanavaniemi,5,849 000 €,4,139,https://westhouse.fi/kohteet/kanavaniemi-5/,westhouse
Alakartanontie,12,349 000 €,3,85.5,https://westhouse.fi/kohteet/alakartanontie-12/,westhouse
