Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Albertinkatu,16,159 000 €,,64.00 ,https://kotimeklarit.com/asunto/9573745_albertinkatu-16punavuori/,kotimeklarit
Ratakatu,9,398 000 €,2,42.00 ,https://kotimeklarit.com/asunto/21222637_ratakatu-9punavuori/,kotimeklarit
Vilhonvuorenkuja,20,385 000 €,3,58.00 ,https://kotimeklarit.com/asunto/20733019_vilhonvuorenkuja-20sornainen-kallio-vilhonvuori/,kotimeklarit
Merenkulkijankatu,7,170 000 €,2,58.50 ,https://kotimeklarit.com/asunto/20963358_merenkulkijankatu-7espoonlahti/,kotimeklarit
Uudenmaankatu,26,2 200 €,2,100.00 ,https://kotimeklarit.com/asunto/20331503_uudenmaankatu-26punavuori/,kotimeklarit
Kasarmikatu,1,850 €,1,27.00 ,https://kotimeklarit.com/asunto/20694884_kasarmikatu-1ullanlinna/,kotimeklarit
Kristianinkatu,9,1 140 €,1,38.50 ,https://kotimeklarit.com/asunto/21894985_kristianinkatu-9kruununhaka/,kotimeklarit
Rauhalanpuisto,6-8,895 €,2,50.00 ,https://kotimeklarit.com/asunto/21839251_rauhalanpuisto-6-8matinkyla/,kotimeklarit
Piritanaukio,3,4 400 €,4,199.00 ,https://kotimeklarit.com/asunto/20230049_piritanaukio-3eiranranta/,kotimeklarit
Korkeavuorenkatu,8,1 690 €,2,63.00 ,https://kotimeklarit.com/asunto/20316274_korkeavuorenkatu-8ullanlinna/,kotimeklarit
