Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Kalliolanrinne,3,798 000 €,3,114,https://neliotliikkuu.fi/myytavat-asunnot/90498/,neliotliikkuu
Juhannustie,19,289 000 €,4,99,https://neliotliikkuu.fi/myytavat-asunnot/90465/,neliotliikkuu
Mannerheimintie,31,548 000 €,4,100,https://neliotliikkuu.fi/myytavat-asunnot/90575/,neliotliikkuu
Koroistentie,3,525 000 €,4,93,https://neliotliikkuu.fi/myytavat-asunnot/90313/,neliotliikkuu
Mannerheimintie,56,1 090 000 €,4,130.20,https://neliotliikkuu.fi/myytavat-asunnot/90323/,neliotliikkuu
Jokisuunpolku,2,398 000 €,3,81.50,https://neliotliikkuu.fi/myytavat-asunnot/90252/,neliotliikkuu
Kuusitie,14,398 000 €,3,65,https://neliotliikkuu.fi/myytavat-asunnot/90302/,neliotliikkuu
Oksasenkatu,9,545 000 €,3,81.50,https://neliotliikkuu.fi/myytavat-asunnot/90151/,neliotliikkuu
Kangaspellontie,4,895 000 €,7,218,https://neliotliikkuu.fi/myytavat-asunnot/90207/,neliotliikkuu
Sepänkatu,19,438 000 €,2,53,https://neliotliikkuu.fi/myytavat-asunnot/90482/,neliotliikkuu
Korsitie,1,277 000 €,5,99,https://neliotliikkuu.fi/myytavat-asunnot/90128/,neliotliikkuu
Laitatuulenkaari,3,289 000 €,3,83.50,https://neliotliikkuu.fi/myytavat-asunnot/90114/,neliotliikkuu
Tuohimäentie,92,412 000 €,5,104  / 111,https://neliotliikkuu.fi/myytavat-asunnot/90194/,neliotliikkuu
Linnankoskenkatu,11,645 000 €,4,92.50,https://neliotliikkuu.fi/myytavat-asunnot/90264/,neliotliikkuu
Klaavuntie,1,163 000 €,2,52.50,https://neliotliikkuu.fi/myytavat-asunnot/90161/,neliotliikkuu
Englantilaisaukio,10,695 000 €,3,66,https://neliotliikkuu.fi/myytavat-asunnot/90096/,neliotliikkuu
Ruusankatu,8,385 000 €,2,58,https://neliotliikkuu.fi/myytavat-asunnot/90305/,neliotliikkuu
Mannerheimintie,61,465 000 €,4,72,https://neliotliikkuu.fi/myytavat-asunnot/90314/,neliotliikkuu
Vänrikki Stoolin Katu,5,1 285 000 €,6,181.10,https://neliotliikkuu.fi/myytavat-asunnot/90226/,neliotliikkuu
Ruoholahdenkatu,4,632 000 €,3,73.50,https://neliotliikkuu.fi/myytavat-asunnot/90192/,neliotliikkuu
Vuosaarentie,6,228 000 €,2,52.50,https://neliotliikkuu.fi/myytavat-asunnot/89291/,neliotliikkuu
Wallininkatu,6,345 000 €,3,54,https://neliotliikkuu.fi/myytavat-asunnot/86577/,neliotliikkuu
Kollikatu,2,239 000 €,2,40,https://neliotliikkuu.fi/myytavat-asunnot/88215/,neliotliikkuu
