Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Niittymaanaukea,8,369 000 €,,64 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/niittymaa/80332463,solidhouse
Paltankatu,7,110 000 €,,75 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/karsamaki/80309259,solidhouse
Laamanninkaari,12,365 000 €,,94 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/sundsberg/sundsberg/80311188,solidhouse
Metsontie,1,35 000 €,,42 ,https://www.solidhouse.fi/kohde/asunto/taivassalo/taivassalo/taivassalo/80333148,solidhouse
Kivimäentie,14,205 000 €,,83.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kivimaki/80310181,solidhouse
Satamakatu,3,439 000 €,,56 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/katajanokka/80333423,solidhouse
Vuorentie,10,139 000 €,,128.5 ,https://www.solidhouse.fi/kohde/asunto/ulvila/ulvila/friitala/80305158,solidhouse
Susiniitynkatu C,,248 000 €,,89.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/uittamo/80311282,solidhouse
Paaskunnankatu,12,210 000 €,,93 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/nummi/80332420,solidhouse
Verkaranta,1,128 000 €,,47 ,https://www.solidhouse.fi/kohde/asunto/lieto/littoinen/littoinen/80297101,solidhouse
Rantatie,574,86 000 €,,120 ,https://www.solidhouse.fi/kohde/asunto/pyharanta/santtio/santtio/80332967,solidhouse
Temperankatu,4,459 000 €,,103 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kuninkaantammi/80332573,solidhouse
Tuotantolinja,4,890 000 €,,,https://www.solidhouse.fi/kohde/asunto/kangasala/kangasala/lentola/80332483,solidhouse
Koivutie,1,114 000 €,,68 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/valhoja/80310423,solidhouse
Paimenkatu,3,298 000 €,,112 ,https://www.solidhouse.fi/kohde/asunto/raisio/raisio/kuuanlaakso/80294969,solidhouse
Haverintie,13,155 000 €,,300 ,https://www.solidhouse.fi/kohde/asunto/poytya/ylane/ylane/80294279,solidhouse
Karvataskunkatu,30,49 800 €,,33.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/varissuo/80332773,solidhouse
Neitojenpolku,22,548 000 €,,96 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/herttoniemenranta/80311209,solidhouse
Nahkiaisentie,20,138 000 €,,106 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/kalaholma/80307724,solidhouse
Valtakatu,10,159 000 €,,71 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/keskusta/80294941,solidhouse
Bermudankatu,5,537 000 €,,61.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/jatkasaari/80332521,solidhouse
Bahamankatu,10,498 000 €,,65 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/jatkasaari/80311430,solidhouse
Puttehevosentie,5,278 000 €,,205 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/halikko/80310568,solidhouse
Rekijoentie,437,137 000 €,,167.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/pertteli/80311558,solidhouse
Naarilantie,249,337 000 €,,39 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/tuohittu/80310987,solidhouse
Kohmankaari,9,95 000 €,,20.5 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/tesoma/80310879,solidhouse
Kalkkentie,34,154 000 €,,,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/lajo/80308171,solidhouse
Haarniityntie,462-4,127 000 €,,50 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/kisko/80311008,solidhouse
Rummunlyöjänkatu,14,82 900 €,,62 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/keskusta/80311205,solidhouse
Perustie,13,989 000 €,,166 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/munkkiniemi/80308847,solidhouse
Puutarhatie,16-18,127 000 €,,53.5 ,https://www.solidhouse.fi/kohde/asunto/orivesi/orivesi/asemaseutu/80309980,solidhouse
Karpalokuja,3,65 000 €,,61 ,https://www.solidhouse.fi/kohde/asunto/salo/halikko/halikko/80311221,solidhouse
Hakatie,13,97 000 €,,149.5 ,https://www.solidhouse.fi/kohde/asunto/ulvila/vanha-ulvila/pappila/80304617,solidhouse
Mansikkaahontie,4,109 000 €,,93 ,https://www.solidhouse.fi/kohde/asunto/kouvola/kouvola/pikku_palomaki/80310243,solidhouse
Kauklaistentie,32,97 000 €,,121.35 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/ala-kieri/80310823,solidhouse
Annankatu,13,1 590 000 €,,190 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80311072,solidhouse
Hansakatu,9,229 000 €,,54 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/portsa/80294286,solidhouse
Rautatienpuistokatu,2,174 000 €,,69 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/keskusta/80308355,solidhouse
Castréninkatu,12,639 000 €,,84 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kallio/80311162,solidhouse
Timoteikuja,4,630 000 €,,105 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/tapaninkyla/80289812,solidhouse
Monnankatu,19,55 000 €,,71 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/paroalho/80310867,solidhouse
Markulantie,121,186 000 €,,74.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/nattinummi/80310549,solidhouse
Karvataskunkatu,30,62 000 €,,58.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/varissuo/80310739,solidhouse
Koukkuniementie,6,485 000 €,,93 ,"https://www.solidhouse.fi/kohde/asunto/espoo/espoo/koukkuniemi,_matinkyla/80297379",solidhouse
Kohisevantie,9,335 000 €,,159.6 ,https://www.solidhouse.fi/kohde/asunto/paimio/paimio/loppi/80310617,solidhouse
Mustikkapolku,13,135 000 €,,128 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/uusikaupunki/santtio/80308948,solidhouse
Sammalkatu,4,199 000 €,,78 ,https://www.solidhouse.fi/kohde/asunto/naantali/naantali/sammalkallio/80309784,solidhouse
Capellan Puistotie,13,310 000 €,,26 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kalasatama/80308191,solidhouse
Välppätie,2,248 000 €,,76 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/hannunniittu/80308379,solidhouse
Kirkkokatu,3,525 000 €,,388 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/vanha_rauma/80305589,solidhouse
Kalasatamankatu,9,739 000 €,,81 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kalasatama/80307633,solidhouse
Kokkokalliontie,28-30,232 000 €,,68 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kuninkaala/80308852,solidhouse
