Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Köydenpunojankatu,15,309 000 €,2,45,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1355122,kiinteistomaailma
Lastenkodinkatu,9,460 000 €,2,60,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354689,kiinteistomaailma
Kalevankatu,42,689 000 €,3,97,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356856,kiinteistomaailma
Lapinlahdenkatu,7,498 000 €,3,74.7,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1355003,kiinteistomaailma
Ruoholahdenkatu,4,398 000 €,2,39,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1357489,kiinteistomaailma
Eerikinkatu,29,288 000 €,2,36,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1341811,kiinteistomaailma
Bulevardi,17,739 000 €,2,82,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356001,kiinteistomaailma
Kalevankatu,49,498 000 €,3,69.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354073,kiinteistomaailma
Malminrinne,2-4,735 000 €,3,81.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1346807,kiinteistomaailma
Lönnrotinkatu,38,995 000 €,5,127.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356230,kiinteistomaailma
Kalevankatu,25,795 000 €,4,114.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1348286,kiinteistomaailma
Lapinlahdenkatu,29,460 000 €,2,66.2,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354792,kiinteistomaailma
Lapinlahdenkatu,11,798 000 €,4,91.7,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356836,kiinteistomaailma
Eerikinkatu,44,369 000 €,3,70,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354021,kiinteistomaailma
Bulevardi,15,240 000 €,1,26.9,https://www.kiinteistomaailma.fi/helsinki_myytavat_toimitilat/1347139,kiinteistomaailma
