District Name,Serial No:,BLOCK NAME,VILLAGE NAME,SHG NAME,FORMATION DATE,TOTAL COUNT MEMBER
BEGUSARAI,82,Khudaband,Phaphot,Husnu25/12/,25-Dec-16,12
BEGUSARAI,83,Khudaband,Phaphot,Ujala,07-Jan-17,10
BEGUSARAI,84,Khudaband,Phaphot,Gulab01/03/2,01-Mar-14,15
BEGUSARAI,85,Khudaband,Khodawand,Puja,15-Nov-14,12
BEGUSARAI,86,Khudaband,Khodawand,Parmeshwar,17-Nov-14,14
BEGUSARAI,87,Khudaband,Khodawand,Prabhu,13-Nov-14,12
BEGUSARAI,88,Khudaband,Khodawand,Saraswati,09-Nov-14,11
BEGUSARAI,89,Khudaband,Khodawand,Mahadev,25-Apr-14,12
BEGUSARAI,90,Khudaband,Khodawand,Hasan,06-Nov-14,12
BEGUSARAI,91,Khudaband,Khodawand,Rishi,06-Dec-14,10
BEGUSARAI,92,Khudaband,Khodawand,Maa Ganga,05-Dec-14,10
BEGUSARAI,93,Khudaband,Khodawand,Maa Lakshmi,05-Dec-14,10
BEGUSARAI,94,Khudaband,Khodawand,Yamuna,05-Dec-14,13
BEGUSARAI,95,Khudaband,Khodawand,Savitri,16-Nov-14,12
BEGUSARAI,96,Khudaband,Khodawand,Maa Jagdamba,05-Dec-14,10
BEGUSARAI,97,Khudaband,Khodawand,Varsha,12-Mar-15,12
BEGUSARAI,98,Khudaband,Meghaul,Lakshmi,17-Feb-14,13
BEGUSARAI,99,Khudaband,Khodawand,Mausam07/03,07-Mar-15,10
BEGUSARAI,100,Khudaband,Khodawand,Himani,11-Mar-15,12
BEGUSARAI,101,Khudaband,Khodawand,Lakshmi,07-Feb-15,10
BEGUSARAI,102,Khudaband,Khodawand,Kamal,30-Jan-15,13
BEGUSARAI,103,Khudaband,Khodawand,Roshani,29-Jan-15,15
BEGUSARAI,104,Khudaband,Khodawand,Aarti,10-Jan-15,11
BEGUSARAI,105,Khudaband,Khodawand,Maa Kali,07-Dec-14,15
BEGUSARAI,106,Khudaband,Khodawand,Krishna,24-Dec-14,11
BEGUSARAI,107,Khudaband,Khodawand,Sagar,03-Dec-14,12
BEGUSARAI,108,Khudaband,Bara,Bandhan,19-Sep-14,13
BEGUSARAI,109,Khudaband,Narayanpur,Saraswati,06-Dec-14,11
BEGUSARAI,110,Khudaband,Narullahpur,Santoshi,09-Mar-15,11
BEGUSARAI,111,Khudaband,Narullahpur,Chandani,10-Mar-15,12
BEGUSARAI,112,Khudaband,Sagi,Aarti,02-Feb-15,12
BEGUSARAI,113,Khudaband,Narullahpur,Gulab,02-Feb-15,15
BEGUSARAI,114,Khudaband,Narayanpur,Gulab,05-Feb-15,11
BEGUSARAI,115,Khudaband,Narayanpur,Rani,10-Feb-15,12
BEGUSARAI,116,Khudaband,Narullahpur,Amba,03-Feb-15,13
BEGUSARAI,117,Khudaband,Narayanpur,Muskan,01-Jan-17,12
BEGUSARAI,118,Khudaband,Narullahpur,786,01-Jan-15,11
BEGUSARAI,119,Khudaband,Narayanpur,Krishna,01-Jan-15,12
BEGUSARAI,120,Khudaband,Narullahpur,Khushbu,09-Jan-15,12
BEGUSARAI,121,Khudaband,Narullahpur,Gulab,09-Jan-15,12
BEGUSARAI,122,Khudaband,Narullahpur,Saraswati,16-Jan-15,11
BEGUSARAI,123,Khudaband,Narullahpur,Sabera,17-Jan-15,15
BEGUSARAI,124,Khudaband,Sagi,Durga 2,02-Dec-14,11
BEGUSARAI,125,Khudaband,Narullahpur,Tulsi,19-Jan-15,12
BEGUSARAI,126,Khudaband,Narullahpur,Khuda,02-May-15,11
BEGUSARAI,127,Khudaband,Narayanpur,Janki,02-Sep-15,11
BEGUSARAI,128,Khudaband,Sagi,Akansha,05-Dec-14,10
BEGUSARAI,129,Khudaband,Khodawand,Bhawani,03-Dec-14,13
BEGUSARAI,130,Khudaband,Khodawand,Anand,06-Dec-14,15
BEGUSARAI,131,Khudaband,Khodawand,Devi,06-Dec-14,14
BEGUSARAI,132,Khudaband,Khodawand,Khwatine,03-Dec-14,14
BEGUSARAI,133,Khudaband,Bara,Bhagwati,18-Jan-14,12
BEGUSARAI,134,Khudaband,Mirzapur,Durga,27-Sep-14,12
BEGUSARAI,135,Khudaband,Mirzapur,Devirani,13-Oct-14,10
BEGUSARAI,136,Khudaband,Mirzapur,Shiv,24-Sep-14,10
BEGUSARAI,137,Khudaband,Meghaul,Kanak120420,12-Apr-18,12
BEGUSARAI,138,Khudaband,Meghaul,Aasman,07-Feb-16,10
BEGUSARAI,139,Khudaband,Meghaul,Maa,07-Feb-15,12
BEGUSARAI,140,Khudaband,Meghaul,Phul,03-Feb-15,10
BEGUSARAI,141,Khudaband,Meghaul,Hira,27-Jan-15,10
BEGUSARAI,142,Khudaband,Meghaul,Gauri,06-Jan-15,12
BEGUSARAI,143,Khudaband,Meghaul,Gagan,07-Jan-15,11
BEGUSARAI,144,Khudaband,Meghaul,Jai Maa Durga,06-Aug-19,11
BEGUSARAI,145,Khudaband,Meghaul,Aman,07-Dec-14,11
BEGUSARAI,146,Khudaband,Meghaul,Chaman,06-Dec-14,12
BEGUSARAI,147,Khudaband,Meghaul,Seeta,06-Dec-14,10
BEGUSARAI,148,Khudaband,Meghaul,Chand,05-Dec-14,10
BEGUSARAI,149,Khudaband,Meghaul,Sri Ram,04-Dec-14,12
BEGUSARAI,150,Khudaband,Meghaul,Gulab,26-Aug-15,12
BEGUSARAI,151,Khudaband,Meghaul,Vaishno,23-Jul-15,10
BEGUSARAI,152,Khudaband,Meghaul,Maa Sharde,16-Jul-15,10
BEGUSARAI,153,Khudaband,Bedaulia,Gaytari,04-Sep-14,11
BEGUSARAI,154,Khudaband,Phaphot,Khushbu,06-Oct-14,10
BEGUSARAI,155,Khudaband,Phaphot,Geeta,02-Dec-14,12
BEGUSARAI,156,Khudaband,Phaphot,Indira,02-Dec-14,11
BEGUSARAI,157,Khudaband,Malpur,Radha,16-Sep-15,14
BEGUSARAI,158,Khudaband,Malpur,Raushani,05-Feb-15,13
BEGUSARAI,159,Khudaband,Phaphot,Khushbu,21-Jun-14,13
BEGUSARAI,160,Khudaband,Phaphot,Muskan,06-Oct-14,10
BEGUSARAI,161,Khudaband,Malpur,Chanda,13-Feb-15,12
BEGUSARAI,162,Khudaband,Matihani,Shivguru,27-Sep-14,10
BEGUSARAI,163,Khudaband,Matihani,Satyaguru,07-Oct-14,10
BEGUSARAI,164,Khudaband,Mohanpur,Bhagwati,01-Jan-15,13
BEGUSARAI,165,Khudaband,Mohanpur,Shiv,02-Sep-17,11
BEGUSARAI,166,Khudaband,Mohanpur,Ganesh,02-Jan-15,11
BEGUSARAI,167,Khudaband,Mohanpur,Durga,02-Jan-15,11
BEGUSARAI,168,Khudaband,Mohanpur,Kali,16-Jan-15,11
BEGUSARAI,169,Khudaband,Mohanpur,Aaraju,18-Aug-14,11
BEGUSARAI,170,Khudaband,Begampur,Radha,22-Jan-15,11
BEGUSARAI,171,Khudaband,Daulatpur,Maa Lakshmi,10-May-15,12
BEGUSARAI,172,Khudaband,Mohanpur,Lakshmi10/12,10-Dec-14,12
BEGUSARAI,173,Khudaband,Mohanpur,Ram13/12/20,13-Dec-14,13
BEGUSARAI,174,Khudaband,Begampur,Phul,15-Sep-15,10
BEGUSARAI,175,Khudaband,Begampur,Komal,15-Sep-15,12
BEGUSARAI,176,Khudaband,Daulatpur,Sri Ram,20-Dec-14,15
BEGUSARAI,177,Khudaband,Daulatpur,Bhagwati,02-Feb-15,12
BEGUSARAI,178,Khudaband,Daulatpur,Durga,02-Feb-15,12
BEGUSARAI,179,Khudaband,Mohanpur,Gulab,04-Feb-15,11
BEGUSARAI,180,Khudaband,Mohanpur,Sita,17-Dec-14,11
BEGUSARAI,181,Khudaband,Mohanpur,Mahadev,17-Nov-14,13
BEGUSARAI,182,Khudaband,Mohanpur,Radha,17-Nov-14,13
BEGUSARAI,183,Khudaband,Mohanpur,Vandana,18-Nov-14,12
BEGUSARAI,184,Khudaband,Mohanpur,Ganpati,18-Nov-14,12
BEGUSARAI,185,Khudaband,Mohanpur,Vishnu,18-Nov-14,12
BEGUSARAI,186,Khudaband,Mohanpur,Sanjana19/11,19-Nov-14,12
BEGUSARAI,187,Khudaband,Begampur,Parvati,17-Oct-14,12
