Searched Term,Searched Location,Name,Title,Location,Profile URL,Company Name,Company Website
creative director,New York,Juli Cola,Creative Director,"New York, United States",https://www.adforum.com/talent/41712033-juli-cola,FCB Chicago,
creative director,New York,Roger Rowe,Creative Director,"New York, United States",https://www.adforum.com/talent/194-roger-rowe,J. Walter Thompson New York,http://www.jwt.com/newyork
creative director,New York,Stephanie Sigg,Creative Director,"New York, United States",https://www.adforum.com/talent/81767923-stephanie-sigg,McCann Worldgroup,
creative director,New York,Tom Weingard,Creative Director,"New York, United States",https://www.adforum.com/talent/41709782-tom-weingard,McCann New York,
creative director,New York,Marcelino Sellas,Creative Director,"New York, United States",https://www.adforum.com/talent/41713978-marcelino-sellas,COMMONGROUND/MGS,
creative director,New York,Tony Bennett,Creative Director,"New York, United States",https://www.adforum.com/talent/41713500-tony-bennett,BBDO New York,
creative director,New York,Erik Norin,Creative Director,"New York, United States",https://www.adforum.com/talent/81771037-erik-norin,Wieden + Kennedy,
creative director,New York,Jan Leth,Creative Director,"New York, United States",https://www.adforum.com/talent/26202-jan-leth,OgilvyOne Worldwide,
creative director,New York,Scott Storrs,Creative Director,"New York, United States",https://www.adforum.com/talent/27027-scott-storrs,OgilvyInteractive New York,
creative director,New York,Thompson Harrell,Creative Director,"New York, United States",https://www.adforum.com/talent/41710859-thompson-harrell,Saatchi & Saatchi NY,
creative director,New York,Amie Hadden,Creative Director,"New York, United States",https://www.adforum.com/talent/41708905-amie-hadden,Saatchi & Saatchi NY,
creative director,New York,Florence Buchanan,Creative Director,"New York, United States",https://www.adforum.com/talent/21497-florence-buchanan,BBDO New York,
creative director,New York,Chris Mogen,Creative Director,"New York, United States",https://www.adforum.com/talent/26447-chris-mogen,Luminant Worldwide Corporation,
creative director,New York,David Korchin,Creative Director,"New York, United States",https://www.adforum.com/talent/26389-david-korchin,Digitas,
creative director,New York,Andreas Hoff,Creative Director,"New York, United States",https://www.adforum.com/talent/81777422-andreas-hoff,Uncle Grey,
creative director,New York,Rob Jamieson,Creative Director,"New York, United States",https://www.adforum.com/talent/21923-rob-jamieson,O,
creative director,New York,Tom Schwartz,Creative Director,"New York, United States",https://www.adforum.com/talent/21865-tom-schwartz,Y&R New York,
creative director,New York,Chris Oosterhout,Creative Director,"New York, United States",https://www.adforum.com/talent/21776-chris-oosterhout,O,
creative director,New York,Gabriel Hoskins,Creative Director,"New York, United States",https://www.adforum.com/talent/81773040-gabriel-hoskins,Y&R New York,
creative director,New York,Al Colello,Creative Director,"New York, United States",https://www.adforum.com/talent/21283-al-colello,"Gotham, Inc.",
creative director,New York,Jason Slack,Creative Director,"New York, United States",https://www.adforum.com/talent/81781113-jason-slack,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Robert Launey,Creative Director,"New York, United States",https://www.adforum.com/talent/15589-robert-launey,,
creative director,New York,Eric Finkelstein,Creative Director,"New York, United States",https://www.adforum.com/talent/22046-eric-finkelstein,Grey New York,
creative director,New York,Hy Abady,Creative Director,"New York, United States",https://www.adforum.com/talent/20677-hy-abady,Saatchi & Saatchi NY,
creative director,New York,Brian  O'Reilly,Creative Director,"New York, United States",https://www.adforum.com/talent/81775995-brian-oreilly,"Gotham, Inc.",
creative director,New York,Jesse Juriga,Creative Director,"New York, United States",https://www.adforum.com/talent/81775147-jesse-juriga,Google Creative Labs,
creative director,New York,Randy Kleek,Creative Director,"New York, United States",https://www.adforum.com/talent/20494-randy-kleek,Y&R New York,
creative director,New York,Jeff Huggins,Creative Director,"New York, United States",https://www.adforum.com/talent/20463-jeff-huggins,Deutsch NY,
creative director,New York,Fritz Westenberger,Creative Director,"New York, United States",https://www.adforum.com/talent/20280-fritz-westenberger,MargeotesFertittaPowell,
creative director,New York,Andy Bohjalian,Creative Director,"New York, United States",https://www.adforum.com/talent/19961-andy-bohjalian,Grey New York,
creative director,New York,Fredrik Carlström,Creative Director,"New York, United States",https://www.adforum.com/talent/6984-fredrik-carlstrom,TBWA\Chiat\Day New York,http://www.tbwachiatdayny.com/
creative director,New York,John Avery,Creative Director,"New York, United States",https://www.adforum.com/talent/1991-john-avery,Deutsch,
creative director,New York,Mark Potoka,Creative Director,"New York, United States",https://www.adforum.com/talent/81780040-mark-potoka,BBDO New York,
creative director,New York,Francis Hughes,Creative Director,"New York, United States",https://www.adforum.com/talent/1775-francis-hughes,,
creative director,New York,Douglas Hamilton,Creative Director,"New York, United States",https://www.adforum.com/talent/41702875-douglas-hamilton,BMF,
