Number,Country,Comp,Season,Round,Wk,Day,Date,Time,Home,xG_h,Score,xG_a,Away,Attendance,Venue,Referee,href,CoachH,CoachA,CaptainH,CaptainA,url_CaptainH,url_CaptainA,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,goal18,goal19,goal20,goal21,goal22,goal23,goal24,goal25
1,,Copa Libertadores,2024,Group stage,1,Tue,2024-04-02,17:00,Millonarios,,,,Flamengo,,Estadio Nemesio Camacho El Campín,,https://fbref.com/en/stathead/matchup/teams/639950ae/4c319052/Flamengo-vs-Millonarios-History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Copa Libertadores,2024,Group stage,1,Tue,2024-04-02,19:00,Cobresal,,,,Barcelona SC,,Estadio Zorros del Desierto,,https://fbref.com/en/stathead/matchup/teams/ed392b02/8c71aef1/Cobresal-vs-Barcelona-History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
