SKU,EAN,,,,,,,,,,,,,,,,,,,,,
2608900208,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586749,#N/A,,,,,,,,,,,,,,,,,,,,,
2608586750,#N/A,,,,,,,,,,,,,,,,,,,,,
2608900214,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900215,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900217,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586755,3165140564793,,,,,,,,,,,,,,,,,,,,,
2608900221,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900222,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900224,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586762,3165140564861,,,,,,,,,,,,,,,,,,,,,
2608900228,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900229,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900231,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586769,3165140565530,,,,,,,,,,,,,,,,,,,,,
2608900233,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900234,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900236,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586774,3165140565585,,,,,,,,,,,,,,,,,,,,,
2608900238,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900239,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900240,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900241,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900243,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586781,3165140565646,,,,,,,,,,,,,,,,,,,,,
2608900246,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900247,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900248,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900249,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900250,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586788,3165140565714,,,,,,,,,,,,,,,,,,,,,
2608900252,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900253,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900254,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900255,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900257,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608586795,3165140565783,,,,,,,,,,,,,,,,,,,,,
2608586796,3165140565790,,,,,,,,,,,,,,,,,,,,,
2608586798,3165140565813,,,,,,,,,,,,,,,,,,,,,
2608586800,3165140565462,,,,,,,,,,,,,,,,,,,,,
2608586802,3165140565844,,,,,,,,,,,,,,,,,,,,,
2608586804,3165140565868,,,,,,,,,,,,,,,,,,,,,
2608586805,3165140565875,,,,,,,,,,,,,,,,,,,,,
2608586806,3165140565882,,,,,,,,,,,,,,,,,,,,,
2608586807,3165140565899,,,,,,,,,,,,,,,,,,,,,
2608900204,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900210,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900216,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900223,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900230,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900235,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900242,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608597900,3165140213042,,,,,,,,,,,,,,,,,,,,,
2608597901,3165140213059,,,,,,,,,,,,,,,,,,,,,
2608900260,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900261,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900262,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900263,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900264,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900265,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900266,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900267,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900268,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900269,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900270,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608833961,3165140833707,,,,,,,,,,,,,,,,,,,,,
2608833962,3165140833714,,,,,,,,,,,,,,,,,,,,,
2608685860,3165140564113,,,,,,,,,,,,,,,,,,,,,
2608685861,3165140564120,,,,,,,,,,,,,,,,,,,,,
2608685862,3165140564137,,,,,,,,,,,,,,,,,,,,,
2608685863,3165140564144,,,,,,,,,,,,,,,,,,,,,
2608685864,3165140564151,,,,,,,,,,,,,,,,,,,,,
2608685865,3165140564168,,,,,,,,,,,,,,,,,,,,,
2608685866,3165140564175,,,,,,,,,,,,,,,,,,,,,
2608685867,3165140564182,,,,,,,,,,,,,,,,,,,,,
2608833963,3165140833721,,,,,,,,,,,,,,,,,,,,,
2608833964,3165140833738,,,,,,,,,,,,,,,,,,,,,
2608685868,3165140564199,,,,,,,,,,,,,,,,,,,,,
2608685869,3165140564205,,,,,,,,,,,,,,,,,,,,,
2608685870,3165140564229,,,,,,,,,,,,,,,,,,,,,
2608685871,3165140564236,,,,,,,,,,,,,,,,,,,,,
2608685872,3165140564243,,,,,,,,,,,,,,,,,,,,,
2608685873,3165140564250,,,,,,,,,,,,,,,,,,,,,
2608685874,3165140564267,,,,,,,,,,,,,,,,,,,,,
2608685875,3165140564274,,,,,,,,,,,,,,,,,,,,,
