Product Title,Price,EAN,URL
Kiehl's PURE SERUM 10% Glycolic Acid Gesichtsserum,27.4,'3605972791276,https://www.flaconi.de/pflege/kiehl-s/pure-serum/kiehl-s-pure-serum-10-glycolic-acid-gesichtsserum.html?variant=80075484-30
LANCÔME L'Absolu Plumper Lip Base,27.45,'3614271636621,https://www.flaconi.de/make-up/lancome/l-absolu/lancome-l-absolu-plumper-lip-base.html?variant=80020187-4.2-1
Dr. Hauschka Tagespflege Aufbauende Maske Gesichtsmaske,5.23,'4020829007277,https://www.flaconi.de/pflege/dr-hauschka/tagespflege/dr-hauschka-tagespflege-aufbauende-maske-gesichtsmaske.html?variant=80007826-5
Stop The Water While Using Me Cosmos Natural Lemon Honey Flüssigseife,11,'4262364150029,https://www.flaconi.de/pflege/stop-the-water-while-using-me/cosmos-natural/stop-the-water-while-using-me-cosmos-natural-lemon-honey-fluessigseife.html?variant=80071631-200
Stop The Water While Using Me Cosmos Natural Lemon Honey Flüssigseife,11.34,'4262364150036,https://www.flaconi.de/pflege/stop-the-water-while-using-me/cosmos-natural/stop-the-water-while-using-me-cosmos-natural-lemon-honey-fluessigseife.html?variant=80071631-500
ESTÉE LAUDER Revitalizing Supreme+ Youth Power Creme Refill Gesichtscreme,85.45,'887167569706,https://www.flaconi.de/pflege/estee-lauder/revitalizing-supreme-/estee-lauder-revitalizing-supreme-youth-power-creme-refill-gesichtscreme.html?variant=80066524-50
Sand & Sky Aussie Skincare Routine Aussie Skincare Routine Set Gesichtspflegeset,58.32,'8886482917362,https://www.flaconi.de/pflege/sand-and-sky/aussie-skincare-routine/sand-and-sky-aussie-skincare-routine-aussie-skincare-routine-set-gesichtspflegeset.html?variant=80072738-1
WHAMISA Organic Flowers Nourishing Cream Gesichtscreme,8.95,'8809403815240,https://www.flaconi.de/pflege/whamisa/organic-flowers/whamisa-organic-flowers-nourishing-cream-gesichtscreme.html?variant=80032399-5
ESTÉE LAUDER DayWear Multi-Protection Anti-Oxidant 24H-Moisture Creme SPF 15 Gesichtscreme,13.4,'887167502574,https://www.flaconi.de/pflege/estee-lauder/daywear/estee-lauder-daywear-multi-protection-anti-oxidant-24h-moisture-creme-spf-15-gesichtscreme.html?variant=80064627-15
WHAMISA Organic Flowers Cleansing Oil Reinigungsöl,38.5,'8809403814373,https://www.flaconi.de/pflege/whamisa/organic-flowers/whamisa-organic-flowers-cleansing-oil-reinigungsoel.html?variant=80032403-153
Charlotte Meentzen Wirkstoff-Ampullen Q10 Protect Ampullen,14.35,'4013566009475,https://www.flaconi.de/pflege/charlotte-meentzen/wirkstoff-ampullen/charlotte-meentzen-wirkstoff-ampullen-q10-protect-ampullen.html?variant=80074625-10
Lancaster Skin Essentials Softening Tone Gesichtswasser,17.97,'3616301791171,https://www.flaconi.de/pflege/lancaster/skin-essentials/lancaster-skin-essentials-softening-tone-gesichtswasser.html?variant=80065546-400
Kiehl's Breakout Control Blemish Treatment Facial Lotion Gesichtslotion,54.3,'3605970989033,https://www.flaconi.de/pflege/kiehl-s/breakout-control/kiehl-s-breakout-control-blemish-treatment-facial-lotion-gesichtslotion.html?variant=80024519-60
SLOWDAY Awake Stone Pine & Bergamot Lippenbalsam,4.99,'3700426234962,https://www.flaconi.de/pflege/slowday/awake/slowday-awake-stone-pine-and-bergamot-lippenbalsam.html?variant=80065180-50-1
SLOWDAY Awake Stone Pine & Bergamot Stückseife,3.99,'3700426234818,https://www.flaconi.de/pflege/slowday/awake/slowday-awake-stone-pine-and-bergamot-stueckseife.html?variant=80065168-100
flaconi Face Essentials Avocado und Sheabutter Tuchmaske,1.95,'4260503420446,https://www.flaconi.de/pflege/flaconi/face-essentials/flaconi-face-essentials-avocado-und-sheabutter-tuchmaske.html?variant=80048098-1
flaconi Face Essentials Avocado und Sheabutter Tuchmaske,6.36,'4260503420439,https://www.flaconi.de/pflege/flaconi/face-essentials/flaconi-face-essentials-avocado-und-sheabutter-tuchmaske.html?variant=80048098-5
