Brand,Model,Title,Sku,GTIN,Condition,Price,Discounted Price,Description,keyword,Images,Status,URL
Diva Gift,2023,GAMING KEYBOARD AND MOUSE SET RAINBOW LED USB ILLUMINATED PC LAPTOP PS5 XBOX ONE,402979692231,,New,19.1,,"Condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... :  : Read more: about the condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. : See all condition definitions: opens in a new window or tab:
Custom Bundle: No
Keyboard Layout: QWERTY (Standard)
MPN: GAM-KEY-MOU-1
Material: Hard Plastic
Item Length: 460mm X 165mm X 25mm
Colour: Black
Brand: Diva Gift
Type: Gaming
Manufacturer Warranty: Not Applicable
Item Height: 460mm X 165mm X 25mm
Model: 2023
Connectivity: Wired
Features: Enhanced Function Keys, Illuminated, Plug & Play, Quiet Keys, Water Resistant
Country/Region of Manufacture: United Kingdom
Keyboard Language: English
Item Width: 460mm X 165mm X 25mm
EAN: 5060805746690",keyboard,"https://i.ebayimg.com/images/g/V6YAAOSw-0dj9jaQ/s-l500.jpg, https://i.ebayimg.com/images/g/OowAAOSwzElgooVC/s-l1600.jpg, https://i.ebayimg.com/images/g/~f4AAOSwPVlgooU~/s-l500.jpg, https://i.ebayimg.com/images/g/LYQAAOSw16BgooVM/s-l1600.jpg, https://i.ebayimg.com/images/g/biMAAOSw8YBgooVI/s-l1600.jpg, https://i.ebayimg.com/images/g/bi0AAOSw8YBgooVK/s-l1600.jpg, https://i.ebayimg.com/images/g/losAAOSwdsZjKYjF/s-l1600.jpg",In stock,https://www.ebay.com/itm/402979692231?epid=19041514085&hash=item5dd3761ec7%3Ag%3AV6YAAOSw-0dj9jaQ&amdata=enc%3AAQAIAAAA4Flg35vFbMLQlkWCp2OK6m9wOajl4mjmlAPrca2AjwvCgx0nkcp6clLwpbCL7UDWubQWladnhkNxy4Wu4qaSCg2L64mz1xBTQF8apjKCM9cN56VjdT0%2F8CEPHZSGVqw%2Fi7fieN5i67M7KMZ61ugMFNl2R6s6olPG3dUPplW%2Bf3oD2F215lnDJgwxxzedVKdrnOc7aYYZnYdpcRCip2bPSnPyIqXU%2FqLAKKavb%2FeYFl1XnBjuusadEghka%2Facy3r79YKAJ2oU6v1KqhQdTziJVfpKwcl%2FkI7poHFTdgV9f1fH%7Ctkp%3ABFBMsP-yzbVi&LH_ItemCondition=1000
Chuwi,INTEL CELERON N4020,CHUWI WINDOWS LAPTOP INTEL CELERON N4020 2.7ghz 4/8GRAM  128g/256g SSD,235016858767,,New,129.99,,"Condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... :  : Read more: about the condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. : See all condition definitions: opens in a new window or tab:
Processor: Intel Celeron N
Screen Size: 11.6in/14.1in
Graphics Processing Type: Integrated/On-Board Graphics
Color: Gray
RAM Size: 6G/8G
MPN: Does Not Apply
SSD Capacity: 128G/256G
Most Suitable For: Casual Computing, Gaming, Graphic Design, Parts, Workstation
GPU: Intel UHD Graphics 600
Processor Speed: 2.70 GHz
Brand: Chuwi
Series: HeroBOOK
Type: Notebook/Laptop
Release Year: 2021
Maximum Resolution: 1920 x 1080
Manufacturer Warranty: 1 Year
Model: INTEL CELERON N4020
Connectivity: Micro-HDMI, USB 3.0
Features: Built-in Microphone, Built-in Webcam, Wi-Fi
Hard Drive Capacity: 128G/256G
Storage Type: SSD (Solid State Drive)",laptop,"https://i.ebayimg.com/images/g/yn4AAOSwbPtkZ1lW/s-l500.jpg, https://i.ebayimg.com/images/g/whwAAOSwttdkZ1lY/s-l1600.jpg, https://i.ebayimg.com/images/g/9MYAAOSwMGhkZ1lU/s-l1600.jpg, https://i.ebayimg.com/images/g/KlUAAOSwYOdkZ1lZ/s-l1600.jpg, https://i.ebayimg.com/images/g/em0AAOSwWeFkZ1lV/s-l1600.jpg, https://i.ebayimg.com/images/g/VOUAAOSwecVkZ1lS/s-l1600.jpg, https://i.ebayimg.com/images/g/w18AAOSw5axkZ1lc/s-l1600.jpg, https://i.ebayimg.com/images/g/f90AAOSwpLRkZ1lU/s-l1600.jpg, https://i.ebayimg.com/images/g/S6QAAOSwHjlkZ1lZ/s-l1600.jpg, https://i.ebayimg.com/images/g/Q48AAOSwV8RkZ1lw/s-l1600.jpg, https://i.ebayimg.com/images/g/FzAAAOSwtYtkZ1l4/s-l1600.jpg, https://i.ebayimg.com/images/g/8AQAAOSwCTtkZ1ly/s-l1600.jpg, https://i.ebayimg.com/images/g/z3YAAOSw6eNkZ1l4/s-l1600.jpg, https://i.ebayimg.com/images/g/QUgAAOSwlPlkZ1lw/s-l1600.jpg, https://i.ebayimg.com/images/g/r3IAAOSw1YpkZ1ly/s-l1600.jpg, https://i.ebayimg.com/images/g/tdsAAOSwMeFkZ1l1/s-l1600.jpg, https://i.ebayimg.com/images/g/5G8AAOSwa0VkZ1l-/s-l1600.png, https://i.ebayimg.com/images/g/xKMAAOSwr4lkZ1mS/s-l1600.png, https://i.ebayimg.com/images/g/uXgAAOSwuzNkZ1mQ/s-l1600.png, https://i.ebayimg.com/images/g/F~MAAOSwiQVkZ1l2/s-l1600.png, https://i.ebayimg.com/images/g/bOIAAOSwvslkZ1mY/s-l1600.png, https://i.ebayimg.com/images/g/3NIAAOSw8OlkZ1ma/s-l1600.png, https://i.ebayimg.com/images/g/gN8AAOSwVCVkZ1mR/s-l1600.png",In stock,https://www.ebay.com/itm/235016858767?hash=item36b818ac8f%3Ag%3Ayn4AAOSwbPtkZ1lW&amdata=enc%3AAQAIAAAA0AoOUOq7eRfvJV5kh9rbd3I%2BnH%2Fydhw%2F1NeGoHZE3gt0p9JEGfyv%2BI9NOvgDZAWPEiGKs0pYA3j8Msd3M3d2gLsnrXCk9eIEubgE4L8UPvPZY3A2h7ePK0tSTzdU3wGvAXV0Juu5edhbHu9ZcRpXQA8cNRWbY5JZ4GSOvsGyduvgn2JqRNNCXgv%2FgODsi6sLLd0D9M5gm1iqzAtJqWZB7UAj2iQcnfFkoB5CudWHIw0RmQB%2BaXBQQ8RO4l2LMDEb9eYhKqm6ARHoKZxYr5xpz%2BI%3D%7Ctkp%3ABFBMlOWyzbVi&LH_ItemCondition=1000
Chuwi,CHUWI COREBOOK X,CHUWI CoreBook X 14.1'' Laptop Intel Core i5 16GB RAM 512GB SSD Windows 11,235072054856,,New,264.99,399.99,"Condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... :  : Read more: about the condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. : See all condition definitions: opens in a new window or tab:
Processor: Intel Core i5 8th Gen.
Screen Size: 14.1 in
Graphics Processing Type: Integrated/On-Board Graphics
Color: Gray
RAM Size: 16 GB
SSD Capacity: 512 GB
Most Suitable For: Casual Computing, Gaming, Graphic Design, Parts, Workstation
GPU: Intel HD Graphics 610
Processor Speed: 3.80 GHz
Brand: Chuwi
Series: CHUWI COREBOOK X
Type: Notebook/Laptop
Release Year: 2021
Manufacturer Warranty: 1 Year
Maximum Resolution: 2160 x 1440
Model: CHUWI COREBOOK X
Connectivity: DisplayPort, Micro-HDMI, USB 3.0, USB-C, VGA, SD Card Slot
Operating System: Windows 11 Home
Hard Drive Capacity: 16 GB
Features: Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi
Storage Type: SSD (Solid State Drive)
UPC: Does not apply
",laptop,"https://i.ebayimg.com/images/g/kNIAAOSwdwdkn6Yy/s-l500.jpg, https://i.ebayimg.com/images/g/fYUAAOSwo79kn6Y4/s-l1600.jpg, https://i.ebayimg.com/images/g/mqsAAOSwSG5kn6Y-/s-l1600.jpg, https://i.ebayimg.com/images/g/SVAAAOSwwXdkn6ZE/s-l1600.jpg, https://i.ebayimg.com/images/g/riQAAOSw~ONkn6ZK/s-l1600.jpg, https://i.ebayimg.com/images/g/5NkAAOSwBVVkn6ZQ/s-l1600.jpg, https://i.ebayimg.com/images/g/uIUAAOSwUX1kn6ZX/s-l1600.jpg, https://i.ebayimg.com/images/g/hKsAAOSwKGFkn6Zd/s-l1600.jpg, https://i.ebayimg.com/images/g/CqIAAOSw5Plkn6Zl/s-l1600.jpg",In stock,https://www.ebay.com/itm/235072054856?hash=item36bb62e648%3Ag%3AkNIAAOSwdwdkn6Yy&amdata=enc%3AAQAIAAAA0B2rHQKdcncpiXUNlty342sdI5%2BKSUnJT%2BF1JUh78Ua0A2aYfZCFh8R4f1Ebe6Tz%2BTymutfJ3i6YrIOD87w0H3ZaU5KEymqR9Ue6Ojjx33k%2BoibkMvcmalW0r%2BOhctHtfBuy%2FwOuX%2BJ4F0WIqBkt1MZEG3G8hFf0qV%2F4b1QWpI%2BNeD2jztaT5dNiT0BpLxm%2BLpdpbPDV8wnRzB6iwdDJGPNKcTLyLSi7sFlPJliYzuxC9T6FbzHz7meEkxxQ6WaZpUZzj0%2BQFZio8IBN6lCkJcw%3D%7Ctkp%3ABFBMlOWyzbVi&LH_ItemCondition=1000
WisFox,computer backlit keyboard wired usb,LED Gaming Office Keyboard USB Wired Full-Size Illuminated Backlit UK,195772138132,,New,11.56,,"Condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... :  : Read more: about the condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. : See all condition definitions: opens in a new window or tab:
Keyboard Layout: UK Layout
Item Length: 44.7 cm
Compatible devices: Laptop, PC
Colour: Black
Brand: WisFox
Type: Gaming
Item Height: 2.2 cm
Model: computer backlit keyboard wired usb
Power source: Corded Electric
Connectivity: USB
Features: Illuminated, Backlit, 105 Keys for Windows 2000/XP/Vista/7/8/10, Full-Size, UK Layout, Gaming&Office
Keyboard Language: English
Item Width: 12.6 cm
Operating system: Vista,Windows 2000
Keyboard description: Ergonomic
EAN: DoesNotApply
",keyboard,"https://i.ebayimg.com/images/g/cAQAAOSw9-9kZcDN/s-l500.jpg, https://i.ebayimg.com/images/g/TeQAAOSwL7ZkZcDJ/s-l1600.jpg, https://i.ebayimg.com/images/g/rgUAAOSwK-pkZcFh/s-l1600.jpg, https://i.ebayimg.com/images/g/4BYAAOSw499kZcEs/s-l1600.jpg, https://i.ebayimg.com/images/g/prkAAOSw-~NkZcHc/s-l1600.jpg, https://i.ebayimg.com/images/g/80YAAOSwRA1kZcET/s-l1600.jpg, https://i.ebayimg.com/images/g/9hkAAOSw2wJkZcD7/s-l1600.jpg, https://i.ebayimg.com/images/g/hhYAAOSwkUZkZcDM/s-l1600.jpg",In stock,https://www.ebay.com/itm/195772138132?hash=item2d94edc294%3Ag%3AcAQAAOSw9-9kZcDN&amdata=enc%3AAQAIAAAA4ObN2sQZJxihkEfqXrV%2BiFe8bDt7LK3aHLZErbht0M1Pp8GVRho56kjmeIBjjx3snzyg9JfYTwE%2BeFEcxfr1IjdBaY0b5%2FtCQ%2BFMvadWeCUNACcicPY%2BWOOYlcx%2ByLgLPccdag06yHS1OPDMsnDg1YweWeuHWDoxVynSu%2FB%2FHEUwvN3M7VzTCcmD82Vw63PHVbMtdQxkVAJylDy2FSQ16EQxF6HeOijF3FdQPgr6NyX95CKttpsZlaN5mxcuR3Jr40FogPM%2BCCN%2BCky%2B5L4xuCE4f7KIbZKoV8SsetYb4mkN%7Ctkp%3ABFBMsP-yzbVi&LH_ItemCondition=1000
Intel,Performo VENG,BIRTHDAY GIFT Gaming PC - Nvidia RTX 3060 / Intel i7 / 16GB DDR4 / 1TB SSD/ SALE,334908863093,,New,996.96,,"Condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... :  : Read more: about the condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. : See all condition definitions: opens in a new window or tab:
Processor: Intel Core i7 6th Gen.
Graphics Processing Type: Dedicated Graphics
Custom Bundle: No
MPN: WGGEXTREME012
SSD Capacity: 480GB
Most Suitable For: Casual Computing, Engineering Coding, Gaming, Graphic Design, Industrial, Office, Workstation
GPU: NVIDIA GeForce RTX 3060
Colour: Black
Form Factor: Mid Tower
Release Year: 2023
Manufacturer Warranty: 1 Year
Hard Drive Capacity: 1 TB
Features: Dust Shield
Operating System: Windows 11 Pro
Screen Size: Any Size
RAM Size: 16 GB
Processor Speed: 4.00 GHz
Brand: Intel
Series: WiseGuys Gaming
Type: Desktop
Motherboard Model: ASUS
Maximum RAM Capacity: 128 GB
Model: Performo VENG
Connectivity: HDMI, USB 2.0, USB 3.0, DisplayPort
Storage Type: SSD (Solid State Drive)
Country/Region of Manufacture: United Kingdom
EAN: Does not apply",gaming pc,"https://i.ebayimg.com/images/g/cOwAAOSw8thkY5BG/s-l500.png, https://i.ebayimg.com/images/g/mSwAAOSwWORkY5BM/s-l1600.png, https://i.ebayimg.com/images/g/N0kAAOSwRkdkY5Ba/s-l1600.png, https://i.ebayimg.com/images/g/wK8AAOSwfuRkY5Bg/s-l1600.png, https://i.ebayimg.com/images/g/cZcAAOSwGl9kSDV9/s-l1600.png, https://i.ebayimg.com/images/g/FlQAAOSw0tNkSDWE/s-l1600.png, https://i.ebayimg.com/images/g/7MAAAOSwh4RkSDWh/s-l1600.png, https://i.ebayimg.com/images/g/c80AAOSwGxRkSDWa/s-l1600.png, https://i.ebayimg.com/images/g/XC4AAOSwYAFkSDXC/s-l1600.png, https://i.ebayimg.com/images/g/uXYAAOSwMa9kSDXO/s-l1600.png, https://i.ebayimg.com/images/g/eGsAAOSwv5pkSDXZ/s-l1600.png, https://i.ebayimg.com/images/g/YNMAAOSw-MFkSDXk/s-l1600.png, https://i.ebayimg.com/images/g/IrcAAOSw-DhkSDXs/s-l1600.png, https://i.ebayimg.com/images/g/pwcAAOSwwu1kSDXy/s-l1600.png, https://i.ebayimg.com/images/g/KP8AAOSwDEtkSDX7/s-l1600.png",In stock,https://www.ebay.com/itm/334908863093?hash=item4dfa1fb275%3Ag%3AcOwAAOSw8thkY5BG&amdata=enc%3AAQAIAAAA4NNayQfrcVxw2h95aF2JxRx8QpGdRBI0u%2F87kZxGvR7l%2BGKLDnrYkYbgmb6u4zoQyv4PSvJejJezb8JEjzjKyIfK%2FUChtMXc9o7ibDjNey1hb1aBMCayS6N%2B%2Bz9CPq3zvtTys8TbajvsN%2BDf%2FW89idbK8uo2oDPydNYnKpf8Grxoqlz34bLuZ90R8s%2B0lwPpolhqppCzhefiDqAASmakdnvniSdTRyrgz0nbVlq3TU5SglEESxjiu9SvuB%2FUh3fVXIqg376A4gQn1gWQBNkDHbzeOz1hpMcJSMa0HkgUFLs5%7Ctkp%3ABFBM5LS2zbVi&LH_ItemCondition=1000
Intel,Performo VENG,BIRTHDAY Gaming PC - Nvidia RTX 4060 / Intel i7 / 16GB DDR4 / 1TB SSD + Gifts,334957406819,,New,964.8,,"Condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... :  : Read more: about the condition: New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. : See all condition definitions: opens in a new window or tab:
Processor: Intel Core i7 6th Gen.
Graphics Processing Type: Dedicated Graphics
Custom Bundle: No
MPN: WGGEXTREME012
SSD Capacity: 1 TB
Most Suitable For: Casual Computing, Engineering Coding, Gaming, Graphic Design, Industrial, Office, Workstation
GPU: NVIDIA GeForce RTX 4060
Colour: Black
Form Factor: Mid Tower
Release Year: 2023
Manufacturer Warranty: 1 Year
Features: Dust Shield
Operating System: Windows 11 Pro
Screen Size: Any Size
RAM Size: 16 GB
Processor Speed: 4.00 GHz
Brand: Intel
Series: WiseGuys Gaming
Type: Desktop
Motherboard Model: ASUS
Maximum RAM Capacity: 128 GB
Model: Performo VENG
Connectivity: HDMI, USB 2.0, USB 3.0, DisplayPort
Storage Type: SSD (Solid State Drive)
Country/Region of Manufacture: United Kingdom
EAN: Does not apply
",gaming pc,"https://i.ebayimg.com/images/g/VMAAAOSwY~Jkulks/s-l500.png, https://i.ebayimg.com/images/g/60gAAOSwJI9kullG/s-l1600.png, https://i.ebayimg.com/images/g/UyUAAOSwN9dkulkg/s-l1600.png, https://i.ebayimg.com/images/g/hY4AAOSwkjZkulkD/s-l1600.png, https://i.ebayimg.com/images/g/G2QAAOSwZw9kuljq/s-l1600.png, https://i.ebayimg.com/images/g/KKAAAOSwjARkulkM/s-l1600.png, https://i.ebayimg.com/images/g/epgAAOSw4dRkulk~/s-l1600.png, https://i.ebayimg.com/images/g/-VQAAOSwgr9kuljS/s-l1600.png, https://i.ebayimg.com/images/g/PjEAAOSw6v1kullO/s-l1600.png",In stock,https://www.ebay.com/itm/334957406819?hash=item4dfd046a63%3Ag%3AVMAAAOSwY%7EJkulks&amdata=enc%3AAQAIAAAA4Iy5rLD18osxl7wqGSdPUL6yOwUOYJC16uBVHG1n%2BHZ5Vbif%2BI8004zMl9pxwb4RHMsR2RLO%2BkGw%2FwJf9VTxp8d3wERtDvgf02bGvd%2FCyZGcWO7q%2FNK79klr%2Fa6tH%2FDAxQ72K5g2UDBVxUfNocHhtUnCnM%2Fq1ymP8U3fSgSCN9UprANmNWiFVS97f0IVC%2BTAsgRK5Q%2BswdsDR9bMO2JRVCFB02MpUxpp1QfJhWB8ao7swRalYmEBY6KpRvDbP9WdkYEUR0kdeAomjKoWrLHlikanUJFo9YQiSeIuJnIRcGFS%7Ctkp%3ABFBM5LS2zbVi&LH_ItemCondition=1000
