sku,Vin_number,make,model,year,color,condition,description,location,mileage,price,image,url
2002249439,WDD2J5JB8KA039165,Mercedes-Benz,CLS,2019,Silver,Used,"Used 2019 Mercedes-Benz CLS CLS 450 with 17410 miles - $48,990","Brooklyn, NY",17410,48990,https://cdnblob.fastly.carvana.io/2002249439/post-large/normalized/zoomcrop/2002249439-edc-02.jpg,https://www.carvana.com/vehicle/2662013
2002374503,3GKALMEV8LL133768,GMC,Terrain,2020,White,Used,"Used 2020 GMC Terrain SLE with 34684 miles - $26,590","Baltimore, MD",34684,26590,https://cdnblob.fastly.carvana.io/2002374503/post-large/normalized/zoomcrop/2002374503-edc-02.jpg,https://www.carvana.com/vehicle/2733815
2002264701,3VW5T7AU8GM043349,Volkswagen,Golf GTI,2016,Gray,Used,"Used 2016 Volkswagen Golf GTI S Hatchback with 95755 miles - $17,590","Baltimore, MD",95755,17590,https://cdnblob.fastly.carvana.io/2002264701/post-large/normalized/zoomcrop/2002264701-edc-02.jpg,https://www.carvana.com/vehicle/2677030
2002395463,1FADP3L90GL203557,Ford,Focus,2016,White,Used,"Used 2016 Ford Focus ST with 39902 miles - $24,590","Brooklyn, NY",39902,24590,https://cdnblob.fastly.carvana.io/2002395463/post-large/normalized/zoomcrop/2002395463-edc-02.jpg,https://www.carvana.com/vehicle/2755841
2002323920,3KPF24AD6KE041028,Kia,Forte,2019,Silver,Used,"Used 2019 Kia Forte LXS with 49138 miles - $18,590","Baltimore, MD",49138,18590,https://cdnblob.fastly.carvana.io/2002323920/post-large/2002323920-edc-02-search.jpg,https://www.carvana.com/vehicle/2705650
2002361472,3VWD67AJ7GM377767,Volkswagen,Jetta,2016,Red,Used,"Used 2016 Volkswagen Jetta 1.4T SE with 21901 miles - $19,990","Brooklyn, NY",21901,19990,https://cdnblob.fastly.carvana.io/2002361472/post-large/normalized/zoomcrop/2002361472-edc-02.jpg,https://www.carvana.com/vehicle/2740731
2002378996,5UXKR0C59E0K45567,BMW,X5,2014,Gray,Used,"Used 2014 BMW X5 xDrive35i with 67383 miles - $24,590","Brooklyn, NY",67383,24590,https://cdnblob.fastly.carvana.io/2002378996/post-large/normalized/zoomcrop/2002378996-edc-02.jpg,https://www.carvana.com/vehicle/2741141
2002354835,WDDZF4KB7JA398045,Mercedes-Benz,E-Class,2018,White,Used,"Used 2018 Mercedes-Benz E-Class E 300 4MATIC with 37312 miles - $33,990","Baltimore, MD",37312,33990,https://cdnblob.fastly.carvana.io/2002354835/post-large/normalized/zoomcrop/2002354835-edc-02.jpg,https://www.carvana.com/vehicle/2721931
2002280564,WP1AB2AYXKDA62630,Porsche,Cayenne,2019,Silver,Used,"Used 2019 Porsche Cayenne S with 17819 miles - $64,990","Brooklyn, NY",17819,64990,https://cdnblob.fastly.carvana.io/2002280564/post-large/normalized/zoomcrop/2002280564-edc-02.jpg,https://www.carvana.com/vehicle/2681327
2002357388,1G1YB2D78F5103784,Chevrolet,Corvette,2015,Red,Used,"Used 2015 Chevrolet Corvette Stingray with 25128 miles - $47,990","Baltimore, MD",25128,47990,https://cdnblob.fastly.carvana.io/2002357388/post-large/normalized/zoomcrop/2002357388-edc-02.jpg,https://www.carvana.com/vehicle/2726277
