Product Title,Price,EAN,URL
Bergamont Revox 3 FMN EQ - 2023 - 29 Zoll - Diamant,699.99,'7615523541980,https://www.fahrrad-xxl.de/bergamont-revox-3-fmn-eq-m000066034
"Bergamont Revox 3 FMN EQ - 2023 - 27,5 Zoll - Diamant",699.99,'7615523541966,https://www.fahrrad-xxl.de/bergamont-revox-3-fmn-eq-m000066033
"Bergamont Revox 3 EQ - 2023 - 27,5 Zoll - Diamant",699.99,'7615523541881,https://www.fahrrad-xxl.de/bergamont-revox-3-eq-m000066030
"Bergamont Revox 3 EQ - 2023 - 27,5 Zoll - Diamant",699.99,'7615523541805,https://www.fahrrad-xxl.de/bergamont-revox-3-eq-m000066029
Bergamont Revox 26 Lite - 2023 - 26 Zoll - Diamant,649.,'7615523543113,https://www.fahrrad-xxl.de/bergamont-revox-26-lite-m000066028
Bergamont Revox 24 - 2023 - 24 Zoll - Diamant,499.,'7615523543175,https://www.fahrrad-xxl.de/bergamont-revox-24-m000066026
Bergamont Revox 24 Lite - 2023 - 24 Zoll - Diamant,529.,'7615523543137,https://www.fahrrad-xxl.de/bergamont-revox-24-lite-m000066025
Bergamont Revox 2 - 2023 - 29 Zoll - Diamant,549.99,'7615523542857,https://www.fahrrad-xxl.de/bergamont-revox-2-m000066024
Bergamont Revox 2 - 2023 - 29 Zoll - Diamant,549.99,'7615523542789,https://www.fahrrad-xxl.de/bergamont-revox-2-m000066023
"Bergamont Revox 2 - 2023 - 27,5 Zoll - Diamant",549.99,'7615523542833,https://www.fahrrad-xxl.de/bergamont-revox-2-m000066022
"Bergamont Revox 2 - 2023 - 27,5 Zoll - Diamant",549.99,'7615523542826,https://www.fahrrad-xxl.de/bergamont-revox-2-m000066021
Bergamont Horizon Plus 6 Lady - 2023 - 28 Zoll - Damen Sport,1.299.99,'7615523539697,https://www.fahrrad-xxl.de/bergamont-horizon-plus-6-lady-m000066014
Bergamont Horizon N8 CB Gent - 2023 - 28 Zoll - Diamant,999.99,'7615523540839,https://www.fahrrad-xxl.de/bergamont-horizon-n8-cb-gent-m000066012
Bergamont Horizon N8 CB Amsterdam - 2023 - 28 Zoll - Doppelrohr,999.99,'7615523540891,https://www.fahrrad-xxl.de/bergamont-horizon-n8-cb-amsterdam-m000066011
Bergamont Horizon N8 Belt Amsterdam - 2023 - 28 Zoll - Doppelrohr,1.299.99,'7615523540792,https://www.fahrrad-xxl.de/bergamont-horizon-n8-belt-amsterdam-m000066009
Bergamont Horizon N7 CB Gent - 2023 - 28 Zoll - Diamant,799.99,'7615523540945,https://www.fahrrad-xxl.de/bergamont-horizon-n7-cb-gent-m000066008
Bergamont Horizon N7 CB Amsterdam - 2023 - 28 Zoll - Doppelrohr,799.99,'7615523541065,https://www.fahrrad-xxl.de/bergamont-horizon-n7-cb-amsterdam-m000066007
Bergamont Horizon 7 Lady - 2023 - 28 Zoll - Damen Sport,1.299.,'7615523540044,https://www.fahrrad-xxl.de/bergamont-horizon-7-lady-m000066003
Bergamont Horizon 6 Amsterdam - 2023 - 28 Zoll - Doppelrohr,999.99,'7615523540198,https://www.fahrrad-xxl.de/bergamont-horizon-6-amsterdam-m000065997
Bergamont Horizon 4 Amsterdam - 2023 - 28 Zoll - Doppelrohr,849.,'7615523540563,https://www.fahrrad-xxl.de/bergamont-horizon-4-amsterdam-m000065993
Bergamont Horizon 4 Amsterdam - 2023 - 28 Zoll - Doppelrohr,849.99,'7615523540518,https://www.fahrrad-xxl.de/bergamont-horizon-4-amsterdam-m000065992
Bergamont Horizon 3 Gent - 2023 - 28 Zoll - Diamant,799.99,'7615523540617,https://www.fahrrad-xxl.de/bergamont-horizon-3-gent-m000065991
Bergamont Horizon 3 Amsterdam - 2023 - 28 Zoll - Doppelrohr,799.99,'7615523540679,https://www.fahrrad-xxl.de/bergamont-horizon-3-amsterdam-m000065990
Bergamont E-Vitess Expert Lady - 360 Wh - 2023 - 28 Zoll - Damen Sport,4.499.90,'7615523533619,https://www.fahrrad-xxl.de/bergamont-e-vitess-expert-lady-m000065970
Bergamont E-Ville SUV Elite - 625 Wh - 2023 - 28 Zoll - Tiefeinsteiger,4.599.,'7615523533398,https://www.fahrrad-xxl.de/bergamont-e-ville-suv-elite-m000065966
