EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'0196801814875,27.9,B0BDYXV5LW,"#11.981, (Elektronik & Foto)",-2.68 ,"-7,54 %"
'848709096296,28.9,B08J25HPMY,"#326.746, (Computer & Zubehör)",-5.78 ,"-17,91 %"
'8809466649905,12.0,B01M1SCIOV,"#2.806, (Elektronik & Foto)",-3.51 ,"-25,10 %"
'5711724126642,16.1,B07VQPWVL9,"#520.075, (Elektronik & Foto)",-16.22 ,"-1.621,81 %"
'194252789452,49.99,B09G958JQB,"#38.272, (Computer & Zubehör)",-0.27 ,"-0,41 %"
'4905524942200,19.9,B00I3LV3P4,"#10.153, (Elektronik & Foto)",-3.17 ,"-13,79 %"
'8715946683843,372.9,B0C274LJLC,-,-8.26 ,"-1,94 %"
