EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
',3599.99,B0C8PG8Y5X,-,-2.995.45 ,"-5.652,85 %"
'4250589403716,26.99,B0096DQ2Q8,"#56.324, (Sport & Freizeit)",-27.67 ,"-2.767,47 %"
'4260477072719,109.99,B08H5SP569,"#45.981, (Sport & Freizeit)",-19.64 ,"-17,08 %"
'641300162724,38.99,B07J2YH6M2,"#11.399, (Sport & Freizeit)",-16.81 ,"-56,04 %"
'4032191658346,35.99,B002NN5F16,"#55.967, (Sport & Freizeit)",-16.79 ,"-63,60 %"
'8030282504325,98.99,B07S83VMKH,"#13.554, (Sport & Freizeit)",-19.06 ,"-19,25 %"
'3420586600628,39.99,B09HCQKKVZ,"#18.917, (Sport & Freizeit)",-14.16 ,"-43,12 %"
',28.99,B0C8PG8Y5X,-,5.39 ,"10,18 %"
'4047025643108,71.99,B01LW5SD69,"#11.772, (Elektronik & Foto)",-10.08 ,"-12,75 %"
'4260477068682,122.99,B081N4VZTJ,-,-20.30 ,"-15,75 %"
'821973353562,54.99,B07TMZ6P2Z,"#30.933, (Sport & Freizeit)",-14.09 ,"-27,09 %"
'4019238007855,41.99,B07K8YDVNZ,-,-10.09 ,"-23,23 %"
'4260477061287,30.99,B01JAXEO04,"#12.257, (Sport & Freizeit)",-5.44 ,"-15,15 %"
'4524667984665,23.99,B008RLTYVA,"#2.963, (Sport & Freizeit)",-3.87 ,"-13,57 %"
'4260224793546,59.99,B06X17LS5V,"#348.976, (Sport & Freizeit)",9.21 ,"9,97 %"
'4524667623328,66.99,B071JT6C12,"#72.731, (Sport & Freizeit)",-7.30 ,"-9,44 %"
'4026495920629,41.99,B089Y933HB,"#69.315, (Sport & Freizeit)",0.21 ,"0,37 %"
'4260477061065,70.99,B01JAX8WTS,"#36.045, (Sport & Freizeit)",-63.89 ,"-6.389,36 %"
'3611720171467,233.99,B07XC85KLR,"#65.067, (Sport & Freizeit)",-28.20 ,"-11,28 %"
'4550170506599,159.99,B07Y3B8SSM,"#498.097, (Sport & Freizeit)",-28.87 ,"-18,06 %"
'710845867149,634.99,B097RDZFTC,-,1.09 ,"0,14 %"
'4550170893323,273.99,B08TG9ZJZ8,"#455.075, (Sport & Freizeit)",-235.20 ,"-23.519,92 %"
'710845867163,680.99,B097RCNG5Q,-,-6.63 ,"-0,80 %"
'3611720172969,44.99,B07WDSYNPZ,"#18.317, (Sport & Freizeit)",-8.83 ,"-18,40 %"
'3611720144911,79.99,B079GVCGKV,"#235.376, (Sport & Freizeit)",-6.49 ,"-6,90 %"
'641300152893,22.99,B00HE6HPZG,"#138.673, (Sport & Freizeit)",-2.63 ,"-8,90 %"
'641300153388,19.99,B00G9Y1406,"#61.379, (Sport & Freizeit)",-5.40 ,"-25,72 %"
'3611720061546,9.99,B00B2IA374,"#36.767, (Sport & Freizeit)",-3.34 ,"-27,87 %"
'3611720061522,9.99,B00CLQJ5ES,"#5.176, (Sport & Freizeit)",-1.27 ,"-8,47 %"
'8052783480359,73.99,B07H8KTY3H,"#548.188, (Sport & Freizeit)",-65.77 ,"-6.576,90 %"
'696260070251,28.99,B07X62F4MX,"#416.802, (Sport & Freizeit)",-7.81 ,"-26,09 %"
'696260070107,26.99,B07XH6RPQJ,"#459.572, (Sport & Freizeit)",-8.20 ,"-30,44 %"
'4550170898083,61.99,B09HKF72JS,"#54.440, (Sport & Freizeit)",-56.32 ,"-5.631,84 %"
'840840000774,88.99,B000R9ADJM,"#272.125, (Sport & Freizeit)",-28.58 ,"-35,73 %"
'4044494113088,599.99,B006YOFBOQ,-,-98.01 ,"-16,34 %"
'840840000422,66.99,B000R9ADJ2,"#350.947, (Sport & Freizeit)",-20.01 ,"-32,67 %"
'840840013118,59.99,B09TDKQ8JS,"#195.977, (Sport & Freizeit)",-12.31 ,"-20,53 %"
'840840010230,75.99,B07FQVVMTG,"#112.715, (Sport & Freizeit)",-20.13 ,"-26,84 %"
'840840013095,75.99,B09SG9455M,"#191.398, (Haustier)",-20.65 ,"-26,99 %"
'840840010223,83.99,B07FR55DF5,"#91.023, (Sport & Freizeit)",-10.28 ,"-11,43 %"
'4712878768949,3499.99,B0BD3MRSZ3,-,-2.919.58 ,"-8.189,56 %"
'8022530013697,36.99,B07F7P2WSM,"#110.515, (Sport & Freizeit)",-5.23 ,"-10,82 %"
'4524667669166,19.99,B00NEZJ1ZS,"#5.153, (Sport & Freizeit)",-5.01 ,"-22,77 %"
'4550170635985,29.99,B088QC2BV3,"#94.869, (Sport & Freizeit)",-8.83 ,"-27,86 %"
'4550170635954,29.99,B089Y495ZX,"#363.014, (Sport & Freizeit)",-14.16 ,"-59,01 %"
'4550170687038,74.99,B08D3VVZM3,-,-28.16 ,"-46,95 %"
'4550170686987,69.99,B08D3TLHL2,"#947.340, (Sport & Freizeit)",-22.23 ,"-37,05 %"
'4260086855475,110.99,B01N3UR01D,"#75.454, (Sport & Freizeit)",-17.02 ,"-14,19 %"
'4062695000617,110.99,B08F7BDRF3,"#74.327, (Sport & Freizeit)",-12.88 ,"-10,22 %"
'4260086855208,159.99,B01N5C8UF9,"#62.810, (Sport & Freizeit)",-31.26 ,"-19,66 %"
'4260086855338,110.99,B01N8UCSP7,"#21.596, (Sport & Freizeit)",-20.51 ,"-17,84 %"
'4550170687205,87.99,B08DL6P93B,"#870.499, (Sport & Freizeit)",-23.95 ,"-28,18 %"
'4062695000754,186.99,B08JQCL4JQ,"#396.697, (Sport & Freizeit)",-19.72 ,"-9,46 %"
