website Name ,SpiderName,Process
fahrradxxl.de,fahrrad_xxl,true
alternate.de,alternate,true
alza.de,alza,false
ibood.com,ibood,true
bikemarket.de,bikemarket24,true
fahrrad.de,fahrrad,true
manomano.com,manomano,false
mediamarket.de,mediamarkt,false
muller.de,muller,true
radwelt.de,radwelt,true
telekom.de,telekom,true
thalia.de,thalia,false
voelkner.de,voelkner,true
flaconi.de,flaconi,true
