Name,Price,EAN,URL
ESTÉE LAUDER Advanced Night Repair Synchronized Multi-Recovery Complex Gesichtsserum,72.15,887167485488,https://www.flaconi.de/pflege/estee-lauder/advanced-night-repair/estee-lauder-advanced-night-repair-synchronized-multi-recovery-complex-gesichtsserum.html?variant=40300004
ESTÉE LAUDER Advanced Night Repair Synchronized Multi-Recovery Complex Gesichtsserum,107.2,887167485501,https://www.flaconi.de/pflege/estee-lauder/advanced-night-repair/estee-lauder-advanced-night-repair-synchronized-multi-recovery-complex-gesichtsserum.html?variant=80002227-75
Jean Paul Gaultier Scandal Le Parfum Intense Eau de Parfum,42.83,8435415050777,https://www.flaconi.de/parfum/jean-paul-gaultier/scandal/jean-paul-gaultier-scandal-le-parfum-intense-eau-de-parfum.html?variant=80070030-30
Jean Paul Gaultier Scandal Le Parfum Intense Eau de Parfum,47.51,8435415050753,https://www.flaconi.de/parfum/jean-paul-gaultier/scandal/jean-paul-gaultier-scandal-le-parfum-intense-eau-de-parfum.html?variant=80070030-50
Jean Paul Gaultier Scandal Le Parfum Intense Eau de Parfum,79.99,8435415050760,https://www.flaconi.de/parfum/jean-paul-gaultier/scandal/jean-paul-gaultier-scandal-le-parfum-intense-eau-de-parfum.html?variant=80070030-80
Versace Eros Flame Eau de Parfum,33.98,8011003845330,https://www.flaconi.de/parfum/versace/eros/versace-eros-flame-eau-de-parfum.html?variant=80034659-30
Versace Eros Flame Eau de Parfum,46.58,8011003845347,https://www.flaconi.de/parfum/versace/eros/versace-eros-flame-eau-de-parfum.html?variant=80034659-50
Versace Eros Flame Eau de Parfum,64.48,8011003845354,https://www.flaconi.de/parfum/versace/eros/versace-eros-flame-eau-de-parfum.html?variant=80034659-100
Paco Rabanne 1 Million Royal Parfum,57.64,3349668617043,https://www.flaconi.de/parfum/paco-rabanne/1-million-royal/paco-rabanne-1-million-royal-parfum.html?variant=80077238-50
Paco Rabanne 1 Million Royal Parfum,72.24,3349668617050,https://www.flaconi.de/parfum/paco-rabanne/1-million-royal/paco-rabanne-1-million-royal-parfum.html?variant=80077238-100
Paco Rabanne 1 Million Royal Parfum,98.29,3349668617067,https://www.flaconi.de/parfum/paco-rabanne/1-million-royal/paco-rabanne-1-million-royal-parfum.html?variant=80077238-200
Jean Paul Gaultier Le Beau Le Parfum Eau de Parfum,61.5,8435415062213,https://www.flaconi.de/parfum/jean-paul-gaultier/le-beau/jean-paul-gaultier-le-beau-le-parfum-eau-de-parfum.html?variant=80066854-75
Jean Paul Gaultier Le Beau Le Parfum Eau de Parfum,72.7,8435415062190,https://www.flaconi.de/parfum/jean-paul-gaultier/le-beau/jean-paul-gaultier-le-beau-le-parfum-eau-de-parfum.html?variant=80066854-125
HUGO BOSS Boss The Scent Magnetic For Him Eau de Parfum,55.85,3616304247743,https://www.flaconi.de/parfum/hugo-boss/boss-the-scent/hugo-boss-boss-the-scent-magnetic-for-him-eau-de-parfum.html?variant=80075783-50
HUGO BOSS Boss The Scent Magnetic For Him Eau de Parfum,99,3616304247644,https://www.flaconi.de/parfum/hugo-boss/boss-the-scent/hugo-boss-boss-the-scent-magnetic-for-him-eau-de-parfum.html?variant=80075783-100
JIL SANDER Sun Men Eau de Toilette,20.9,3414202955001,https://www.flaconi.de/parfum/jil-sander/sun-men/jil-sander-sun-men-eau-de-toilette.html?variant=20103578
JIL SANDER Sun Men Eau de Toilette,22.98,3414200802192,https://www.flaconi.de/parfum/jil-sander/sun-men/jil-sander-sun-men-eau-de-toilette.html?variant=20102224
JIL SANDER Sun Men Eau de Toilette,30.23,3414200802291,https://www.flaconi.de/parfum/jil-sander/sun-men/jil-sander-sun-men-eau-de-toilette.html?variant=20102225
JIL SANDER Sun Men Eau de Toilette,73.5,3607349153168,https://www.flaconi.de/parfum/jil-sander/sun-men/jil-sander-sun-men-eau-de-toilette.html?variant=20120433
HUGO BOSS ALIVE Eau de Parfum,32.09,3616302811137,https://www.flaconi.de/parfum/hugo-boss/alive/hugo-boss-alive-eau-de-parfum.html?variant=80048918-30-1
HUGO BOSS ALIVE Eau de Parfum,46.4,3614228830515,https://www.flaconi.de/parfum/hugo-boss/alive/hugo-boss-alive-eau-de-parfum.html?variant=80048918-50
HUGO BOSS ALIVE Eau de Parfum,71.57,3614228830393,https://www.flaconi.de/parfum/hugo-boss/alive/hugo-boss-alive-eau-de-parfum.html?variant=80048918-80
Helena Rubinstein Re-Plasty Age Recovery Nachtcreme,267.64,3605521489654,https://www.flaconi.de/pflege/helena-rubinstein/re-plasty-age-recovery/helena-rubinstein-re-plasty-age-recovery-nachtcreme.html?variant=40003008
Sol de Janeiro Bum Bum Jet Set Körperpflegeset,25.67,810912032613,https://www.flaconi.de/pflege/sol-de-janeiro/bum-bum/sol-de-janeiro-bum-bum-jet-set-koerperpflegeset.html?variant=80077332-1
HUGO BOSS Boss The Scent Magnetic For Her Eau de Parfum,49.95,3616304247651,https://www.flaconi.de/parfum/hugo-boss/boss-the-scent/hugo-boss-boss-the-scent-magnetic-for-her-eau-de-parfum.html?variant=80075784-30
HUGO BOSS Boss The Scent Magnetic For Her Eau de Parfum,67.95,3616304247750,https://www.flaconi.de/parfum/hugo-boss/boss-the-scent/hugo-boss-boss-the-scent-magnetic-for-her-eau-de-parfum.html?variant=80075784-50
Yves Saint Laurent La Nuit de L'Homme Le Parfum Parfum,74.76,3365440621015,https://www.flaconi.de/parfum/yves-saint-laurent/la-nuit-de-l-homme/yves-saint-laurent-la-nuit-de-l-homme-le-parfum-parfum.html?variant=20102643
Yves Saint Laurent La Nuit de L'Homme Le Parfum Parfum,85.94,3365440621053,https://www.flaconi.de/parfum/yves-saint-laurent/la-nuit-de-l-homme/yves-saint-laurent-la-nuit-de-l-homme-le-parfum-parfum.html?variant=20102644
BABOR Skinovage Moisturizing Cream Gesichtscreme,42.99,4015165359388,https://www.flaconi.de/pflege/babor/skinovage/babor-skinovage-moisturizing-cream-gesichtscreme.html?variant=80068274-50
Davidoff Cool Water Eau de Toilette,20.95,3414202000510,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-eau-de-toilette.html?variant=20101692
Davidoff Cool Water Eau de Toilette,28.35,3414202000565,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-eau-de-toilette.html?variant=20101693
Davidoff Cool Water Eau de Toilette,32.96,3414202000572,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-eau-de-toilette.html?variant=20101694
Davidoff Cool Water Eau de Toilette,39.95,3607342359789,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-eau-de-toilette.html?variant=20120324
Jean Paul Gaultier Ultra Male Intense Eau de Toilette,38.61,8435415015486,https://www.flaconi.de/parfum/jean-paul-gaultier/ultra-male/jean-paul-gaultier-ultra-male-intense-eau-de-toilette.html?variant=80007325-40
Jean Paul Gaultier Ultra Male Intense Eau de Toilette,64.47,8435415011990,https://www.flaconi.de/parfum/jean-paul-gaultier/ultra-male/jean-paul-gaultier-ultra-male-intense-eau-de-toilette.html?variant=80007325-75
Jean Paul Gaultier Ultra Male Intense Eau de Toilette,64.8,8435415012027,https://www.flaconi.de/parfum/jean-paul-gaultier/ultra-male/jean-paul-gaultier-ultra-male-intense-eau-de-toilette.html?variant=80007325-125
Calvin Klein Eternity Eau de Parfum,44.58,088300601400,https://www.flaconi.de/parfum/calvin-klein/eternity/calvin-klein-eternity-eau-de-parfum.html?variant=20101471
Calvin Klein Eternity Eau de Parfum,49.3,088300601301,https://www.flaconi.de/parfum/calvin-klein/eternity/calvin-klein-eternity-eau-de-parfum.html?variant=20101470
Calvin Klein Eternity Eau de Parfum,56,088300601387,https://www.flaconi.de/parfum/calvin-klein/eternity/calvin-klein-eternity-eau-de-parfum.html?variant=20101469
Dolce&Gabbana Light Blue Pour Homme Eau Intense Eau de Parfum,55.45,8057971181384,https://www.flaconi.de/parfum/dolce-gabbana/light-blue-pour-homme/dolce-gabbana-light-blue-pour-homme-eau-intense-eau-de-parfum.html?variant=80019159-50
Dolce&Gabbana Light Blue Pour Homme Eau Intense Eau de Parfum,71.45,8057971181391,https://www.flaconi.de/parfum/dolce-gabbana/light-blue-pour-homme/dolce-gabbana-light-blue-pour-homme-eau-intense-eau-de-parfum.html?variant=80019159-100
Dolce&Gabbana Light Blue Pour Homme Eau Intense Eau de Parfum,103.42,8057971181407,https://www.flaconi.de/parfum/dolce-gabbana/light-blue-pour-homme/dolce-gabbana-light-blue-pour-homme-eau-intense-eau-de-parfum.html?variant=80019159-200
Davidoff Cool Water Intense Eau de Parfum,19.9,3614228171427,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-intense-eau-de-parfum.html?variant=80040459-40
Davidoff Cool Water Intense Eau de Parfum,23.58,3614228174237,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-intense-eau-de-parfum.html?variant=80040459-75
Davidoff Cool Water Intense Eau de Parfum,33.16,3614228174275,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-intense-eau-de-parfum.html?variant=80040459-125
Azzaro WANTED Girl Eau de Parfum,43.65,3351500013791,https://www.flaconi.de/parfum/azzaro/wanted/azzaro-wanted-girl-eau-de-parfum.html?variant=80057652-30
Azzaro WANTED Girl Eau de Parfum,49.3,3351500013807,https://www.flaconi.de/parfum/azzaro/wanted/azzaro-wanted-girl-eau-de-parfum.html?variant=80057652-50
Azzaro WANTED Girl Eau de Parfum,70.49,3351500013814,https://www.flaconi.de/parfum/azzaro/wanted/azzaro-wanted-girl-eau-de-parfum.html?variant=80057652-80
LANCÔME Idôle L'Intense Eau de Parfum,40.8,3614273203463,https://www.flaconi.de/parfum/lancome/idole/lancome-idole-l-intense-eau-de-parfum.html?variant=80052075-25
LANCÔME Idôle L'Intense Eau de Parfum,64.86,3614273203470,https://www.flaconi.de/parfum/lancome/idole/lancome-idole-l-intense-eau-de-parfum.html?variant=80052075-50
LANCÔME Idôle L'Intense Eau de Parfum,109.45,3614273203487,https://www.flaconi.de/parfum/lancome/idole/lancome-idole-l-intense-eau-de-parfum.html?variant=80052075-75
Versace Versense Eau de Toilette,35.33,8011003997008,https://www.flaconi.de/parfum/versace/versense/versace-versense-eau-de-toilette.html?variant=20103144
Versace Versense Eau de Toilette,49.2,8011003997015,https://www.flaconi.de/parfum/versace/versense/versace-versense-eau-de-toilette.html?variant=20103145
Versace Versense Eau de Toilette,53.38,8011003997022,https://www.flaconi.de/parfum/versace/versense/versace-versense-eau-de-toilette.html?variant=20103143
Versace Bright Crystal Eau de Toilette,42.45,8011003993802,https://www.flaconi.de/parfum/versace/bright-crystal/versace-bright-crystal-eau-de-toilette.html?variant=20102594
Versace Bright Crystal Eau de Toilette,50.95,8011003993819,https://www.flaconi.de/parfum/versace/bright-crystal/versace-bright-crystal-eau-de-toilette.html?variant=20102595
Versace Bright Crystal Eau de Toilette,63.7,8011003993826,https://www.flaconi.de/parfum/versace/bright-crystal/versace-bright-crystal-eau-de-toilette.html?variant=20102596
Jean Paul Gaultier Le Beau Eau de Toilette,48.84,8435415017190,https://www.flaconi.de/parfum/jean-paul-gaultier/le-beau/jean-paul-gaultier-le-beau-eau-de-toilette.html?variant=80040546-75
Jean Paul Gaultier Le Beau Eau de Toilette,63.95,8435415017206,https://www.flaconi.de/parfum/jean-paul-gaultier/le-beau/jean-paul-gaultier-le-beau-eau-de-toilette.html?variant=80040546-125
HUGO BOSS Hugo Man Eau de Toilette,35.2,3614229823790,https://www.flaconi.de/parfum/hugo-boss/hugo-man/hugo-boss-hugo-man-eau-de-toilette.html?variant=80005917-75
HUGO BOSS Hugo Man Eau de Toilette,54.95,3614229823806,https://www.flaconi.de/parfum/hugo-boss/hugo-man/hugo-boss-hugo-man-eau-de-toilette.html?variant=80001998-125-2
HUGO BOSS Hugo Man Eau de Toilette,68.99,3614229823776,https://www.flaconi.de/parfum/hugo-boss/hugo-man/hugo-boss-hugo-man-eau-de-toilette.html?variant=80005917-200-2
Paco Rabanne Invictus Victory Eau de Parfum,48.33,3349668588749,https://www.flaconi.de/parfum/paco-rabanne/invictus/paco-rabanne-invictus-victory-eau-de-parfum.html?variant=80056998-50
Paco Rabanne Invictus Victory Eau de Parfum,79.17,3349668588732,https://www.flaconi.de/parfum/paco-rabanne/invictus/paco-rabanne-invictus-victory-eau-de-parfum.html?variant=80056998-100
Yves Saint Laurent L'Homme Eau de Toilette,52.69,3365440316546,https://www.flaconi.de/parfum/yves-saint-laurent/l-homme/yves-saint-laurent-l-homme-eau-de-toilette.html?variant=20102650
Yves Saint Laurent L'Homme Eau de Toilette,71.01,3365440316560,https://www.flaconi.de/parfum/yves-saint-laurent/l-homme/yves-saint-laurent-l-homme-eau-de-toilette.html?variant=20102651
Giorgio Armani Sì Intense Eau de Parfum,47.61,3614273313148,https://www.flaconi.de/parfum/giorgio-armani/si/giorgio-armani-si-intense-eau-de-parfum.html?variant=80056909-30
Giorgio Armani Sì Intense Eau de Parfum,67.66,3614273313155,https://www.flaconi.de/parfum/giorgio-armani/si/giorgio-armani-si-intense-eau-de-parfum.html?variant=80056909-50
Giorgio Armani Sì Intense Eau de Parfum,97.29,3614273313162,https://www.flaconi.de/parfum/giorgio-armani/si/giorgio-armani-si-intense-eau-de-parfum.html?variant=80056909-100
Yves Saint Laurent Opium Eau de Parfum,52.17,3365440556300,https://www.flaconi.de/parfum/yves-saint-laurent/opium/yves-saint-laurent-opium-eau-de-parfum.html?variant=20102657
Yves Saint Laurent Opium Eau de Parfum,87,3365440556348,https://www.flaconi.de/parfum/yves-saint-laurent/opium/yves-saint-laurent-opium-eau-de-parfum.html?variant=20102658
Yves Saint Laurent Opium Eau de Parfum,100,3365440556263,https://www.flaconi.de/parfum/yves-saint-laurent/opium/yves-saint-laurent-opium-eau-de-parfum.html?variant=20102659
Yves Saint Laurent Libre Eau de Toilette,61.47,3614273321792,https://www.flaconi.de/parfum/yves-saint-laurent/libre/yves-saint-laurent-libre-eau-de-toilette.html?variant=80058790-50
Yves Saint Laurent Libre Eau de Toilette,92.95,3614273321891,https://www.flaconi.de/parfum/yves-saint-laurent/libre/yves-saint-laurent-libre-eau-de-toilette.html?variant=80058790-90
LANCÔME Trésor Midnight Rose Eau de Parfum,44.95,3605532423142,https://www.flaconi.de/parfum/lancome/tresor/lancome-tresor-midnight-rose-eau-de-parfum.html?variant=20103387
LANCÔME Trésor Midnight Rose Eau de Parfum,57.9,3605532423203,https://www.flaconi.de/parfum/lancome/tresor/lancome-tresor-midnight-rose-eau-de-parfum.html?variant=20103388
HUGO BOSS Boss Alive Spring Set Duftset,46.4,3616304099489,https://www.flaconi.de/parfum/hugo-boss/boss-alive/hugo-boss-boss-alive-spring-set-duftset.html?variant=80076363-1
LANCÔME Miracle Eau de Parfum,35.09,3147758029406,https://www.flaconi.de/parfum/lancome/miracle/lancome-miracle-eau-de-parfum.html?variant=20102352
LANCÔME Miracle Eau de Parfum,56.8,3147758029390,https://www.flaconi.de/parfum/lancome/miracle/lancome-miracle-eau-de-parfum.html?variant=20102353
LANCÔME Miracle Eau de Parfum,91,3147758029383,https://www.flaconi.de/parfum/lancome/miracle/lancome-miracle-eau-de-parfum.html?variant=20102354
Dolce&Gabbana K by Dolce&Gabbana Eau de Toilette,48.99,8057971181483,https://www.flaconi.de/parfum/dolce-gabbana/k-by-dolce-gabbana/dolce-gabbana-k-by-dolce-gabbana-eau-de-toilette.html?variant=80041985-50
Dolce&Gabbana K by Dolce&Gabbana Eau de Toilette,64.37,8057971181544,https://www.flaconi.de/parfum/dolce-gabbana/k-by-dolce-gabbana/dolce-gabbana-k-by-dolce-gabbana-eau-de-toilette.html?variant=80041985-100
Dolce&Gabbana K by Dolce&Gabbana Eau de Toilette,79.2,3423473049654,https://www.flaconi.de/parfum/dolce-gabbana/k-by-dolce-gabbana/dolce-gabbana-k-by-dolce-gabbana-eau-de-toilette.html?variant=80041985-150
Dolce&Gabbana K by Dolce&Gabbana Eau de Toilette,163,8057971183913,https://www.flaconi.de/parfum/dolce-gabbana/k-by-dolce-gabbana/dolce-gabbana-k-by-dolce-gabbana-eau-de-toilette.html?variant=80041985-200
Giorgio Armani Eau de Cèdre Eau de Toilette,69.61,3614270284922,https://www.flaconi.de/parfum/giorgio-armani/eau-de-cedre/giorgio-armani-eau-de-cedre-eau-de-toilette.html?variant=80008351-100
Jean Paul Gaultier La Belle Edition 2023 Duftset,39.4,8435415084796,https://www.flaconi.de/parfum/jean-paul-gaultier/la-belle/jean-paul-gaultier-la-belle-edition-2023-duftset.html?variant=80077228-1
Davidoff Cool Water For Him Parfum,30.8,3614229387056,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-for-him-parfum.html?variant=80059511-50
Davidoff Cool Water For Him Parfum,41.9,3614229387049,https://www.flaconi.de/parfum/davidoff/cool-water/davidoff-cool-water-for-him-parfum.html?variant=80059511-100
JOOP! Le Bain Eau de Parfum,18.67,3414206000158,https://www.flaconi.de/parfum/joop/le-bain/joop-le-bain-eau-de-parfum.html?variant=20102258
JOOP! Le Bain Eau de Parfum,27.5,3414206000165,https://www.flaconi.de/parfum/joop/le-bain/joop-le-bain-eau-de-parfum.html?variant=20102259
BIOTHERM Eau Pure Eau de Toilette,29.96,3605540418420,https://www.flaconi.de/parfum/biotherm/eau-pure/biotherm-eau-pure-eau-de-toilette-1.html?variant=40002508
HUGO BOSS Alive Parfum,45.34,3616304252945,https://www.flaconi.de/parfum/hugo-boss/alive/hugo-boss-alive-parfum.html?variant=80076220-30
HUGO BOSS Alive Parfum,112.5,3616304252938,https://www.flaconi.de/parfum/hugo-boss/alive/hugo-boss-alive-parfum.html?variant=80076220-50
HUGO BOSS Alive Parfum,155,3616304252921,https://www.flaconi.de/parfum/hugo-boss/alive/hugo-boss-alive-parfum.html?variant=80076220-80
