Name,Price,EAN,URL
Yves Saint Laurent Libre Eau de Parfum,"42,45",80041833-30,https://www.flaconi.de/parfum/yves-saint-laurent/libre/yves-saint-laurent-libre-eau-de-parfum.html
LANCÔME La vie est belle Eau de Parfum,"20,00",80069829-10,https://www.flaconi.de/parfum/lancome/la-vie-est-belle/lancome-la-vie-est-belle-refillable-eau-de-parfum.html
Yves Saint Laurent Black Opium Eau de Parfum,"40,95",80005078-30,https://www.flaconi.de/parfum/yves-saint-laurent/black-opium/yves-saint-laurent-black-opium-eau-de-parfum.html
Paco Rabanne Fame Eau de Parfum,"36,35",80070790-30,https://www.flaconi.de/parfum/paco-rabanne/fame/paco-rabanne-fame-eau-de-parfum.html
Giorgio Armani Emporio Armani Eau de Parfum,"50,08",80036067-50,https://www.flaconi.de/parfum/giorgio-armani/emporio-armani/giorgio-armani-emporio-armani-stronger-with-you-intensely-eau-de-parfum.html
Urban Decay Lightbeam Lidschatten Palette,"22,50",80029259-3.4,https://www.flaconi.de/make-up/urban-decay/lightbeam/urban-decay-lightbeam-lidschatten-palette.html
Jean Paul Gaultier Le Male Eau de Toilette,"39,85",20110058,https://www.flaconi.de/parfum/jean-paul-gaultier/le-male/jean-paul-gaultier-le-male-eau-de-toilette.html
Yves Saint Laurent Y Eau de Parfum,"51,94",80029198-60,https://www.flaconi.de/parfum/yves-saint-laurent/y/yves-saint-laurent-y-for-men-eau-de-parfum.html
Giorgio Armani My Way Eau de Parfum,"45,49",80052110-30,https://www.flaconi.de/parfum/giorgio-armani/my-way/giorgio-armani-my-way-refillable-eau-de-parfum.html
Yves Saint Laurent Libre Eau de Parfum,"54,27",80052072-30,https://www.flaconi.de/parfum/yves-saint-laurent/libre/yves-saint-laurent-libre-intense-eau-de-parfum.html
Alessandro Striplac Peel or Soak Nagellack-Set,"72,44",80054076-1-1,https://www.flaconi.de/make-up/alessandro/striplac-peel-or-soak/alessandro-striplac-peel-or-soak-deluxe-starter-kit-nagellack-set.html
LANCÔME Teint Idole Flüssige Foundation,"31,06",80076186-30-34,https://www.flaconi.de/make-up/lancome/teint-idole/lancome-teint-idole-ultra-wear-24h-wear-and-comfort-fluessige-foundation.html
LANCÔME Lash Idôle Mascara,"25,40",80065934-8-1,https://www.flaconi.de/make-up/lancome/lash-idole/lancome-lash-idole-waterproof-mascara.html
Yves Saint Laurent Touche Éclat Flüssige Foundation,"38,60",80016239-25-20,https://www.flaconi.de/make-up/yves-saint-laurent/touche-eclat/yves-saint-laurent-touche-eclat-le-teint-fluessige-foundation.html
Giorgio Armani Sì Eau de Parfum,"42,95",20150392,https://www.flaconi.de/parfum/giorgio-armani/si/giorgio-armani-si-eau-de-parfum.html
Jean Paul Gaultier Le Male Eau de Parfum,"52,00",80052530-75,https://www.flaconi.de/parfum/jean-paul-gaultier/le-male/jean-paul-gaultier-le-male-le-parfum-eau-de-parfum.html
Giorgio Armani Code Homme Parfum,"74,95",80070412-50,https://www.flaconi.de/parfum/giorgio-armani/code-homme/giorgio-armani-code-homme-parfum-refillable-parfum.html
LANCÔME Idôle Eau de Parfum,"24,99",80040548-10,https://www.flaconi.de/parfum/lancome/idole/lancome-idole-eau-de-parfum.html
OLAPLEX No. 4 Haarshampoo,"21,93",80029703-1,https://www.flaconi.de/haare/olaplex/no-4/olaplex-no-4-bond-maintenance-haarshampoo.html
RefectoCil Lash&Brow Wimpernserum,"49,95",80073264-6,https://www.flaconi.de/pflege/refectocil/lash-brow/refectocil-lash-brow-booster-wimpernserum.html
Yves Saint Laurent Volume Effet Mascara,"33,45",80027991-6.5-1,https://www.flaconi.de/make-up/yves-saint-laurent/volume-effet/yves-saint-laurent-volume-effet-faux-cils-the-curler-mascara.html
Alessandro Striplac Peel or Soak Nagellack,"8,89",80038598-8-20,https://www.flaconi.de/make-up/alessandro/striplac-peel-or-soak/alessandro-striplac-peel-or-soak-nagellack.html
LANCÔME Teint Idole Stick Foundation,"31,82",80023337-9-12,https://www.flaconi.de/make-up/lancome/teint-idole/lancome-teint-idole-ultra-wear-stick-stick-foundation.html
Versace Eros Eau de Parfum,"50,30",80053748-50,https://www.flaconi.de/parfum/versace/eros/versace-eros-eau-de-parfum.html
Paco Rabanne 1 Million Parfum,"47,84",80049591-50,https://www.flaconi.de/parfum/paco-rabanne/1-million/paco-rabanne-1-million-parfum.html
Giorgio Armani Acqua di Giò Homme Eau de Toilette,"45,14",20101922,https://www.flaconi.de/parfum/giorgio-armani/acqua-di-gio-homme/giorgio-armani-acqua-di-gio-homme-eau-de-toilette.html
OLAPLEX No. 5 Conditioner,"22,18",80029704-1,https://www.flaconi.de/haare/olaplex/no-5/olaplex-no-5-bond-maintenance-conditioner.html
OLAPLEX No. 3 Haarkur,"21,88",80016136-100,https://www.flaconi.de/haare/olaplex/no-3/olaplex-no-3-hair-perfector-haarkur.html
OLAPLEX No. 6 Leave-in-Treatment,"22,01",80039332-100,https://www.flaconi.de/haare/olaplex/no-6/olaplex-no-6-bond-smoother-leave-in-treatment.html
MANUPGRADER Hydro Sheet Mask Tuchmaske,"22,46",80041581-3,https://www.flaconi.de/pflege/manupgrader/hydro-sheet-mask/manupgrader-hydro-sheet-mask-tuchmaske.html
LANCÔME Hypnôse Mascara,"14,70",80028826-1-1,https://www.flaconi.de/make-up/lancome/hypnose/lancome-hypnose-mascara.html
LANCÔME Teint Miracle Flüssige Foundation,"24,60",80024902-30-13,https://www.flaconi.de/make-up/lancome/teint-miracle/lancome-teint-miracle-fluessige-foundation-2.html
ANASTASIA Beverly Hills Dipbrow Pomade Augenbrauengel,"17,53",80057561-4-8,https://www.flaconi.de/make-up/anastasia-beverly-hills/dipbrow-pomade/anastasia-beverly-hills-dipbrow-pomade-augenbrauengel.html
Dolce&Gabbana Light Blue Eau de Toilette,"30,13",20101824,https://www.flaconi.de/parfum/dolce-gabbana/light-blue/dolce-gabbana-light-blue-eau-de-toilette.html
HUGO BOSS Boss Bottled Eau de Toilette,"37,05",20101263,https://www.flaconi.de/parfum/hugo-boss/boss-bottled/hugo-boss-boss-bottled-eau-de-toilette.html
Yves Saint Laurent Libre Parfum,"50,95",80070407-30,https://www.flaconi.de/parfum/yves-saint-laurent/libre/yves-saint-laurent-libre-le-parfum-parfum.html
OLAPLEX No. 7 Haaröl,"22,09",80044100-30,https://www.flaconi.de/haare/olaplex/no-7/olaplex-no-7-bonding-oil-haaroel.html
Kérastase Elixir Ultime Haaröl,"22,20",80032762-30,https://www.flaconi.de/haare/kerastase/elixir-ultime/kerastase-elixir-ultime-l-huile-originale-haaroel.html
Color WOW Dream Coat Föhnspray,"26,99",80039318-200,https://www.flaconi.de/haare/color-wow/dream-coat/color-wow-dream-coat-supernatural-foehnspray.html
FILORGA NCEF-ESSENCE Gesichtslotion,"38,99",80050880-150,https://www.flaconi.de/pflege/filorga/ncef-essence/filorga-ncef-essence-gesichtslotion.html
LANCÔME Advanced Génifique Gesichtsserum,"33,90",80007239-20,https://www.flaconi.de/pflege/lancome/advanced-genifique/lancome-advanced-genifique-gesichtsserum.html
BABOR Celebration Box Gesichtspflegeset,"107,10",80058597-1,https://www.flaconi.de/pflege/babor/celebration-box/babor-celebration-box-gesichtspflegeset.html
MANUPGRADER Hydra Gel Cream Gesichtscreme,"26,96",80041580-50,https://www.flaconi.de/pflege/manupgrader/hydra-gel-cream/manupgrader-hydra-gel-cream-gesichtscreme.html
ESTÉE LAUDER Double Wear Flüssige Foundation,"35,86",80001164-30-4,https://www.flaconi.de/make-up/estee-lauder/double-wear/estee-lauder-double-wear-maximum-cover-fluessige-foundation.html
LANCÔME Crayon Kajalstift,"15,97",60002490,https://www.flaconi.de/make-up/lancome/crayon/lancome-crayon-khol-kajalstift.html
Urban Decay Hydromaniac Flüssige Foundation,"15,15",80056267-20-12,https://www.flaconi.de/make-up/urban-decay/hydromaniac/urban-decay-hydromaniac-tinted-glow-fluessige-foundation.html
Yves Saint Laurent Volume Effet Mascara,"24,03","80007011-7,5",https://www.flaconi.de/make-up/yves-saint-laurent/volume-effet/yves-saint-laurent-volume-effet-faux-cils-mascara.html
Lacoste Pour Femme Eau de Parfum,"25,21",20102317,https://www.flaconi.de/parfum/lacoste/pour-femme/lacoste-pour-femme-eau-de-parfum.html
Giorgio Armani Code Femme Eau de Parfum,"39,77",20101935,https://www.flaconi.de/parfum/giorgio-armani/code-femme/giorgio-armani-code-femme-eau-de-parfum.html
Dolce&Gabbana The One for Men Eau de Parfum,"59,95",80008548-50,https://www.flaconi.de/parfum/dolce-gabbana/the-one-for-men/dolce-gabbana-the-one-for-men-eau-de-parfum.html
Paco Rabanne Olympéa Eau de Parfum,"36,38",80008047-30,https://www.flaconi.de/parfum/paco-rabanne/olympea/paco-rabanne-olympea-eau-de-parfum.html
Kérastase Resistance Haarshampoo,"44,97",80070404-1000,https://www.flaconi.de/haare/kerastase/resistance/kerastase-resistance-bain-force-architecte-duo-bundles-haarshampoo.html
Kérastase Blond Absolu Conditioner,"25,18",80036244-250,https://www.flaconi.de/haare/kerastase/blond-absolu/kerastase-blond-absolu-cicaflash-conditioner.html
Kérastase Nutritive Leave-in-Treatment,"30,60",80077299-150,https://www.flaconi.de/haare/kerastase/nutritive/kerastase-nutritive-nectar-thermique-leave-in-treatment.html
Kérastase Resistance Conditioner,"32,85",80029553-200,https://www.flaconi.de/haare/kerastase/resistance/kerastase-resistance-fondant-extentioniste-conditioner.html
LA DOPE CBD Körperserum,"35,96",80054689-100,https://www.flaconi.de/pflege/la-dope/cbd/la-dope-cbd-body-oil-serum-006-koerperserum.html
FOREO Luna 3 Gesichtsbürste,"181,00",80038407-1,https://www.flaconi.de/pflege/foreo/luna-3/foreo-luna-3-fuer-empfindliche-haut-gesichtsbuerste.html
flaconi Body Essentials Händedesinfektionsmittel,"6,26",80051142-250,https://www.flaconi.de/pflege/flaconi/body-essentials/flaconi-body-essentials-haendedesinfektionsmittel.html
MAC MACSTACK Mascara,"26,46",80066559-31-1,https://www.flaconi.de/make-up/mac/macstack/mac-macstack-mascara-mascara.html
Urban Decay Stay Naked Concealer,"13,25",80041577-10.2-24,https://www.flaconi.de/make-up/urban-decay/stay-naked/urban-decay-stay-naked-correcting-concealer.html
LANCÔME Hypnôse Lidschatten Palette,"31,19",80037489-3.5-12,https://www.flaconi.de/make-up/lancome/hypnose/lancome-hypnose-lidschatten-palette.html
ESTÉE LAUDER Double Wear Flüssige Foundation,"30,55",60005282,https://www.flaconi.de/make-up/estee-lauder/double-wear/estee-lauder-double-wear-stay-in-place-spf-10-fluessige-foundation.html
Yves Saint Laurent Black Opium Parfum,"67,45",80075334-30,https://www.flaconi.de/parfum/yves-saint-laurent/black-opium/yves-saint-laurent-black-opium-le-parfum-parfum.html
Kérastase Genesis Conditioner,"32,50",80047684-200,https://www.flaconi.de/haare/kerastase/genesis/kerastase-genesis-fondant-renforcateur-conditioner.html
Redken Acidic Bonding Concentrate Haarpflegeset,"32,43",80076508-1,https://www.flaconi.de/haare/redken/acidic-bonding-concentrate/redken-acidic-bonding-concentrate-springcoffret-haarpflegeset.html
Kérastase Genesis Spray-Conditioner,"26,98",80047686-150,https://www.flaconi.de/haare/kerastase/genesis/kerastase-genesis-defense-thermique-spray-conditioner.html
BIOTHERM Lait Corporel Bodylotion,"15,45",40002010,https://www.flaconi.de/pflege/biotherm/lait-corporel/biotherm-lait-corporel-l-original-bodylotion.html
FOREO Ufo 2 Lichttherapiegerät,"219,40",80049272-1,https://www.flaconi.de/pflege/foreo/ufo-2/foreo-ufo-2-pearl-pink-lichttherapiegeraet.html
Dear Dahlia Paradise Dream Velvet Lip Mousse Lippenstift,"21,99",80073619-6.5-3,https://www.flaconi.de/make-up/dear-dahlia/paradise-dream-velvet-lip-mousse/dear-dahlia-paradise-dream-velvet-lip-mousse-lippenstift.html
M2 BEAUTÉ Eyelash Wimpernserum,"75,08",80049276-4,https://www.flaconi.de/pflege/m2-beaute/eyelash/m2-beaute-eyelash-activating-serum-wimpernserum.html
LANCÔME Bi-Facil Augenmake-up Entferner,"12,95",80008379-75,https://www.flaconi.de/make-up/lancome/bi-facil/lancome-bi-facil-augenmake-up-entferner.html
LANCÔME Lash Idôle Mascara,"20,04",80056266-9-1,https://www.flaconi.de/make-up/lancome/lash-idole/lancome-lash-idole-mascara.html
Maria Nila Head & Hair Heal Haarshampoo,"14,20",80021856-100,https://www.flaconi.de/haare/maria-nila/head-and-hair-heal/maria-nila-head-and-hair-heal-haarshampoo.html
Kérastase Genesis Haarshampoo,"21,63",80047683-250,https://www.flaconi.de/haare/kerastase/genesis/kerastase-genesis-bain-hydra-fortifiant-haarshampoo.html
Redken Extreme Haarpflegeset,"25,92",80076506-1,https://www.flaconi.de/haare/redken/extreme/redken-extreme-springcoffret-haarpflegeset.html
OLAPLEX No. 8 Haarmaske,"21,94",80061681-160,https://www.flaconi.de/haare/olaplex/no-8/olaplex-no-8-bond-intense-moisture-mask-haarmaske.html
BABOR Ampoule Concentrates Ampullen,"14,37",80023108-14-1,https://www.flaconi.de/pflege/babor/ampoule-concentrates/babor-ampoule-concentrates-hydra-plus-ampullen.html
LANCÔME Rénergie Gesichtsserum,"75,98",80066180-50,https://www.flaconi.de/pflege/lancome/renergie/lancome-renergie-h-c-f-triple-serum-gesichtsserum.html
LA DOPE CBD Gesichtsöl,"71,96",80054687-30,https://www.flaconi.de/pflege/la-dope/cbd/la-dope-cbd-face-oil-serum-004-gesichtsoel.html
Redken All Soft Haarpflegeset,"25,00",80076507-1,https://www.flaconi.de/haare/redken/all-soft/redken-all-soft-springcoffret-haarpflegeset.html
Kérastase Nutritive Haarshampoo,"48,79",80070406-1000,https://www.flaconi.de/haare/kerastase/nutritive/kerastase-nutritive-bain-satin-2-duo-bundles-haarshampoo.html
