EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'716736745312,47.99,B0B1GT5Z7M,-,12.91 ,"14,55 %"
'7615523716272,89.99,B0BXN81PJ2,-,31.91 ,"19,95 %"
'753759297183,242.99,B09TPXD2VC,"#816.997, (Sport & Freizeit)",23.72 ,"7,69 %"
'7325541001532,43.99,B07WW8SBR7,"#685.591, (Sport & Freizeit)",13.83 ,"16,43 %"
'9120077135830,152.99,B07NKG9HLL,"#999.702, (Fashion)",18.29 ,"8,35 %"
'888392606365,59.99,B0BXNMWH8X,"#5.597.645, (Fashion)",73.18 ,"39,56 %"
'716736395210,58.99,B08QVMHR83,"#2.038.933, (Fashion)",10.38 ,"11,08 %"
'8714895058405,1049.99,B07YC5LSRT,"#169.658, (Sport & Freizeit)",138.60 ,"10,19 %"
'716736337692,71.99,B08GC9R8T8,"#1.463.369, (Fashion)",40.48 ,"26,43 %"
'191972752407,115.99,B0BZJY3MP1,"#158.897, (Sport & Freizeit)",14.11 ,"8,06 %"
'630950926534,469.99,B09J99DH3K,"#815.300, (Sport & Freizeit)",98.33 ,"13,29 %"
'7325549882997,197.99,B0BFD71576,"#547.500, (Auto & Motorrad)",113.15 ,"27,16 %"
'810059473133,118.99,B0BJFH84Z4,"#4.723, (Sport & Freizeit)",19.02 ,"10,33 %"
'655586391648,104.99,B08KJ5CGSB,-,16.90 ,"11,27 %"
'716736392936,159.99,B08QVR558N,"#2.044.731, (Fashion)",13.24 ,"5,99 %"
'716736337647,133.99,B08QVPLMYB,"#309.283, (Sport & Freizeit)",24.58 ,"13,01 %"
