EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'7640357497783,109.99,B0C74NSTH5,-,36.19 ,"18,10 %"
'8050949864753,119.99,B0BRVG6RTT,"#638.806, (Fashion)",15.69 ,"9,00 %"
'0768686445415,61.99,B09YMYRLBR,"#5.591.887, (Fashion)",11.29 ,"11,44 %"
'9008415967063,71.99,B08G8LBR4X,"#2.139.065, (Fashion)",23.76 ,"18,28 %"
'0768686242243,137.99,B081VW8XKP,"#214.003, (Fashion)",111.17 ,"32,70 %"
'8717009498357,98.99,B0C4PDWQWC,-,55.33 ,"29,40 %"
'4063098165699,54.99,B0BZJM61Q7,-,33.29 ,"26,09 %"
'0191361292835,136.99,B099Z1HH14,"#1.477.248, (Auto & Motorrad)",60.82 ,"22,61 %"
'4046068517674,59.99,B07F2PN95Z,"#34.451, (Auto & Motorrad)",13.30 ,"13,47 %"
'0655586513675,85.99,B0BJW466ZZ,-,20.41 ,"14,28 %"
'0810086901166,108.99,B0B14KJTXB,-,20.44 ,"12,13 %"
'9008415966868,97.99,B08G8H5NM1,"#1.636.496, (Fashion)",28.46 ,"16,74 %"
'9008169761849,149.99,B0C47Y2TMM,"#831.222, (Fashion)",11.96 ,"6,30 %"
'8050949874172,51.99,B0BRVFDM5Z,-,23.51 ,"24,29 %"
'8050949870594,65.99,B0BRVGR97Z,-,13.60 ,"13,61 %"
'4063098126560,63.99,B0BVG7SXNX,"#881.076, (Fashion)",59.41 ,"34,96 %"
'8055528473128,79.99,B0C69YCDLV,-,12.60 ,"10,96 %"
'0191361292682,136.99,B099Z5H3DD,"#1.477.248, (Auto & Motorrad)",119.01 ,"33,68 %"
'0847435028175,61.99,B01DWO6GOE,-,11.57 ,"11,03 %"
'0768686242205,91.99,B07ZG8BX3G,"#229.044, (Fashion)",17.53 ,"12,74 %"
'0847435028434,60.99,B08HNG9X3Q,-,21.41 ,"18,46 %"
'9010583094458,71.99,B0BNK8B8X2,-,28.58 ,"20,41 %"
'0887202420863,313.99,B0BTVDJLL9,-,77.92 ,"15,30 %"
