File Date,Map Title,Map No,Type Desc,Doc,Image
6/11/1906,PROP OF A ABRAMS VALLEY FARMS,02102,PLAT,7,NM-02102 - PROP OF A ABRAMS VALLEY FARMS - 6_11_1906.jpg
6/13/1906,PLANDOME MANHASSET,02103,PLAT,7,NM-02103 - PLANDOME MANHASSET - 6_13_1906.jpg
6/16/1906,ALBERTSON SQUARE MINEOLA LI,02104,PLAT,7,NM-02104 - ALBERTSON SQUARE MINEOLA LI - 6_16_1906.jpg
6/22/1906,KATHARINE COURT ROOSEVELT LI,02116,PLAT,7,NM-02116 - KATHARINE COURT ROOSEVELT LI - 6_22_1906.jpg
6/28/1906,PROP AT LYNBROOK OF HEMPSTEAD,02114,PLAT,7,NM-02114 - PROP AT LYNBROOK OF HEMPSTEAD - 6_28_1906.jpg
6/30/1906,391 06/30/06 DIAG OF PROP ESTATE MARTIN SCHENCK,00391,PLAT,7,NM-00391 - 391 06_30_06 DIAG OF PROP ESTATE MARTIN SCHENCK - 6_30_1906.jpg
7/5/1906,ROOSEVELT PARK INEOLA,02119,PLAT,13,NM-02119 - ROOSEVELT PARK INEOLA - 7_5_1906.jpg
7/5/1906,ROOSEVELT PARK MINEOLA,02115,PLAT,14,NM-02115 - ROOSEVELT PARK MINEOLA - 7_5_1906.jpg
7/11/1906,JERICHO PLAZA AT MINEOLA,02118,PLAT,7,NM-02118 - JERICHO PLAZA AT MINEOLA - 7_11_1906.jpg
7/14/1906,PROP AT LYNBROOK TOWN OF HEMPSTEAD,02123,PLAT,7,NM-02123 - PROP AT LYNBROOK TOWN OF HEMPSTEAD - 7_14_1906.jpg
7/19/1906,WOODLAND PARK ADD 1 ROCKVILLE CENTRE,02121,PLAT,19,NM-02121 - WOODLAND PARK ADD 1 ROCKVILLE CENTRE - 7_19_1906.jpg
7/19/1906,PROP OF M MITCHELL HEWLETTS,02130,PLAT,20,NM-02130 - PROP OF M MITCHELL HEWLETTS - 7_19_1906.jpg
7/19/1906,PROP OF W RYAN AT SEAFORD,02122,PLAT,21,NM-02122 - PROP OF W RYAN AT SEAFORD - 7_19_1906.jpg
7/21/1906,MARION PARK ROCKVILLE CENTRE,02138,PLAT,7,NM-02138 - MARION PARK ROCKVILLE CENTRE - 7_21_1906.jpg
7/25/1906,S FOSTER SPRAGUE IN QUEENS COUNTY,00399,PLAT,7,NM-00399 - S FOSTER SPRAGUE IN QUEENS COUNTY - 7_25_1906.jpg
7/27/1906,FAIRLAWN PARK HEMPSTEAD,02137,PLAT,7,NM-02137 - FAIRLAWN PARK HEMPSTEAD - 7_27_1906.jpg
7/28/1906,BROOKLYN DEPT OF WATER,03147,PLAT,13,NM-03147 - BROOKLYN DEPT OF WATER - 7_28_1906.jpg
7/28/1906,CEDARHURST HEMPSTEAD,02140,PLAT,14,NM-02140 - CEDARHURST HEMPSTEAD - 7_28_1906.jpg
7/31/1906,ROBIN WOOD HEMPSTEAD,02139,PLAT,7,NM-02139 - ROBIN WOOD HEMPSTEAD - 7_31_1906.jpg
8/11/1906,MAP OF HEMPSTEAD PARK,00253,PLAT,7,NM-00253 - MAP OF HEMPSTEAD PARK - 8_11_1906.jpg
8/13/1906,PROP OF W E ROOSEVELT COVE NECK,02142,PLAT,7,NM-02142 - PROP OF W E ROOSEVELT COVE NECK - 8_13_1906.jpg
8/16/1906,PROP OF J J MATHEWS & OTHERS,02148,PLAT,7,NM-02148 - PROP OF J J MATHEWS & OTHERS - 8_16_1906.jpg
8/25/1906,PROP OF M A PEARSALL AT ROSYLN,02157,PLAT,7,NM-02157 - PROP OF M A PEARSALL AT ROSYLN - 8_25_1906.jpg
9/7/1906,PROP OF BERKS-NASSAUREAL CO MINEOLA,02161,PLAT,7,NM-02161 - PROP OF BERKS-NASSAUREAL CO MINEOLA - 9_7_1906.jpg
9/8/1906,BLOCK 27 JAMAICA SQUARE NO 3,02158,PLAT,13,NM-02158 - BLOCK 27 JAMAICA SQUARE NO 3 - 9_8_1906.jpg
9/8/1906,PROP AT BAYVILLE,02162,PLAT,14,NM-02162 - PROP AT BAYVILLE - 9_8_1906.jpg
9/13/1906,OYSTER BAY CAPITAL HEIGHTS PARK,00015,PLAT,7,NM-00015 - OYSTER BAY CAPITAL HEIGHTS PARK - 9_13_1906.jpg
9/15/1906,SEAFORD TERRACE NASSAU CO LONG,01632,PLAT,7,NM-01632 - SEAFORD TERRACE NASSAU CO LONG - 9_15_1906.jpg
