Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Ratakatu,9,"398,000,00 €",2,,42.00 ,https://kotimeklarit.com/asunto/21222637_ratakatu-9punavuori/,kotimeklarit
Vilhonvuorenkuja,20,"395,000,00 €",3,,58.00 ,https://kotimeklarit.com/asunto/20733019_vilhonvuorenkuja-20sornainen-kallio-vilhonvuori/,kotimeklarit
Merenkulkijankatu,7,"175,000,00 €",2,,58.50 ,https://kotimeklarit.com/asunto/20963358_merenkulkijankatu-7espoonlahti/,kotimeklarit
Kristianinkatu,9,"1,140,00 €",1,,38.50 ,https://kotimeklarit.com/asunto/21894985_kristianinkatu-9kruununhaka/,kotimeklarit
Rauhalanpuisto,6-8,"950,00 €",2,,50.00 ,https://kotimeklarit.com/asunto/21839251_rauhalanpuisto-6-8matinkyla/,kotimeklarit
Larin,,"1,050,00 €",2,,48.00 ,https://kotimeklarit.com/asunto/20676035_larin-kyostin-polku-2oulunkyla/,kotimeklarit
Piritanaukio,3,"4,900,00 €",4,,199.00 ,https://kotimeklarit.com/asunto/20230049_piritanaukio-3eiranranta/,kotimeklarit
Eteläinen,,"1,300,00 €",,,40.50 ,https://kotimeklarit.com/asunto/20774966_etelainen-rautatiekatu-16kamppi/,kotimeklarit
Tarkk’ampujankatu,16,"780,00 €",1,,18.55 ,https://kotimeklarit.com/asunto/21716980_tarkkampujankatu-16ullanlinna/,kotimeklarit
Korkeavuorenkatu,4,"1,100,00 €",2,,40.00 ,https://kotimeklarit.com/asunto/21957110_korkeavuorenkatu-4ullanlinna/,kotimeklarit
Korkeavuorenkatu,8,"1,690,00 €",2,,63.00 ,https://kotimeklarit.com/asunto/20316274_korkeavuorenkatu-8ullanlinna/,kotimeklarit
