Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Kummelivuorentie,1016,"16,900 €",,,,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/saunalahti/80307873,solidhouse
Tiimalasintie,610,"13,900 €",,,12.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/saunalahti/80307874,solidhouse
Linjaloistonkatu,343,"9,900 €",,,,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/saunalahti/80307875,solidhouse
Tuulimyllyntie,3,"276,000 €",,,66.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/myllypuro/80308464,solidhouse
Kaitaistentie,6,"98,000 €",,,59 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/suikkila/80308348,solidhouse
Pohjoinen Rautatiekatu,31,"529,000 €",,,63.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/toolo/80308885,solidhouse
Tervapääskynpolku,9,"255,000 €",,,70 ,"https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/tapaninvainio,_tapaninkyla/80309310",solidhouse
Puhuri,11,"398,000 €",,,191 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/haarla/80308615,solidhouse
Tornikatu,8,"159,000 €",,,66 ,https://www.solidhouse.fi/kohde/asunto/raisio/raisio/keskusta/80308096,solidhouse
Muurikinkatu,8,"215,000 €",,,79.5 ,https://www.solidhouse.fi/kohde/asunto/kaarina/littoinen/littoinen/80306076,solidhouse
Rautatienkatu,20,"470,000 €",,,269 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/keskusta/80305407,solidhouse
Revonkatu,7,"158,000 €",,,176 ,https://www.solidhouse.fi/kohde/asunto/kaarina/kaarina/poikluoma/80307931,solidhouse
Täysikuu,10,"398,000 €",,,134 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/olari_kuitinmaki/80307606,solidhouse
Iso Roobertinkatu,5-3,"367,000 €",,,48.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80308352,solidhouse
Metsänvartijankatu,4,"174,000 €",,,207 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/paukkula/80307684,solidhouse
Rongankatu,2-4,"349,000 €",,,79.5 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/keskusta/80305953,solidhouse
Paratiisintie,5,"84,000 €",,,54 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/paratiisinmaki/80306234,solidhouse
Larin Parasken polku,29,"849,000 €",,,181 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/hakuninmaa/80304604,solidhouse
Iso Roobertinkatu,5-3,"370,000 €",,,50 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80308317,solidhouse
Kauppiaankatu,1-3,"1,197,000 €",,,113.4 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/katajanokka/80308722,solidhouse
Metsäkedonkatu,32,"119,000 €",,,92.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/valhoja/80307852,solidhouse
Pellervonkatu,2,"29,000 €",,,36 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/tiilimaki/80309425,solidhouse
Suolaamontie,30,"134,000 €",,,22 ,https://www.solidhouse.fi/kohde/asunto/eurajoki/eurajoki/orjansaari/80304820,solidhouse
Mittarinkatu,4,"179,000 €",,,46 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/lantinen_keskusta/80308434,solidhouse
