Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Finnoontie,52,"389,000 €",4,,94.5,https://westhouse.fi/kohteet/finnoontie-52/,westhouse
Leppisaarentie,10,"525,000 €",5,,148.8,https://westhouse.fi/kohteet/leppisaarentie-10/,westhouse
Peikonkuja,4,"442,000 €",7,,164,https://westhouse.fi/kohteet/peikonkuja-4/,westhouse
Meritullinkatu,15,"589,000 €",2,,67,https://westhouse.fi/kohteet/meritullinkatu-15/,westhouse
Rantakuja,6,"1,258,000 €",6,,255,https://westhouse.fi/kohteet/rantakuja-6/,westhouse
Jokitie,4,"298,000 €",3,,79.5,https://westhouse.fi/kohteet/jokitie-4-b/,westhouse
Hakamäki,1,"428,000 €",4,,83,https://westhouse.fi/kohteet/hakamaki-1/,westhouse
Laitamyötäisentie,2,"590,000 €",7,,174.5,https://westhouse.fi/kohteet/laitamyotaisentie-2/,westhouse
Kartanonpolku,5,"925,000 €",6,,275,https://westhouse.fi/kohteet/kartanonpolku-5/,westhouse
Melkonkatu,8,"499,000 €",4,,90,https://westhouse.fi/kohteet/melkonkatu-8/,westhouse
Riihitie,23,"448,000 €",2,,65,https://westhouse.fi/kohteet/riihitie-23/,westhouse
Krogiuksentie,10,"3,100,000 €",9,,349,https://westhouse.fi/kohteet/krogiuksentie-10-c/,westhouse
Pitkänkalliontanhua,3,"550,000 €",5,,119.5,https://westhouse.fi/kohteet/pitkankalliontanhua-3/,westhouse
Peräläntie,43,"548,500 €",5,,155,https://westhouse.fi/kohteet/peralantie-43/,westhouse
Lillbyntie,94,"412,000 €",6,,268,https://westhouse.fi/kohteet/lillbyntie-94/,westhouse
Salakkatie,6,"749,000 €",4,,128,https://westhouse.fi/kohteet/salakkatie-6/,westhouse
Lohitie,2,"185,000 €",1,,27,https://westhouse.fi/kohteet/lohitie-2/,westhouse
Haukilahdenranta,21,"269,000 €",3,,69.5,https://westhouse.fi/kohteet/haukilahdenranta-21/,westhouse
Säynäväkuja,4,"695,000 €",5,,119.5,https://westhouse.fi/kohteet/saynavakuja-4/,westhouse
Huvilamäki,18,"558,000 €",6,,155,https://westhouse.fi/kohteet/huvilamaki-18/,westhouse
Graniittitie,5,"449,000 €",5,,137,https://westhouse.fi/kohteet/graniittitie-5/,westhouse
Peltomiehenkuja,3,"729,000 €",5,,185,https://westhouse.fi/kohteet/peltomiehenkuja-3/,westhouse
Visakoivuntie,21,"650,000 €",5,,115,https://westhouse.fi/kohteet/visakoivuntie-21/,westhouse
Toppelundintie,5,"1,485,000 €",8,,245.5,https://westhouse.fi/kohteet/toppelundintie-5/,westhouse
Kolmas,,"298,000 €",2,,47,https://westhouse.fi/kohteet/kolmas-linja-7/,westhouse
Kanavaniemi,5,"849,000 €",4,,139,https://westhouse.fi/kohteet/kanavaniemi-5/,westhouse
Alakartanontie,12,"349,000 €",3,,85.5,https://westhouse.fi/kohteet/alakartanontie-12/,westhouse
Marjaniemenranta,49,"1,129,000 €",6,,157,https://westhouse.fi/kohteet/marjaniemenranta-49-a/,westhouse
Punatulkuntie,1,"189,000 €",2,,50.5,https://westhouse.fi/kohteet/punatulkuntie-1/,westhouse
Visakoivunkuja,12,"545,000 €",6,,125,https://westhouse.fi/kohteet/visakoivunkuja-12/,westhouse
Lohitie,,"740,000 €",6,,105,https://westhouse.fi/kohteet/lohitie/,westhouse
Kuninkaanniemi,4,"4,890,000 €",12,,459,https://westhouse.fi/kohteet/kuninkaanniemi-4/,westhouse
Munkkiluodonkuja,1,"562,000 €",4,,97,https://westhouse.fi/kohteet/munkkiluodonkuja-1/,westhouse
Pyytie,,"369,000 €",4,,92,https://westhouse.fi/kohteet/pyytie/,westhouse
Poilahdentie,19,"1,790,000 €",5,,154,https://westhouse.fi/kohteet/poilahdentie-19/,westhouse
Haukikuja,6,"397,000 €",4,,83.5,https://westhouse.fi/kohteet/haukikuja-6/,westhouse
Haapaniemenrinne,5,"448,000 €",5,,138,https://westhouse.fi/kohteet/haapaniemenrinne-5/,westhouse
Kaitalaakso,14,"635,000 €",5,,158,https://westhouse.fi/kohteet/kaitalaakso-14/,westhouse
Hämeentie,65,"219,000 €",1,,30,https://westhouse.fi/kohteet/hameentie-65/,westhouse
Taiteentekijäntie,8,"359,000 €",4,,88.5,https://westhouse.fi/kohteet/taiteentekijantie-8/,westhouse
Suvannontie,2,"515,000 €",3,,82.5,https://westhouse.fi/kohteet/suvannontie-2/,westhouse
Käärtipolku,1,"164,000 €",2,,43,https://westhouse.fi/kohteet/kaartipolku-1/,westhouse
Pakilantie,107,"1,180,000 €",6,,176,https://westhouse.fi/kohteet/pakilantie-107a/,westhouse
Kiiskenevä,1,"349,000 €",4,,81,https://westhouse.fi/kohteet/kiiskeneva-1/,westhouse
Nuottalahdentie,13,"695,000 €",6,,151,https://westhouse.fi/kohteet/nuottalahdentie-13/,westhouse
Matinniitynkuja,1,"498,000 €",3,,79.5,https://westhouse.fi/kohteet/matinniitynkuja-1/,westhouse
Kuhatie,10,"595,000 €",5,,118,https://westhouse.fi/kohteet/kuhatie-10/,westhouse
Topeliuksenkatu,34,"579,000 €",4,,78,https://westhouse.fi/kohteet/topeliuksenkatu-34/,westhouse
Viittatie,16,"698,000 €",5,,157,https://westhouse.fi/kohteet/viittatie-16-a/,westhouse
Itätuulenkuja,3,"535,000 €",3,,101,https://westhouse.fi/kohteet/itatuulenkuja-3/,westhouse
Temppelikatu,,"998,000 €",3,,108,https://westhouse.fi/kohteet/temppelikatu/,westhouse
Marinkallio,18,"837,000 €",4,,101,https://westhouse.fi/kohteet/marinkallio-18-2/,westhouse
Kuhatie,12-18,"239,000 €",2,,54.2,https://westhouse.fi/kohteet/kuhatie-12-18/,westhouse
Joupinpuisto,1,"148,000 €",2,,50.5,https://westhouse.fi/kohteet/joupinpuisto-1/,westhouse
Viittatie,16,"698,000 €",5,,157,https://westhouse.fi/kohteet/viittatie-16-b/,westhouse
Viherkallionkuja,5,"149,000 €",2,,57,https://westhouse.fi/kohteet/viherkallionkuja-5/,westhouse
Harmaapaadentie,5,"1,290,000 €",6,,163,https://westhouse.fi/kohteet/harmaapaadentie-5-b/,westhouse
Viimeinen,,"2,875,000 €",4,,337,https://westhouse.fi/kohteet/viimeinen-ropo-2/,westhouse
Hauenkalliontie,4,"299,000 €",3,,65,https://westhouse.fi/kohteet/hauenkalliontie-4/,westhouse
Ilmakuja,3,"249,000 €",5,,100,https://westhouse.fi/kohteet/ilmakuja-3/,westhouse
Maapallonkuja,2,"215,000 €",3,,76,https://westhouse.fi/kohteet/maapallonkuja-2/,westhouse
Lapinlahdenkatu,15,"539,000 €",2,,65.42,https://westhouse.fi/kohteet/lapinlahdenkatu-15/,westhouse
