Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Porvoonkatu,21,"458,000 €",,,75 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/porvoonkatu-21-6f2ed64c,rive
Prammikuja,2,"199,500 €",,,74.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/prammikuja-2-4c09ecd7,rive
Pursilahdenranta,2,"498,000 €",,,78.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/pursilahdenranta-2-2775bb22,rive
Rapakivenkuja,2,"125,000 €",,,55 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/rapakivenkuja-2-91a207a0,rive
Reppukatu,17,"325,000 €",,,76 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/reppukatu-17-1b2b6ce4,rive
Riukutie,10,"233,000 €",,,80.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/riukutie-10-56899c85,rive
Riukutie,5,"195,000 €",,,59 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/riukutie-5-a7ffc842,rive
Saariseläntie,2,"158,000 €",,,50 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/saariselantie-2-d4705177,rive
Saaristolaivastonkatu,6,"319,500 €",,,45 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/saaristolaivastonkatu-6-e724b1c7,rive
Sepänkatu,3-5,"279,000 €",,,33.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/sepankatu-3-5-5e0b82,rive
Sinivuorenpolku,2,"249,000 €",,,80.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/sinivuorenpolku-2-f4b75659,rive
Strömbergintie,8,"349,000 €",,,71.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/strombergintie-8-f8add5,rive
Svinhufvudintie,15,"239,000 €",,,34.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/svinhufvudintie-15-be6f36,rive
Taidemaalarinkatu,16,"359,500 €",,,90.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/taidemaalarinkatu-16-bbc399f3,rive
Taimistontie,9,"215,000 €",,,56 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/taimistontie--9-710fc581,rive
