Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Laivurinkatu,41,"519,000 €",3,,51 ,https://roof.fi/kohteet/3hkkphsauna-ytj-1hkkphsauna-helsinki-laivurinkatu-41/,roof
Laivurinrinne,1,"395,000 €",1,,50 ,https://roof.fi/kohteet/1h-kk-alkovi-kph-helsinki-laivurinrinne-1/,roof
Pietarinkatu,13,"547,000 €",2,,59.5 ,https://roof.fi/kohteet/2hkkph-helsinki-pietarinkatu-13/,roof
